Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.274186	3.977902	4.106000	7.730000	
0.100000	3.930686	3.795909	8.294000	10.480000	
0.100000	3.736911	3.640972	11.740000	13.660000	
0.100000	3.612001	3.637954	14.108000	14.310000	
0.100000	3.561414	3.553831	15.404000	16.220000	
0.100000	3.506012	3.539434	16.368000	15.860000	
0.100000	3.481137	3.475614	17.038000	17.920000	
0.100000	3.446812	3.463754	17.620000	17.380000	
0.100000	3.446087	3.452637	17.400000	18.260000	
0.100000	3.439483	3.384212	18.000000	18.650000	
0.100000	3.423084	3.390966	18.314000	20.310000	
0.100000	3.428344	3.330816	18.210000	19.240000	
0.100000	3.407535	3.385823	18.518000	18.770000	
0.100000	3.407064	3.380071	18.688000	19.220000	
0.100000	3.384324	3.395652	19.088000	19.330000	
0.100000	3.398808	3.300747	19.010000	20.920000	
0.100000	3.380041	3.371717	19.658000	20.190000	
0.100000	3.368721	3.474037	19.508000	19.600000	
0.100000	3.381876	3.348981	19.240000	19.870000	
0.100000	3.384680	3.331583	19.420000	19.880000	
0.100000	3.348494	3.233615	19.972000	22.500000	
0.100000	3.369537	3.347087	19.382000	20.470000	
0.100000	3.355647	3.303923	19.784000	20.680000	
0.100000	3.356071	3.315972	19.968000	20.560000	
0.100000	3.366217	3.298269	20.018000	21.190000	
0.100000	3.364451	3.324790	19.662000	20.240000	
0.100000	3.359085	3.358342	19.958000	20.460000	
0.100000	3.335122	3.353639	20.154000	20.400000	
0.100000	3.348753	3.395326	20.220000	19.180000	
0.100000	3.325502	3.326273	20.682000	20.810000	
0.100000	3.335562	3.299791	20.164000	21.610000	
0.100000	3.325583	3.356881	20.418000	20.650000	
0.100000	3.337342	3.377192	20.492000	19.650000	
0.100000	3.324452	3.239076	20.530000	22.180000	
0.100000	3.324193	3.249703	20.440000	21.290000	
0.100000	3.330245	3.190340	20.476000	22.780000	
0.100000	3.319518	3.223334	20.628000	22.530000	
0.100000	3.330807	3.385891	20.704000	20.840000	
0.100000	3.320500	3.324357	20.786000	20.340000	
0.100000	3.303619	3.267290	20.970000	22.240000	
0.100000	3.320195	3.205911	20.756000	23.050000	
0.100000	3.317536	3.380266	20.630000	19.540000	
0.100000	3.295309	3.323240	21.050000	20.070000	
0.100000	3.293466	3.186175	21.208000	23.280000	
0.100000	3.304749	3.298487	20.940000	20.310000	
0.100000	3.299324	3.294499	21.040000	21.870000	
0.100000	3.307337	3.319313	20.866000	20.750000	
0.100000	3.291914	3.340150	21.176000	20.540000	
0.100000	3.310685	3.311865	21.044000	21.070000	
0.100000	3.313900	3.286393	20.878000	20.900000	
0.100000	3.314260	3.244989	20.884000	21.580000	
0.100000	3.300991	3.312204	21.082000	21.000000	
0.100000	3.315652	3.286841	20.780000	21.790000	
0.100000	3.306488	3.379708	20.758000	19.660000	
0.100000	3.320486	3.232106	20.466000	22.870000	
0.100000	3.292331	3.256493	21.028000	21.660000	
0.100000	3.295742	3.343124	21.298000	19.960000	
0.100000	3.295086	3.271425	21.318000	20.620000	
0.100000	3.296381	3.334773	21.094000	20.470000	
0.100000	3.282153	3.397075	21.226000	19.090000	
0.100000	3.294805	3.358456	21.388000	20.320000	
0.100000	3.284073	3.218102	21.320000	22.550000	
0.100000	3.294443	3.323178	21.180000	21.210000	
0.100000	3.302291	3.228012	21.194000	22.040000	
0.100000	3.310965	3.235263	20.888000	22.860000	
0.100000	3.292893	3.390983	21.156000	20.340000	
0.100000	3.282881	3.294010	21.522000	21.050000	
0.100000	3.296338	3.250153	20.970000	21.610000	
0.100000	3.281712	3.357733	21.424000	20.820000	
0.100000	3.303814	3.287768	21.378000	20.830000	
0.100000	3.305607	3.256662	20.944000	21.940000	
0.100000	3.298428	3.188780	21.094000	23.800000	
0.100000	3.297751	3.254300	21.196000	21.120000	
0.100000	3.295694	3.183809	20.694000	22.510000	
0.100000	3.291592	3.251134	21.298000	21.740000	
0.100000	3.301723	3.300384	21.028000	21.510000	
0.100000	3.294702	3.270324	21.450000	21.790000	
0.100000	3.300403	3.351644	21.116000	21.440000	
0.100000	3.317233	3.219283	20.708000	22.690000	
0.100000	3.293548	3.214354	21.352000	22.770000	
0.100000	3.303938	3.322500	21.028000	21.410000	
0.010000	2.770998	2.679631	30.968000	33.020000	
0.010000	2.537184	2.580981	35.028000	34.720000	
0.010000	2.435012	2.532603	37.284000	35.760000	
0.010000	2.353565	2.485756	38.816000	36.790000	
0.010000	2.290141	2.442379	40.020000	38.220000	
0.010000	2.229193	2.406368	41.274000	38.990000	
0.010000	2.170548	2.400966	42.536000	39.030000	
0.010000	2.117986	2.370064	43.474000	39.130000	
0.010000	2.071320	2.377908	44.354000	39.310000	
0.010000	2.024253	2.339349	45.540000	40.950000	
0.010000	1.970119	2.314918	46.882000	41.240000	
0.010000	1.936160	2.293723	47.286000	41.300000	
0.010000	1.892478	2.316778	48.446000	41.590000	
0.010000	1.844201	2.292850	49.222000	42.120000	
0.010000	1.793438	2.297407	50.698000	42.320000	
0.010000	1.754330	2.315884	51.282000	41.480000	
0.010000	1.714797	2.315748	52.106000	42.310000	
0.010000	1.675669	2.312125	53.228000	42.550000	
0.010000	1.636280	2.318340	54.130000	42.220000	
0.010000	1.589546	2.352171	55.230000	41.870000	
0.010000	1.548843	2.331833	56.058000	42.460000	
0.010000	1.524477	2.358307	56.880000	42.330000	
0.010000	1.470706	2.390378	57.940000	42.260000	
0.010000	1.436964	2.376021	58.778000	41.690000	
0.010000	1.407024	2.419862	59.490000	41.940000	
0.010000	1.368592	2.446690	60.418000	41.670000	
0.010000	1.325786	2.450451	61.798000	42.180000	
0.010000	1.294197	2.460251	62.434000	42.190000	
0.010000	1.257997	2.491653	63.196000	41.550000	
0.010000	1.227099	2.516846	63.816000	42.030000	
0.010000	1.187176	2.531062	64.906000	42.180000	
0.010000	1.163278	2.570443	65.770000	40.920000	
0.010000	1.122276	2.582544	66.532000	42.000000	
0.010000	1.097976	2.664664	67.208000	41.590000	
0.010000	1.075344	2.692121	67.896000	40.930000	
0.010000	1.046569	2.705200	68.636000	40.640000	
0.010000	1.013813	2.701885	69.476000	41.240000	
0.010000	0.988802	2.710946	70.116000	40.860000	
0.010000	0.952860	2.760239	71.286000	40.470000	
0.010000	0.939239	2.782785	71.456000	41.590000	
0.010000	0.913587	2.797341	72.272000	41.310000	
0.001000	0.557402	2.813490	83.588000	43.820000	
0.001000	0.441602	2.904368	86.908000	44.430000	
0.001000	0.396639	2.963826	88.426000	44.250000	
0.001000	0.369651	3.007225	89.026000	44.310000	
0.001000	0.345728	3.064618	89.772000	44.530000	
0.001000	0.329652	3.070994	90.466000	44.310000	
0.001000	0.311173	3.104725	90.882000	44.360000	
