Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.313695	4.028239	3.696000	6.500000	
0.100000	3.936976	3.853300	7.968000	10.000000	
0.100000	3.753723	3.704788	11.340000	12.430000	
0.100000	3.654467	3.641189	13.154000	13.490000	
0.100000	3.560301	3.558550	14.996000	14.750000	
0.100000	3.499340	3.446763	16.236000	17.270000	
0.100000	3.473274	3.407673	16.720000	18.110000	
0.100000	3.458534	3.318109	17.340000	20.480000	
0.100000	3.419158	3.406847	18.346000	18.580000	
0.100000	3.419407	3.407642	18.392000	18.140000	
0.100000	3.406192	3.377033	18.392000	18.410000	
0.100000	3.386230	3.399687	18.910000	19.180000	
0.100000	3.385923	3.398342	19.170000	18.590000	
0.100000	3.394900	3.340916	19.102000	20.760000	
0.100000	3.382848	3.473523	19.380000	18.210000	
0.100000	3.385828	3.339463	19.232000	19.960000	
0.100000	3.371537	3.295990	19.542000	20.720000	
0.100000	3.366426	3.415032	19.890000	18.500000	
0.100000	3.352024	3.252685	19.728000	21.800000	
0.100000	3.336514	3.288234	20.268000	20.700000	
0.100000	3.340317	3.305421	20.444000	20.750000	
0.100000	3.337416	3.352976	20.064000	19.620000	
0.100000	3.319525	3.373291	20.592000	19.330000	
0.100000	3.335411	3.345532	19.984000	20.330000	
0.100000	3.331603	3.299193	20.468000	21.710000	
0.100000	3.332674	3.379576	20.194000	20.000000	
0.100000	3.346197	3.377353	20.120000	20.280000	
0.100000	3.322764	3.227716	20.200000	22.410000	
0.100000	3.300480	3.314695	20.848000	20.680000	
0.100000	3.309159	3.380613	20.808000	20.160000	
0.100000	3.325388	3.260620	20.416000	21.650000	
0.100000	3.302979	3.324924	20.886000	20.840000	
0.100000	3.309889	3.289705	20.592000	21.990000	
0.100000	3.321917	3.378365	20.772000	19.270000	
0.100000	3.325022	3.262748	20.686000	21.840000	
0.100000	3.310688	3.286128	21.214000	22.300000	
0.100000	3.303308	3.329810	20.958000	20.610000	
0.100000	3.288666	3.282389	21.386000	21.360000	
0.100000	3.296136	3.211643	21.084000	21.930000	
0.100000	3.297269	3.351130	21.114000	19.540000	
0.100000	3.322354	3.313376	20.386000	21.210000	
0.100000	3.304467	3.363699	21.134000	20.220000	
0.100000	3.312150	3.331010	21.086000	19.790000	
0.100000	3.297489	3.312773	21.048000	21.590000	
0.100000	3.293845	3.266183	21.188000	21.280000	
0.100000	3.287194	3.248308	21.230000	22.130000	
0.100000	3.302410	3.267185	21.114000	21.790000	
0.100000	3.308061	3.289981	20.778000	21.440000	
0.100000	3.297681	3.332343	21.178000	20.660000	
0.100000	3.309991	3.206880	20.866000	22.900000	
0.100000	3.288582	3.254172	21.334000	22.020000	
0.100000	3.294354	3.204495	21.032000	22.240000	
0.100000	3.260854	3.258749	21.900000	21.740000	
0.100000	3.268316	3.267623	21.674000	22.070000	
0.100000	3.293064	3.242775	21.046000	22.410000	
0.100000	3.286237	3.268711	21.196000	21.030000	
0.100000	3.292594	3.257472	21.422000	22.480000	
0.100000	3.287466	3.313538	21.616000	21.580000	
0.100000	3.285483	3.297345	21.530000	21.550000	
0.100000	3.290673	3.235058	21.604000	21.770000	
0.100000	3.283957	3.267172	21.434000	22.300000	
0.100000	3.284099	3.358758	21.434000	22.610000	
0.100000	3.272389	3.288242	21.748000	21.370000	
0.100000	3.290398	3.187131	21.360000	22.350000	
0.100000	3.288171	3.246198	21.298000	21.880000	
0.100000	3.276797	3.338194	21.568000	20.700000	
0.100000	3.286090	3.269979	21.354000	22.370000	
0.100000	3.277257	3.350773	21.306000	21.260000	
