Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.972138	3.583655	9.204000	14.660000	
0.100000	3.374259	3.188411	18.562000	22.350000	
0.100000	3.126375	3.067973	23.164000	24.590000	
0.100000	2.989533	2.946143	25.642000	26.860000	
0.100000	2.899179	2.888668	27.368000	28.120000	
0.100000	2.842945	2.797635	28.542000	31.440000	
0.100000	2.788697	2.782629	29.862000	30.930000	
0.100000	2.757820	2.898760	30.426000	28.500000	
0.100000	2.720400	2.708972	31.162000	32.000000	
0.100000	2.692974	2.694850	31.412000	31.990000	
0.100000	2.670782	2.798885	32.240000	30.780000	
0.100000	2.668362	2.717431	32.164000	31.480000	
0.100000	2.659341	2.680505	32.482000	32.910000	
0.100000	2.626165	2.642592	33.266000	33.890000	
0.100000	2.613198	2.665648	33.412000	33.260000	
0.100000	2.607151	2.599347	33.580000	34.650000	
0.100000	2.606636	2.658276	33.774000	32.880000	
0.100000	2.587271	2.584705	33.784000	34.390000	
0.100000	2.577431	2.632564	34.208000	33.490000	
0.100000	2.586027	2.663280	34.162000	33.420000	
0.100000	2.577062	2.588148	34.324000	34.950000	
0.100000	2.555878	2.661822	34.758000	33.080000	
0.100000	2.566764	2.587721	34.432000	34.440000	
0.100000	2.550679	2.636068	34.706000	33.550000	
0.100000	2.547423	2.557999	34.690000	34.780000	
0.100000	2.549242	2.650234	34.748000	33.480000	
0.100000	2.546736	2.629627	34.642000	34.120000	
0.100000	2.527392	2.650817	35.116000	32.990000	
0.100000	2.544435	2.587298	34.724000	34.720000	
0.100000	2.533949	2.545133	34.980000	34.970000	
0.100000	2.509867	2.532196	35.610000	35.760000	
0.100000	2.524300	2.602062	34.830000	34.240000	
0.100000	2.517410	2.548810	35.448000	35.570000	
0.100000	2.528212	2.618588	35.208000	33.350000	
0.100000	2.522164	2.560013	35.162000	34.630000	
0.100000	2.504719	2.617925	35.428000	34.470000	
0.100000	2.507030	2.597536	35.234000	34.270000	
0.100000	2.508155	2.644543	35.606000	34.020000	
0.100000	2.510360	2.569006	35.538000	34.720000	
0.100000	2.502255	2.625752	35.802000	33.550000	
0.100000	2.494404	2.607558	35.820000	33.850000	
0.100000	2.499292	2.623456	35.906000	34.130000	
0.100000	2.506507	2.634885	35.576000	33.710000	
0.100000	2.495927	2.544703	35.986000	35.530000	
0.100000	2.505890	2.643745	35.472000	33.920000	
0.100000	2.488776	2.587259	36.158000	35.150000	
0.100000	2.503927	2.498051	35.908000	36.410000	
0.100000	2.501639	2.506259	35.454000	36.150000	
0.100000	2.485500	2.494474	35.762000	36.740000	
0.100000	2.501764	2.661997	35.548000	33.440000	
0.100000	2.491756	2.548146	36.102000	35.120000	
0.100000	2.495484	2.556084	35.772000	35.750000	
0.100000	2.485253	2.564635	36.100000	35.080000	
0.100000	2.479603	2.510259	36.262000	36.460000	
0.100000	2.489768	2.566741	35.952000	35.170000	
0.100000	2.494109	2.570266	36.016000	34.790000	
0.100000	2.481161	2.555969	35.880000	35.030000	
0.100000	2.499622	2.590665	35.736000	34.650000	
0.100000	2.473778	2.542381	36.040000	35.860000	
0.100000	2.487604	2.599218	35.826000	35.070000	
0.100000	2.475156	2.560389	36.132000	35.020000	
0.100000	2.479726	2.568498	35.906000	35.290000	
0.100000	2.485101	2.539762	35.872000	36.270000	
0.100000	2.481522	2.563779	36.322000	35.570000	
0.100000	2.484774	2.500697	36.100000	36.070000	
0.100000	2.481404	2.603420	35.902000	34.830000	
0.100000	2.477197	2.544612	36.336000	35.520000	
0.100000	2.472468	2.596814	36.442000	34.610000	
0.100000	2.471254	2.558166	36.454000	35.220000	
0.100000	2.475295	2.500508	36.520000	36.410000	
0.100000	2.475948	2.529674	36.256000	36.180000	
0.100000	2.468835	2.583078	36.572000	35.170000	
0.100000	2.473018	2.512632	36.028000	35.960000	
0.100000	2.466690	2.540184	36.236000	35.940000	
0.100000	2.468523	2.585959	36.138000	34.670000	
0.100000	2.465219	2.537678	36.446000	34.960000	
0.100000	2.478869	2.639704	36.202000	34.040000	
0.100000	2.472723	2.548491	36.256000	35.800000	
0.100000	2.483375	2.568533	36.092000	34.340000	
0.100000	2.483232	2.519518	36.010000	36.150000	
0.100000	2.468810	2.538577	36.398000	35.910000	
0.010000	2.079435	2.178740	45.136000	43.530000	
0.010000	1.973161	2.146308	47.264000	44.730000	
0.010000	1.932618	2.113536	48.416000	45.030000	
0.010000	1.907915	2.129669	48.894000	44.610000	
0.010000	1.880262	2.105440	49.592000	45.320000	
0.010000	1.860589	2.072521	50.184000	46.050000	
0.010000	1.858845	2.091380	50.160000	45.650000	
0.010000	1.843153	2.081656	50.246000	46.280000	
0.010000	1.827244	2.066574	50.656000	46.330000	
0.010000	1.819023	2.070212	51.096000	46.240000	
0.010000	1.817060	2.062805	51.182000	46.400000	
0.010000	1.804902	2.076361	51.462000	46.230000	
0.010000	1.793878	2.065010	51.652000	46.040000	
0.010000	1.792735	2.071657	51.742000	46.190000	
0.010000	1.785863	2.061138	51.784000	46.620000	
0.010000	1.775518	2.049480	52.096000	46.960000	
0.010000	1.772781	2.044297	52.114000	46.820000	
0.010000	1.766358	2.042124	52.380000	46.790000	
0.010000	1.762427	2.037153	52.314000	46.600000	
0.010000	1.756566	2.036261	52.458000	46.810000	
0.010000	1.752609	2.051386	52.674000	46.800000	
0.010000	1.752124	2.040398	52.652000	47.060000	
0.010000	1.742004	2.041099	53.094000	46.910000	
0.010000	1.741517	2.036026	52.854000	47.050000	
0.010000	1.732367	2.035365	53.042000	46.650000	
0.010000	1.737296	2.029732	52.978000	47.190000	
0.010000	1.725344	2.044013	53.236000	46.660000	
0.010000	1.722563	2.053962	53.520000	46.400000	
0.010000	1.718522	2.030071	53.534000	46.830000	
0.010000	1.714035	2.034958	53.656000	46.970000	
0.010000	1.712578	2.038228	53.494000	46.800000	
0.010000	1.707682	2.048322	53.502000	47.680000	
0.010000	1.709083	2.031481	53.772000	47.270000	
0.010000	1.700403	2.032966	53.974000	47.540000	
0.010000	1.691473	2.042684	54.058000	47.330000	
0.010000	1.685553	2.039600	54.264000	47.000000	
0.010000	1.685094	2.032083	54.116000	46.760000	
0.010000	1.692293	2.022143	54.068000	47.610000	
0.010000	1.683820	2.041643	54.386000	47.030000	
0.010000	1.680445	2.029082	54.416000	47.280000	
0.010000	1.669902	2.027023	54.692000	47.210000	
0.001000	1.584543	1.969230	56.924000	48.730000	
0.001000	1.571369	1.965611	57.400000	49.030000	
0.001000	1.563916	1.963723	57.520000	49.060000	
0.001000	1.559625	1.967152	57.746000	49.200000	
0.001000	1.557190	1.964748	57.786000	49.060000	
0.001000	1.551885	1.962048	57.992000	48.970000	
0.001000	1.554274	1.964122	57.556000	49.130000	
0.001000	1.552439	1.959664	57.916000	49.280000	
0.001000	1.546878	1.957834	58.136000	48.990000	
0.001000	1.544561	1.961097	58.008000	49.190000	
0.001000	1.545204	1.958377	58.050000	49.150000	
0.001000	1.543330	1.961008	58.302000	49.150000	
0.001000	1.541771	1.960477	58.264000	49.180000	
0.001000	1.539902	1.963652	58.116000	49.050000	
0.001000	1.539409	1.963139	58.206000	49.030000	
0.001000	1.539088	1.958987	58.102000	49.110000	
0.001000	1.537771	1.960656	58.182000	49.190000	
0.001000	1.534026	1.958794	58.240000	49.320000	
0.001000	1.538590	1.961610	58.442000	49.330000	
0.001000	1.537350	1.963313	58.126000	49.160000	
0.001000	1.533456	1.961033	58.634000	48.920000	
0.001000	1.532519	1.961798	58.316000	49.120000	
0.001000	1.537255	1.962266	58.136000	49.150000	
0.001000	1.534394	1.960205	58.254000	49.270000	
0.001000	1.529370	1.957159	58.550000	49.100000	
0.001000	1.531240	1.958768	58.488000	49.260000	
0.001000	1.530795	1.955748	58.280000	49.250000	
0.001000	1.525675	1.960464	58.618000	49.140000	
0.001000	1.529698	1.958379	58.308000	49.100000	
0.001000	1.526717	1.960153	58.548000	49.200000	
0.001000	1.523477	1.962305	58.654000	49.290000	
0.001000	1.523397	1.960357	58.504000	49.370000	
0.001000	1.524390	1.955517	58.606000	49.500000	
0.001000	1.521184	1.957837	58.668000	49.240000	
0.001000	1.526513	1.963192	58.600000	49.520000	
0.001000	1.525418	1.961056	58.560000	49.240000	
0.001000	1.521507	1.961035	58.670000	49.310000	
0.001000	1.523892	1.960645	58.748000	49.360000	
0.001000	1.520541	1.963320	58.676000	49.320000	
0.001000	1.521081	1.970343	58.668000	49.170000	
0.001000	1.516176	1.961949	58.878000	48.910000	
0.001000	1.522415	1.960395	58.558000	48.990000	
