Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.091883	4.006009	7.094000	8.990000	
0.100000	4.016861	4.082817	8.324000	7.750000	
0.100000	4.060209	4.060953	7.800000	8.010000	
0.100000	4.051617	4.021530	8.010000	8.760000	
0.100000	4.075055	4.037479	7.742000	7.690000	
0.100000	4.067125	4.013368	7.858000	8.720000	
0.100000	4.063692	4.007886	7.838000	7.950000	
0.100000	4.041638	4.011185	8.146000	9.020000	
0.100000	4.006494	3.922687	8.828000	10.850000	
0.100000	4.043542	4.027307	8.240000	7.650000	
0.100000	4.063369	4.052907	8.078000	8.010000	
0.100000	4.042300	3.989867	8.174000	9.080000	
0.100000	4.054936	4.082397	8.062000	7.630000	
0.100000	4.055874	4.049886	7.972000	8.110000	
0.100000	4.053089	3.992288	8.144000	9.150000	
0.100000	4.036330	3.990258	8.360000	9.250000	
0.100000	4.056160	3.945233	7.988000	9.780000	
0.100000	4.048895	4.036610	8.238000	8.020000	
0.100000	4.044099	4.131658	8.424000	8.620000	
0.100000	4.042012	3.917427	8.188000	9.430000	
0.100000	4.039654	4.130306	8.440000	7.670000	
0.100000	4.053075	4.019261	8.356000	7.870000	
0.100000	4.051308	4.048555	8.160000	8.200000	
0.100000	4.035585	4.149657	8.418000	8.040000	
0.100000	4.070259	4.076937	7.978000	7.170000	
0.100000	4.072977	4.130631	7.682000	6.950000	
0.100000	4.067315	4.007991	7.564000	8.170000	
0.100000	4.060219	4.047692	7.742000	8.630000	
0.100000	4.065883	3.996889	7.574000	8.710000	
0.100000	4.065739	4.017548	7.578000	8.480000	
0.100000	4.088221	4.052690	7.230000	8.120000	
0.100000	4.060731	4.074176	7.566000	7.210000	
0.100000	4.076757	4.061215	7.426000	8.250000	
0.100000	4.076902	4.009952	7.442000	8.120000	
0.100000	4.047421	4.012619	7.902000	8.530000	
0.100000	4.060624	3.971991	7.700000	9.530000	
0.100000	4.044886	4.008035	7.998000	8.960000	
0.100000	4.085879	4.170163	7.436000	7.950000	
0.100000	4.079303	4.120642	7.610000	7.100000	
0.100000	4.084271	3.976081	7.414000	8.950000	
0.100000	4.074197	4.045905	7.592000	8.310000	
0.100000	4.104273	4.085223	7.198000	7.450000	
0.100000	4.087721	4.053654	7.310000	7.630000	
0.100000	4.067514	3.996868	7.692000	8.420000	
0.100000	4.097416	4.017810	7.080000	8.300000	
0.100000	4.072201	4.029714	7.556000	8.400000	
0.100000	4.085071	4.027856	7.458000	8.440000	
0.100000	4.086973	4.106671	7.320000	7.280000	
0.100000	4.102804	4.126678	7.164000	7.650000	
0.100000	4.086512	4.112229	7.268000	6.800000	
0.100000	4.072837	4.048226	7.474000	8.920000	
0.100000	4.081035	4.169379	7.680000	7.170000	
0.100000	4.091722	4.144631	7.158000	7.160000	
0.100000	4.104852	4.038672	7.074000	8.180000	
0.100000	4.087255	4.088044	7.164000	7.590000	
0.100000	4.112612	4.009682	6.880000	7.740000	
0.100000	4.102885	4.029373	6.976000	7.600000	
0.100000	4.090286	4.090606	6.990000	7.510000	
0.100000	4.125577	4.055165	6.556000	6.940000	
0.100000	4.118903	4.057754	6.750000	7.400000	
0.100000	4.096708	4.101616	6.738000	6.500000	
0.100000	4.118348	4.031016	6.698000	7.320000	
0.100000	4.122782	4.091901	6.518000	8.230000	
0.100000	4.106366	4.071111	6.858000	6.790000	
0.100000	4.124815	4.114007	6.364000	6.240000	
0.100000	4.138874	4.077383	6.278000	7.430000	
0.100000	4.102600	4.085676	6.622000	7.520000	
0.100000	4.094883	4.028186	6.906000	8.410000	
0.100000	4.102655	4.018359	6.708000	7.400000	
0.100000	4.123634	4.112768	6.428000	6.110000	
0.100000	4.113854	4.102616	6.840000	7.140000	
0.100000	4.124249	4.144822	6.434000	6.060000	
0.100000	4.110690	4.084099	6.530000	5.900000	
0.100000	4.111629	4.126530	6.544000	7.170000	
0.100000	4.087103	4.047252	6.832000	7.690000	
0.100000	4.098657	4.071336	6.654000	7.180000	
0.100000	4.126156	4.161427	6.330000	6.940000	
0.100000	4.134183	4.133648	5.992000	6.470000	
0.100000	4.123054	4.090315	6.300000	6.450000	
0.100000	4.108529	4.033038	6.424000	7.470000	
0.100000	4.108403	4.096412	6.440000	6.770000	
0.010000	3.816448	3.672699	10.230000	12.490000	
0.010000	3.645245	3.606223	12.700000	13.130000	
0.010000	3.551628	3.472204	14.048000	15.790000	
0.010000	3.462517	3.417267	15.766000	17.060000	
0.010000	3.400595	3.368266	16.754000	17.680000	
0.010000	3.336009	3.314211	17.978000	18.610000	
0.010000	3.280787	3.268606	19.400000	19.900000	
0.010000	3.230384	3.294695	20.084000	19.220000	
0.010000	3.189528	3.231306	21.066000	19.720000	
0.010000	3.145927	3.178000	21.618000	21.440000	
0.010000	3.107146	3.115524	22.756000	22.540000	
0.010000	3.085637	3.069808	23.124000	23.900000	
0.010000	3.046501	3.033358	23.922000	24.420000	
0.010000	3.018410	3.023206	24.580000	24.500000	
0.010000	2.998068	3.007267	24.870000	24.870000	
