Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.162143	3.782833	6.458000	11.960000	
0.010000	3.587480	3.490415	15.020000	17.040000	
0.010000	3.290037	3.206931	20.288000	22.540000	
0.010000	3.084359	3.130116	24.116000	23.770000	
0.010000	2.927077	2.956551	27.004000	26.890000	
0.010000	2.783164	2.859563	30.304000	28.820000	
0.010000	2.692899	2.756922	31.630000	30.730000	
0.010000	2.586734	2.740252	34.004000	31.320000	
0.010000	2.507178	2.697557	35.370000	32.490000	
0.010000	2.428797	2.610099	37.134000	34.340000	
0.010000	2.355904	2.551397	38.572000	36.110000	
0.010000	2.299160	2.504246	39.912000	36.890000	
0.010000	2.241462	2.496891	40.886000	36.940000	
0.010000	2.178357	2.466689	42.434000	37.670000	
0.010000	2.134308	2.401424	43.430000	39.600000	
0.010000	2.079799	2.370462	44.740000	40.020000	
0.010000	2.032110	2.434481	45.540000	39.180000	
0.010000	1.992998	2.362463	46.396000	40.440000	
0.010000	1.958012	2.380820	46.994000	40.300000	
0.010000	1.916535	2.387154	47.830000	39.970000	
0.010000	1.872380	2.353403	49.162000	40.970000	
0.010000	1.840794	2.336704	49.694000	41.180000	
0.010000	1.808282	2.392979	50.412000	40.180000	
0.010000	1.781353	2.345305	50.904000	41.620000	
0.010000	1.741932	2.336859	52.004000	41.740000	
0.010000	1.716798	2.371600	52.360000	41.820000	
0.010000	1.683074	2.361889	53.162000	41.670000	
0.010000	1.651650	2.385252	54.158000	41.630000	
0.010000	1.633346	2.396073	54.496000	41.620000	
0.010000	1.604120	2.384289	55.424000	41.420000	
0.010000	1.590604	2.408987	55.224000	41.700000	
0.010000	1.563134	2.396238	55.880000	41.770000	
0.010000	1.536287	2.448420	56.990000	41.710000	
0.010000	1.510580	2.446987	57.176000	41.760000	
0.010000	1.494901	2.474170	57.416000	41.620000	
0.010000	1.474799	2.490249	58.036000	42.010000	
0.010000	1.444271	2.444670	58.916000	42.680000	
0.010000	1.438937	2.473410	59.078000	42.120000	
0.010000	1.416183	2.506219	59.512000	41.770000	
0.010000	1.400525	2.495042	59.764000	41.810000	
0.010000	1.382694	2.507596	60.512000	42.060000	
0.010000	1.364636	2.526901	60.450000	41.870000	
0.010000	1.347827	2.502387	60.904000	42.540000	
0.010000	1.327178	2.602421	61.778000	42.110000	
0.010000	1.304997	2.552170	62.300000	42.420000	
0.010000	1.303996	2.618458	62.346000	41.210000	
0.010000	1.280471	2.615317	62.908000	41.720000	
0.010000	1.257147	2.614151	63.506000	41.810000	
0.010000	1.251144	2.584426	63.620000	41.900000	
0.010000	1.242444	2.625609	63.622000	42.010000	
0.010000	1.226689	2.698638	63.988000	41.580000	
0.010000	1.230562	2.604347	63.966000	42.320000	
0.010000	1.198439	2.679264	64.894000	41.780000	
0.010000	1.190664	2.641968	64.900000	42.430000	
0.010000	1.181806	2.711235	65.138000	41.510000	
0.010000	1.166582	2.706213	65.774000	41.560000	
0.010000	1.153584	2.778310	66.026000	41.750000	
0.010000	1.145557	2.759499	66.224000	41.130000	
0.010000	1.132769	2.745394	66.510000	41.860000	
0.010000	1.130004	2.770554	66.630000	42.170000	
0.010000	1.116819	2.784113	66.852000	41.790000	
0.010000	1.107443	2.787393	67.174000	42.010000	
0.010000	1.110819	2.728095	66.812000	42.030000	
0.010000	1.086266	2.793983	67.920000	41.170000	
0.010000	1.079528	2.812558	67.876000	41.050000	
0.010000	1.072211	2.823086	68.154000	42.500000	
0.010000	1.063275	2.807109	68.040000	42.250000	
0.010000	1.059211	2.833445	68.386000	41.900000	
0.010000	1.042972	2.836650	69.274000	41.420000	
0.010000	1.052284	2.846764	68.486000	41.410000	
0.010000	1.033162	2.862954	69.294000	41.600000	
0.010000	1.031199	2.859852	69.182000	41.910000	
0.010000	1.018394	2.840307	69.536000	41.490000	
0.010000	1.010967	2.867529	69.646000	41.040000	
0.010000	1.013897	2.907917	69.784000	42.370000	
0.010000	0.998148	2.957681	69.888000	40.860000	
0.010000	0.991039	2.956578	70.278000	41.950000	
0.010000	0.991032	2.963246	70.380000	41.730000	
0.010000	0.982568	2.873370	70.538000	42.060000	
0.010000	0.968074	2.929958	70.846000	41.470000	
0.010000	0.969788	2.904632	70.848000	41.210000	
0.001000	0.635495	2.834245	81.076000	44.690000	
0.001000	0.522618	2.869517	84.428000	44.970000	
0.001000	0.488465	2.915540	85.404000	45.100000	
0.001000	0.460721	2.951475	85.906000	45.060000	
0.001000	0.448431	2.975966	86.484000	45.200000	
0.001000	0.428241	2.988878	87.150000	45.290000	
0.001000	0.420760	3.010645	87.432000	45.150000	
0.001000	0.404429	3.035502	87.752000	45.330000	
0.001000	0.394830	3.048400	88.076000	45.170000	
0.001000	0.386735	3.057323	88.288000	45.410000	
0.001000	0.377718	3.069399	88.686000	45.450000	
0.001000	0.373010	3.085756	88.788000	45.090000	
0.001000	0.363136	3.102589	89.102000	45.170000	
0.001000	0.359585	3.113900	89.128000	44.880000	
0.001000	0.348618	3.138262	89.654000	44.870000	
0.001000	0.344096	3.126224	89.596000	45.480000	
0.001000	0.338305	3.129430	89.876000	45.050000	
0.001000	0.335688	3.142774	89.940000	45.500000	
0.001000	0.328450	3.143009	90.306000	45.800000	
