Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.085300	3.938981	7.200000	9.970000	
0.100000	4.037791	4.116212	8.378000	7.940000	
0.100000	4.068425	4.101786	7.854000	8.250000	
0.100000	4.089796	4.190577	7.592000	7.270000	
0.100000	4.085582	4.068602	7.444000	8.670000	
0.100000	4.084135	4.003641	7.598000	8.960000	
0.100000	4.069787	4.020155	7.784000	8.460000	
0.100000	4.085836	4.074544	7.476000	8.060000	
0.100000	4.068073	4.019133	7.750000	8.730000	
0.100000	4.038525	4.008113	8.310000	8.720000	
0.100000	4.059800	4.033738	7.942000	8.290000	
0.100000	4.067489	3.973517	7.672000	9.080000	
0.100000	4.058467	3.980229	7.670000	8.850000	
0.100000	4.050843	3.999538	8.088000	9.660000	
0.100000	4.042309	4.037268	8.190000	8.120000	
0.100000	4.037686	4.015222	8.138000	9.020000	
0.100000	4.042668	4.072595	8.178000	8.110000	
0.100000	4.059310	3.992472	8.018000	9.280000	
0.100000	4.048032	4.086482	8.086000	8.260000	
0.100000	4.032616	4.085109	8.184000	7.640000	
0.100000	4.070133	4.003033	7.604000	9.430000	
0.010000	3.597266	3.451854	14.432000	17.480000	
0.010000	3.365705	3.309370	18.500000	20.100000	
0.010000	3.241821	3.202636	20.692000	22.450000	
0.010000	3.151025	3.133594	22.384000	23.440000	
0.010000	3.077133	3.053712	23.790000	24.640000	
0.010000	3.012983	2.993517	24.990000	25.800000	
0.010000	2.957277	2.969556	26.248000	26.470000	
0.010000	2.914116	2.906694	26.832000	27.080000	
0.010000	2.863914	2.859675	27.994000	28.390000	
0.010000	2.829770	2.852648	28.504000	28.190000	
0.010000	2.790560	2.825887	29.342000	28.940000	
0.010000	2.758466	2.793188	29.978000	30.130000	
0.010000	2.719663	2.732145	30.804000	31.150000	
0.010000	2.703781	2.730242	30.930000	31.720000	
0.010000	2.667117	2.714501	31.784000	31.790000	
0.010000	2.647996	2.661092	32.382000	32.310000	
