Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.237244	3.948107	4.592000	8.590000	
0.100000	3.887540	3.797805	8.790000	11.130000	
0.100000	3.769029	3.665294	10.962000	12.600000	
0.100000	3.707456	3.619698	12.312000	14.020000	
0.100000	3.650773	3.587618	13.426000	14.590000	
0.100000	3.619620	3.643492	13.812000	13.860000	
0.100000	3.589289	3.612479	14.318000	14.600000	
0.100000	3.563528	3.567108	14.902000	15.610000	
0.100000	3.540419	3.546882	15.318000	15.670000	
0.100000	3.516651	3.519145	15.572000	15.830000	
0.100000	3.496738	3.472463	16.118000	16.410000	
0.100000	3.483166	3.484490	16.392000	17.440000	
0.100000	3.469778	3.466256	16.328000	16.900000	
0.100000	3.466390	3.534984	16.588000	15.570000	
0.100000	3.449081	3.505553	16.850000	16.930000	
0.100000	3.444660	3.445391	16.762000	16.960000	
0.100000	3.424002	3.476538	17.374000	17.560000	
0.100000	3.410369	3.442320	17.614000	17.790000	
0.100000	3.409260	3.388789	17.594000	18.040000	
0.100000	3.377957	3.492648	18.370000	16.850000	
0.100000	3.377076	3.475736	18.004000	17.100000	
0.100000	3.358529	3.502346	18.420000	17.210000	
0.100000	3.342525	3.417211	19.002000	17.770000	
0.100000	3.349851	3.396359	18.662000	17.630000	
0.100000	3.338693	3.480051	18.834000	17.330000	
0.100000	3.322534	3.381787	19.140000	18.980000	
0.100000	3.318436	3.339585	19.360000	19.400000	
0.100000	3.313634	3.369086	19.170000	19.420000	
0.100000	3.292897	3.483337	19.574000	16.880000	
0.100000	3.299147	3.381527	19.550000	18.230000	
0.100000	3.291675	3.357530	19.780000	19.230000	
0.100000	3.283559	3.326587	19.716000	19.900000	
0.100000	3.278483	3.347874	20.112000	19.560000	
0.100000	3.278625	3.416930	19.922000	18.500000	
0.100000	3.285349	3.458040	19.712000	17.850000	
0.100000	3.269651	3.460169	20.202000	17.870000	
0.100000	3.262890	3.342163	20.198000	19.180000	
0.100000	3.266519	3.373553	20.290000	18.150000	
0.100000	3.263182	3.350181	20.160000	19.310000	
0.100000	3.254200	3.321478	20.354000	20.350000	
0.100000	3.249896	3.335828	20.566000	19.890000	
0.100000	3.249965	3.373661	20.564000	18.750000	
0.100000	3.248857	3.364658	20.320000	18.890000	
0.100000	3.241985	3.414426	20.752000	18.110000	
0.100000	3.246804	3.412260	20.608000	18.260000	
0.100000	3.240619	3.317998	20.758000	20.120000	
0.100000	3.235375	3.322674	20.570000	20.170000	
0.100000	3.236833	3.400760	20.792000	18.540000	
0.100000	3.232761	3.406895	20.968000	18.630000	
0.100000	3.231243	3.358252	20.684000	19.670000	
0.100000	3.239239	3.315494	20.942000	20.520000	
0.100000	3.236472	3.327919	20.814000	19.420000	
0.100000	3.231556	3.361114	21.084000	19.660000	
0.100000	3.221036	3.330717	21.270000	19.570000	
0.100000	3.229523	3.348830	20.766000	19.710000	
