Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.199664	3.888060	5.246000	9.150000	
0.100000	3.844188	3.740429	10.252000	11.600000	
0.100000	3.713513	3.649907	12.522000	13.790000	
0.100000	3.623492	3.491805	13.696000	15.860000	
0.100000	3.570208	3.541295	14.894000	15.860000	
0.100000	3.512765	3.480483	15.896000	16.730000	
0.100000	3.487908	3.467103	16.424000	17.060000	
0.100000	3.461968	3.421173	16.654000	17.610000	
0.100000	3.436301	3.409768	17.436000	18.730000	
0.100000	3.396792	3.336578	18.260000	19.040000	
0.100000	3.397076	3.424221	18.216000	18.000000	
0.100000	3.363695	3.335464	18.280000	19.670000	
0.100000	3.344068	3.315053	19.156000	20.230000	
0.100000	3.344760	3.439483	18.742000	18.000000	
0.100000	3.351215	3.386857	18.936000	18.700000	
0.100000	3.315310	3.342649	19.374000	19.800000	
0.100000	3.294345	3.338286	19.926000	20.040000	
0.100000	3.285238	3.320186	20.176000	19.510000	
0.100000	3.305207	3.333469	19.486000	19.880000	
0.100000	3.277006	3.289274	20.252000	19.800000	
0.100000	3.258255	3.332528	20.706000	19.940000	
0.100000	3.257785	3.324394	20.478000	20.010000	
0.100000	3.246270	3.227878	20.540000	21.800000	
0.100000	3.253265	3.292186	20.668000	20.510000	
0.100000	3.239943	3.313542	20.616000	20.230000	
0.100000	3.250590	3.386230	20.514000	18.990000	
0.100000	3.263474	3.325474	20.354000	19.970000	
0.100000	3.248577	3.334667	20.580000	18.990000	
0.100000	3.232625	3.253801	20.838000	21.130000	
0.100000	3.218586	3.327892	21.048000	20.200000	
0.100000	3.226904	3.337878	20.916000	19.900000	
0.100000	3.216411	3.347906	20.984000	20.240000	
0.100000	3.217061	3.309734	21.056000	19.920000	
0.100000	3.197711	3.270891	21.390000	20.560000	
0.100000	3.211445	3.290822	21.322000	21.010000	
0.100000	3.197449	3.272341	21.478000	20.920000	
0.100000	3.185381	3.358798	21.960000	19.220000	
0.100000	3.200470	3.302779	21.310000	20.650000	
0.100000	3.181606	3.293000	21.838000	20.590000	
0.100000	3.188707	3.264630	21.578000	20.570000	
0.100000	3.189876	3.298098	21.640000	20.460000	
0.100000	3.183384	3.314223	21.902000	20.120000	
0.100000	3.181275	3.316015	21.712000	20.550000	
0.100000	3.179590	3.262420	21.662000	21.150000	
0.100000	3.162735	3.291301	22.456000	20.690000	
0.100000	3.166172	3.311297	21.790000	20.200000	
0.100000	3.167991	3.325893	22.056000	19.770000	
0.100000	3.164950	3.264395	22.158000	21.270000	
0.100000	3.177136	3.276521	21.812000	20.800000	
0.100000	3.158779	3.252136	22.190000	21.440000	
0.100000	3.155188	3.288971	22.332000	19.800000	
0.100000	3.173567	3.210669	22.108000	22.110000	
0.100000	3.157041	3.210730	22.470000	22.120000	
0.100000	3.159381	3.262951	22.208000	21.410000	
0.100000	3.157760	3.236723	22.380000	21.760000	
0.100000	3.133157	3.299844	22.652000	20.950000	
0.100000	3.149669	3.299590	22.448000	20.420000	
0.100000	3.142428	3.252712	22.656000	21.210000	
0.100000	3.147077	3.222461	22.200000	22.120000	
0.100000	3.140290	3.314289	22.852000	21.230000	
0.100000	3.140759	3.302210	22.410000	20.360000	
0.100000	3.148340	3.271338	22.252000	20.870000	
