Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.065166	3.964363	7.394000	8.840000	
0.100000	3.994220	3.916092	8.444000	9.830000	
0.100000	3.985471	3.988883	9.080000	10.330000	
0.100000	3.983302	3.948651	8.926000	10.270000	
0.100000	3.959689	4.027385	9.396000	9.410000	
0.100000	3.931207	3.889970	9.834000	10.970000	
0.100000	3.896618	3.911717	10.470000	11.110000	
0.100000	3.866723	3.865351	11.134000	11.150000	
0.100000	3.847263	3.729068	11.310000	13.560000	
0.100000	3.856442	3.738006	11.258000	12.510000	
0.100000	3.824112	3.799278	12.038000	13.100000	
0.100000	3.830879	3.782173	11.716000	13.540000	
0.100000	3.806214	3.707699	12.086000	13.130000	
0.100000	3.802580	3.754320	12.592000	13.990000	
0.100000	3.794415	3.741958	12.706000	13.270000	
0.100000	3.787564	3.760592	12.424000	12.710000	
0.100000	3.802776	3.773869	12.624000	13.250000	
0.100000	3.791219	3.716819	12.646000	13.700000	
0.100000	3.752280	3.670851	13.204000	14.540000	
0.100000	3.782710	3.799550	12.788000	12.300000	
0.100000	3.760815	3.775159	13.034000	13.640000	
0.100000	3.765636	3.783536	12.938000	12.790000	
0.100000	3.771142	3.753062	13.154000	13.030000	
0.100000	3.761100	3.671360	13.038000	14.300000	
0.100000	3.754616	3.768026	13.080000	13.900000	
0.100000	3.771043	3.746740	13.004000	13.650000	
0.100000	3.739241	3.703346	13.544000	14.640000	
0.100000	3.762789	3.717419	13.188000	15.110000	
0.100000	3.780581	3.760329	12.932000	13.540000	
0.100000	3.759766	3.617596	13.278000	15.300000	
0.100000	3.736841	3.833513	13.702000	12.240000	
0.100000	3.735668	3.807678	13.598000	13.050000	
0.100000	3.760199	3.704961	13.270000	14.410000	
0.100000	3.752721	3.632187	13.458000	15.710000	
0.100000	3.752695	3.680614	13.364000	15.300000	
0.100000	3.742608	3.703159	13.602000	14.310000	
0.100000	3.752479	3.726486	13.378000	14.450000	
0.100000	3.740063	3.704515	13.646000	14.560000	
0.100000	3.756698	3.707483	13.592000	14.820000	
0.100000	3.763770	3.747650	13.318000	13.160000	
0.100000	3.762518	3.645329	13.522000	14.620000	
0.100000	3.728511	3.715185	13.972000	13.910000	
0.100000	3.758386	3.695238	13.382000	15.190000	
0.100000	3.747230	3.657337	13.658000	14.820000	
0.100000	3.754659	3.694720	13.338000	14.170000	
0.100000	3.723595	3.698951	13.696000	15.250000	
0.100000	3.753259	3.725521	13.388000	13.640000	
0.100000	3.725703	3.655460	13.934000	14.550000	
0.100000	3.719139	3.753895	13.980000	12.960000	
0.100000	3.768406	3.759173	13.200000	13.380000	
0.100000	3.746519	3.735542	13.662000	14.090000	
0.100000	3.753862	3.715017	13.276000	14.720000	
0.100000	3.739512	3.705861	13.604000	14.320000	
0.100000	3.736524	3.634536	13.842000	15.270000	
0.100000	3.735596	3.643660	13.668000	15.570000	
0.100000	3.736870	3.723220	13.650000	14.090000	
0.100000	3.735767	3.676374	13.858000	15.600000	
0.100000	3.758463	3.693320	13.658000	15.250000	
0.100000	3.725648	3.747553	13.936000	14.250000	
0.100000	3.720815	3.657973	14.038000	15.030000	
0.100000	3.717359	3.679758	13.792000	15.830000	
0.100000	3.745507	3.766432	13.658000	13.860000	
0.100000	3.727792	3.672933	13.616000	14.200000	
0.100000	3.722027	3.685738	14.022000	14.690000	
0.100000	3.726884	3.676972	13.710000	15.390000	
0.100000	3.737669	3.636966	13.718000	14.890000	
0.100000	3.725533	3.658256	13.824000	14.690000	
0.100000	3.727709	3.650306	13.990000	14.920000	
0.100000	3.714503	3.805974	14.058000	13.520000	
0.100000	3.728031	3.674762	13.816000	14.970000	
0.100000	3.742863	3.641389	13.578000	14.950000	
0.100000	3.731046	3.671637	13.928000	15.400000	
0.100000	3.720200	3.604134	14.050000	16.120000	
0.100000	3.693399	3.632351	14.398000	16.510000	
0.100000	3.733345	3.715600	13.792000	15.550000	
0.100000	3.706421	3.593173	14.086000	15.670000	
0.100000	3.717536	3.686965	14.088000	14.200000	
0.100000	3.720452	3.699305	14.088000	14.880000	
0.100000	3.725390	3.729244	14.102000	14.260000	
0.100000	3.719481	3.634945	13.988000	16.150000	
0.100000	3.727079	3.672735	13.966000	14.260000	
0.010000	3.239463	3.109992	21.660000	24.470000	
0.010000	3.024257	2.996733	25.668000	26.540000	
0.010000	2.922320	2.933239	27.378000	28.020000	
0.010000	2.853249	2.852686	28.636000	29.140000	
0.010000	2.785453	2.804942	30.054000	30.080000	
0.010000	2.732667	2.783210	30.944000	30.480000	
0.010000	2.684323	2.743677	31.822000	31.700000	
0.010000	2.645188	2.704280	32.508000	32.130000	
0.010000	2.606792	2.661913	33.236000	32.950000	
0.010000	2.560848	2.665757	34.184000	33.490000	
0.010000	2.520079	2.641739	35.082000	34.030000	
0.010000	2.486318	2.624178	35.656000	33.540000	
0.010000	2.463300	2.589406	36.230000	34.990000	
0.010000	2.428836	2.578075	36.980000	34.980000	
0.010000	2.405257	2.564834	37.446000	35.220000	
0.010000	2.385417	2.543855	37.866000	35.530000	
0.010000	2.352390	2.552619	38.520000	35.640000	
0.010000	2.330053	2.504392	38.900000	36.320000	
0.010000	2.304413	2.489959	39.494000	36.640000	
0.010000	2.283732	2.477953	40.026000	37.470000	
0.010000	2.268067	2.521383	40.048000	36.430000	
0.010000	2.243427	2.487610	40.674000	36.800000	
0.010000	2.231155	2.463386	40.996000	37.480000	
0.010000	2.215722	2.470313	41.280000	37.100000	
0.010000	2.193437	2.456453	41.800000	37.910000	
0.010000	2.178835	2.432810	42.186000	38.810000	
0.010000	2.165962	2.473847	42.404000	37.480000	
0.010000	2.156593	2.437538	42.936000	38.490000	
0.010000	2.136647	2.422070	42.746000	38.640000	
0.010000	2.124328	2.427861	43.426000	38.800000	
0.010000	2.111123	2.418776	43.532000	38.930000	
0.010000	2.097853	2.403922	43.914000	39.490000	
0.010000	2.080641	2.422393	44.376000	38.870000	
0.010000	2.066678	2.453744	44.480000	38.160000	
0.010000	2.054000	2.407131	45.290000	39.170000	
0.010000	2.060047	2.402979	44.704000	39.010000	
0.010000	2.048767	2.374893	44.978000	40.120000	
0.010000	2.032495	2.385727	45.362000	39.650000	
0.010000	2.018449	2.385796	45.650000	40.170000	
0.010000	2.009506	2.398460	45.944000	39.970000	
0.010000	2.000172	2.421962	46.068000	39.330000	
0.001000	1.791362	2.291694	51.306000	42.560000	
0.001000	1.738258	2.287030	52.356000	42.730000	
0.001000	1.721381	2.286408	52.922000	42.720000	
0.001000	1.708651	2.289384	53.112000	42.790000	
0.001000	1.696302	2.278797	53.730000	42.860000	
0.001000	1.687495	2.278464	53.732000	42.650000	
0.001000	1.678429	2.277057	53.884000	42.830000	
0.001000	1.674734	2.278461	53.864000	42.830000	
0.001000	1.666829	2.277721	54.452000	42.730000	
0.001000	1.661099	2.275777	54.252000	42.860000	
0.001000	1.653782	2.286303	54.554000	42.930000	
0.001000	1.652137	2.275946	54.700000	42.920000	
0.001000	1.648749	2.277445	54.618000	43.170000	
0.001000	1.642783	2.281415	54.686000	42.860000	
0.001000	1.643464	2.273401	54.706000	43.250000	
0.001000	1.633247	2.283269	54.786000	43.220000	
0.001000	1.635665	2.277120	54.930000	43.340000	
0.001000	1.628900	2.286664	55.062000	42.920000	
0.001000	1.626102	2.279606	55.294000	43.480000	
0.001000	1.614849	2.285162	55.486000	42.980000	
0.001000	1.618095	2.281601	55.614000	43.590000	
0.001000	1.611602	2.283182	55.400000	43.440000	
0.001000	1.601676	2.284250	55.590000	43.130000	
0.001000	1.607690	2.283422	55.496000	43.340000	
0.001000	1.602107	2.280949	55.630000	43.300000	
0.001000	1.592492	2.284991	56.052000	43.690000	
0.001000	1.597734	2.289609	56.008000	42.960000	
0.001000	1.585248	2.289401	56.034000	43.400000	
0.001000	1.588935	2.288075	56.174000	43.460000	
0.001000	1.585571	2.281804	56.024000	43.510000	
0.001000	1.581113	2.291645	56.420000	43.630000	
0.001000	1.580724	2.287949	56.202000	43.450000	
0.001000	1.571419	2.288151	56.524000	43.430000	
0.001000	1.572237	2.288494	56.544000	43.260000	
0.001000	1.568362	2.293231	56.188000	43.320000	
0.001000	1.570505	2.294547	56.184000	43.210000	
0.001000	1.562947	2.289065	56.630000	43.310000	
0.001000	1.567910	2.293548	56.346000	43.360000	
0.001000	1.559636	2.302994	56.868000	43.210000	
0.001000	1.547992	2.298591	57.070000	43.370000	
0.001000	1.550781	2.298134	56.920000	43.160000	
0.001000	1.549119	2.297187	56.870000	43.370000	
