Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.005000	4.338607	4.032622	4.452000	7.766667	
0.005000	3.858129	3.670340	11.088000	13.500000	
0.005000	3.568188	3.483512	15.758000	17.000000	
0.005000	3.363967	3.315598	19.154000	19.933333	
0.005000	3.205717	3.217068	22.310000	23.066667	
0.005000	3.080903	3.098710	24.382000	24.066667	
0.005000	2.969931	3.056074	26.356000	25.400000	
0.005000	2.876930	2.935116	28.506000	27.900000	
0.005000	2.789690	2.903023	29.960000	28.033333	
0.005000	2.722762	2.867136	31.720000	28.166667	
0.005000	2.651968	2.833121	32.942000	29.833333	
0.005000	2.590943	2.738441	33.882000	31.566667	
0.005000	2.527788	2.755841	35.200000	31.033333	
0.005000	2.477667	2.735375	36.522000	31.566667	
0.005000	2.423726	2.665292	37.546000	32.966667	
0.005000	2.380499	2.591632	38.288000	34.966667	
0.005000	2.335692	2.578803	39.432000	35.200000	
0.005000	2.293322	2.582936	40.454000	34.566667	
0.005000	2.249918	2.562490	41.246000	35.266667	
0.005000	2.217050	2.513148	41.882000	37.033333	
0.005000	2.169987	2.566621	42.760000	35.433333	
0.005000	2.135464	2.490669	43.528000	37.066667	
0.005000	2.102363	2.460675	44.234000	37.366667	
0.005000	2.071929	2.522583	44.920000	36.600000	
0.005000	2.039001	2.472981	45.654000	36.600000	
0.005000	2.008551	2.456753	46.214000	36.966667	
0.005000	1.969883	2.505406	47.186000	36.200000	
0.005000	1.943287	2.455848	47.702000	38.033333	
0.005000	1.916594	2.430723	48.346000	38.266667	
0.005000	1.887882	2.442274	49.054000	39.266667	
0.005000	1.858018	2.434567	49.424000	38.466667	
0.005000	1.823786	2.441347	50.256000	39.700000	
0.005000	1.799404	2.477292	50.776000	38.433333	
0.005000	1.780907	2.439152	51.348000	39.333333	
0.005000	1.747587	2.442738	51.854000	40.066667	
0.005000	1.730932	2.442720	52.412000	40.766667	
0.005000	1.708067	2.453084	52.646000	40.033333	
0.005000	1.679626	2.396719	53.518000	40.700000	
0.005000	1.659914	2.443444	53.968000	39.800000	
0.005000	1.632085	2.456716	54.588000	39.766667	
0.005000	1.610654	2.464411	55.084000	40.966667	
0.005000	1.580639	2.487690	55.796000	40.933333	
0.005000	1.565062	2.472134	56.326000	41.000000	
0.005000	1.546776	2.548752	56.438000	39.533333	
0.005000	1.533768	2.500702	56.848000	40.500000	
0.005000	1.501939	2.559156	57.544000	39.233333	
0.005000	1.482497	2.590642	57.960000	39.400000	
0.005000	1.464307	2.551327	58.586000	40.333333	
0.005000	1.440912	2.548265	59.084000	41.066667	
0.005000	1.429003	2.585237	59.202000	40.900000	
0.005000	1.403586	2.590185	60.008000	39.766667	
0.005000	1.388739	2.568214	60.212000	40.100000	
0.005000	1.374847	2.580314	60.290000	40.133333	
0.005000	1.361170	2.604600	60.968000	39.866667	
0.005000	1.334796	2.625369	61.640000	39.733333	
0.005000	1.330134	2.632573	61.868000	39.933333	
0.005000	1.318610	2.642514	61.972000	40.700000	
0.005000	1.297285	2.676802	62.536000	39.566667	
0.005000	1.286168	2.678731	62.910000	39.966667	
0.005000	1.269151	2.664998	63.008000	40.566667	
0.005000	1.245877	2.666776	63.902000	40.400000	
0.005000	1.238351	2.715375	64.092000	39.500000	
0.005000	1.224580	2.695264	64.052000	40.266667	
0.005000	1.214267	2.774811	64.518000	39.500000	
0.005000	1.187191	2.687209	65.300000	40.166667	
0.005000	1.190425	2.663916	65.240000	41.733333	
0.005000	1.166610	2.830671	65.638000	39.400000	
0.005000	1.159667	2.778031	65.750000	39.333333	
0.005000	1.150854	2.733913	65.958000	40.333333	
0.005000	1.132263	2.767078	66.344000	40.366667	
0.005000	1.124181	2.875333	66.656000	38.233333	
0.005000	1.110345	2.821274	67.082000	39.633333	
0.005000	1.095436	2.888553	67.490000	39.200000	
0.005000	1.092115	2.844809	67.492000	40.500000	
0.005000	1.066653	2.902582	68.296000	38.800000	
0.005000	1.051838	2.906042	68.610000	40.166667	
0.005000	1.046397	2.865205	68.730000	41.100000	
0.005000	1.048478	2.921449	68.424000	39.100000	
0.005000	1.028426	2.884769	69.274000	40.066667	
0.005000	1.020114	2.885773	69.276000	40.333333	
0.005000	1.017610	2.915643	69.514000	40.500000	
0.000500	0.758513	2.832400	77.662000	41.800000	
0.000500	0.688595	2.848491	79.734000	42.133333	
0.000500	0.656960	2.879767	80.492000	42.400000	
0.000500	0.642487	2.900695	81.026000	42.666667	
0.000500	0.626302	2.916738	81.490000	42.866667	
0.000500	0.617569	2.918221	81.574000	42.433333	
0.000500	0.604510	2.950127	81.888000	42.500000	
0.000500	0.595487	2.969977	82.284000	42.500000	
0.000500	0.591469	2.971465	82.508000	42.400000	
0.000500	0.581628	2.992130	82.766000	42.200000	
0.000500	0.580048	2.994866	82.776000	42.333333	
0.000500	0.563702	3.014949	83.310000	42.233333	
0.000500	0.566106	3.013387	83.168000	42.166667	
0.000500	0.560886	3.023744	83.390000	42.400000	
0.000500	0.555237	3.034655	83.506000	41.666667	
0.000500	0.551194	3.035770	83.668000	41.633333	
0.000500	0.545716	3.032466	83.654000	42.333333	
0.000500	0.540494	3.039807	84.030000	41.733333	
0.000500	0.535386	3.066670	84.074000	42.133333	
0.000500	0.531793	3.080178	84.220000	42.033333	
0.000500	0.530368	3.081695	84.200000	42.366667	
0.000500	0.526121	3.081859	84.432000	42.133333	
0.000500	0.522781	3.088020	84.472000	42.100000	
0.000500	0.522937	3.087913	84.512000	42.066667	
0.000500	0.514854	3.088340	84.746000	42.466667	
0.000500	0.512387	3.093323	84.852000	41.466667	
0.000500	0.505677	3.095513	85.000000	42.400000	
0.000500	0.502601	3.114387	85.118000	42.500000	
0.000500	0.503777	3.111970	85.072000	42.300000	
0.000500	0.496818	3.133631	85.242000	42.266667	
