Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.228403	3.912564	5.610000	9.680000	
0.010000	3.677432	3.518934	13.768000	16.890000	
0.010000	3.386975	3.302434	18.582000	20.460000	
0.010000	3.187403	3.163913	22.346000	23.080000	
0.010000	3.043889	3.099900	25.082000	24.640000	
0.010000	2.939718	2.950458	26.876000	28.130000	
0.010000	2.838659	2.927435	29.034000	27.470000	
0.010000	2.759670	2.869616	30.472000	29.030000	
0.010000	2.691796	2.827415	31.778000	30.320000	
0.010000	2.627820	2.750739	32.938000	32.000000	
0.010000	2.571045	2.745844	34.250000	31.690000	
0.010000	2.521949	2.713697	35.150000	32.780000	
0.010000	2.471183	2.697323	36.124000	32.910000	
0.010000	2.425554	2.732617	37.308000	33.200000	
0.010000	2.393372	2.656374	38.008000	33.680000	
0.010000	2.354533	2.681091	38.386000	33.670000	
0.010000	2.319778	2.667905	39.580000	33.650000	
0.010000	2.286561	2.618496	39.938000	34.850000	
0.010000	2.255342	2.647716	40.674000	34.550000	
0.010000	2.232321	2.595666	41.264000	35.300000	
0.010000	2.196878	2.664759	41.950000	34.900000	
0.010000	2.176779	2.614305	42.282000	35.550000	
0.010000	2.154866	2.656164	43.030000	34.330000	
0.010000	2.119133	2.667562	43.534000	34.830000	
0.010000	2.103298	2.657690	43.936000	35.430000	
0.010000	2.080313	2.665337	44.288000	35.030000	
0.010000	2.054757	2.673509	44.708000	34.590000	
0.010000	2.030777	2.670077	45.436000	35.420000	
0.010000	2.008638	2.632163	45.868000	35.680000	
0.010000	1.990923	2.659057	46.278000	35.110000	
0.010000	1.986384	2.656543	46.254000	35.700000	
0.010000	1.952669	2.643105	46.918000	36.110000	
0.010000	1.944355	2.619510	47.280000	36.580000	
0.010000	1.931124	2.715322	47.512000	36.000000	
0.010000	1.911598	2.713731	47.736000	35.050000	
0.010000	1.902166	2.658595	48.122000	35.930000	
0.010000	1.884247	2.643228	48.702000	35.960000	
0.010000	1.872265	2.689554	48.810000	36.390000	
0.010000	1.847791	2.722799	49.488000	35.530000	
0.010000	1.843504	2.699368	49.598000	35.800000	
0.010000	1.836494	2.660604	49.628000	36.690000	
0.010000	1.821348	2.659457	49.952000	36.820000	
0.010000	1.800785	2.701905	50.392000	36.190000	
0.010000	1.798106	2.713084	50.334000	35.990000	
0.010000	1.785823	2.689344	51.042000	35.990000	
0.010000	1.766556	2.725297	51.314000	36.290000	
0.010000	1.756111	2.715873	51.552000	36.460000	
0.010000	1.744282	2.718304	51.380000	36.000000	
0.010000	1.724943	2.733865	51.990000	36.240000	
0.010000	1.725028	2.749715	51.922000	35.960000	
0.010000	1.705607	2.753348	52.454000	36.020000	
0.010000	1.696117	2.734786	52.776000	36.470000	
0.010000	1.683937	2.770097	53.010000	36.410000	
0.010000	1.686583	2.771539	52.774000	36.090000	
0.010000	1.673536	2.795344	53.538000	36.200000	
0.010000	1.676172	2.786162	53.020000	35.980000	
0.010000	1.669440	2.813473	53.350000	36.260000	
0.010000	1.645834	2.795278	53.972000	35.900000	
0.010000	1.632828	2.785850	54.240000	36.840000	
0.010000	1.633741	2.810582	54.260000	36.280000	
0.010000	1.622765	2.806322	54.580000	36.230000	
0.010000	1.618850	2.823695	54.394000	35.260000	
0.010000	1.605142	2.823922	54.732000	35.340000	
0.010000	1.603009	2.823206	54.972000	35.300000	
0.010000	1.601968	2.848214	54.896000	35.750000	
0.010000	1.592118	2.800634	54.916000	36.890000	
0.010000	1.587184	2.810264	55.346000	36.390000	
0.010000	1.579794	2.807925	55.226000	36.620000	
0.010000	1.574969	2.877721	55.612000	35.210000	
0.010000	1.558421	2.844567	55.942000	36.880000	
0.010000	1.543310	2.868109	56.190000	35.750000	
0.010000	1.553038	2.851401	56.036000	36.560000	
0.010000	1.537890	2.922198	56.554000	35.460000	
0.010000	1.542816	2.936873	56.216000	35.800000	
0.010000	1.539369	2.884009	56.214000	36.540000	
0.010000	1.532227	2.842854	56.472000	36.340000	
0.010000	1.534554	2.866224	56.348000	37.030000	
0.010000	1.519372	2.954741	57.088000	35.020000	
0.010000	1.507988	2.932132	57.220000	35.830000	
0.010000	1.499354	2.932048	57.352000	36.100000	
0.010000	1.496826	2.933027	57.504000	35.690000	
0.001000	1.175897	2.810934	66.032000	38.800000	
0.001000	1.074947	2.843377	68.936000	38.900000	
0.001000	1.032683	2.867275	70.022000	39.010000	
0.001000	1.001086	2.909686	70.860000	38.650000	
0.001000	0.981791	2.905722	71.380000	39.040000	
0.001000	0.961334	2.911862	72.232000	39.440000	
0.001000	0.938351	2.943521	72.804000	38.920000	
0.001000	0.929191	2.969551	72.664000	38.910000	
0.001000	0.927137	2.958446	73.054000	39.440000	
0.001000	0.908615	2.977280	73.474000	39.170000	
0.001000	0.898481	2.999155	73.788000	38.970000	
0.001000	0.892721	3.001146	73.912000	39.210000	
0.001000	0.880465	3.018373	74.380000	39.120000	
0.001000	0.872623	3.022293	74.432000	39.180000	
0.001000	0.863597	3.020717	74.622000	38.840000	
0.001000	0.854184	3.035752	75.034000	39.030000	
0.001000	0.848461	3.044715	75.276000	39.300000	
0.001000	0.844437	3.057654	75.302000	38.980000	
0.001000	0.841578	3.057610	75.016000	38.670000	
0.001000	0.827269	3.061721	75.818000	39.260000	
0.001000	0.829984	3.087797	75.434000	39.130000	
0.001000	0.817695	3.087626	75.720000	38.960000	
0.001000	0.813341	3.094475	76.050000	39.020000	
0.001000	0.814591	3.096871	75.964000	39.120000	
0.001000	0.797181	3.122608	76.416000	38.750000	
0.001000	0.805640	3.104570	76.080000	39.360000	
0.001000	0.796347	3.126460	76.420000	38.900000	
0.001000	0.784639	3.141098	76.730000	39.070000	
0.001000	0.775408	3.149838	76.968000	38.840000	
0.001000	0.774221	3.142470	77.192000	39.110000	
0.001000	0.760056	3.155444	77.380000	38.990000	
0.001000	0.760850	3.167164	77.484000	38.700000	
0.001000	0.761916	3.182199	77.356000	38.830000	
0.001000	0.762658	3.174202	77.412000	38.970000	
0.001000	0.755312	3.187743	77.574000	38.630000	
0.001000	0.749846	3.188514	77.654000	39.090000	
0.001000	0.737793	3.211901	78.062000	38.480000	
0.001000	0.739971	3.214481	77.862000	38.560000	
0.001000	0.735248	3.227047	78.150000	38.790000	
0.001000	0.738416	3.215266	77.852000	38.650000	
0.001000	0.732464	3.233389	78.258000	38.420000	
0.000100	0.701129	3.215325	79.140000	38.720000	
0.000100	0.686130	3.215873	79.780000	38.810000	
0.000100	0.677066	3.217109	80.224000	38.960000	
0.000100	0.685383	3.218422	79.780000	39.040000	
0.000100	0.676876	3.223128	79.952000	39.070000	
0.000100	0.676801	3.222412	80.124000	39.030000	
0.000100	0.676189	3.225037	80.088000	39.000000	
0.000100	0.666833	3.228751	80.180000	39.040000	
0.000100	0.670366	3.230896	80.104000	39.050000	
0.000100	0.665820	3.234247	80.452000	38.980000	
0.000100	0.670142	3.228426	80.370000	38.950000	
0.000100	0.667055	3.233267	80.336000	39.190000	
0.000100	0.664520	3.237922	80.282000	39.040000	
0.000100	0.661238	3.236369	80.244000	39.060000	
0.000100	0.668705	3.239087	80.376000	39.160000	
0.000100	0.666009	3.236840	80.410000	38.900000	
0.000100	0.659682	3.243350	80.596000	39.040000	
0.000100	0.656646	3.244028	80.570000	38.990000	
0.000100	0.662999	3.243479	80.410000	39.150000	
0.000100	0.661316	3.244398	80.476000	39.180000	
0.000100	0.656113	3.248244	80.816000	38.940000	
0.000100	0.660001	3.251521	80.480000	39.020000	
0.000100	0.655970	3.251639	80.726000	39.000000	
0.000100	0.662203	3.246781	80.490000	39.060000	
0.000100	0.661721	3.251693	80.496000	39.190000	
0.000100	0.661299	3.253174	80.428000	39.040000	
0.000100	0.651651	3.254241	80.758000	39.090000	
0.000100	0.651618	3.252327	80.638000	38.940000	
0.000100	0.657800	3.259312	80.396000	39.010000	
0.000100	0.655631	3.255983	80.536000	39.020000	
0.000100	0.651996	3.258318	80.584000	39.080000	
0.000100	0.658015	3.261407	80.620000	38.920000	
0.000100	0.651999	3.261740	80.832000	38.990000	
0.000100	0.656031	3.262756	80.650000	39.000000	
0.000100	0.655678	3.264184	80.532000	39.060000	
0.000100	0.655115	3.267158	80.454000	39.070000	
0.000100	0.648071	3.271244	80.662000	38.890000	
0.000100	0.653803	3.269444	80.718000	38.930000	
0.000100	0.652074	3.267937	80.746000	39.070000	
0.000100	0.650808	3.269394	80.834000	39.020000	
0.000100	0.645915	3.268217	80.850000	39.140000	
0.000100	0.640015	3.273519	81.060000	39.100000	
0.000010	0.643915	3.272700	81.100000	39.130000	
0.000010	0.643304	3.272320	81.034000	39.220000	
0.000010	0.644194	3.271697	80.858000	39.190000	
0.000010	0.645177	3.271900	80.878000	39.110000	
0.000010	0.639291	3.271637	81.110000	39.180000	
0.000010	0.643059	3.271872	81.074000	39.170000	
0.000010	0.641083	3.272211	81.198000	39.160000	
0.000010	0.646492	3.272653	80.920000	39.150000	
0.000010	0.640633	3.272760	80.932000	39.130000	
0.000010	0.641097	3.273421	81.072000	39.140000	
0.000010	0.637906	3.273558	81.150000	39.100000	
0.000010	0.645667	3.273627	80.734000	39.110000	
0.000010	0.638108	3.273832	80.936000	39.120000	
0.000010	0.637031	3.274023	81.108000	39.070000	
0.000010	0.641433	3.273610	80.980000	39.110000	
0.000010	0.642221	3.273403	81.192000	39.060000	
0.000010	0.642416	3.272759	81.158000	39.110000	
0.000010	0.638848	3.273226	80.844000	39.140000	
0.000010	0.642475	3.273917	80.988000	39.150000	
0.000010	0.643340	3.274556	80.910000	39.110000	
0.000010	0.646409	3.275008	80.980000	39.170000	
0.000010	0.643092	3.275125	80.902000	39.170000	
0.000010	0.647946	3.275380	80.798000	39.120000	
0.000010	0.641632	3.276079	81.036000	39.170000	
0.000010	0.642279	3.276685	81.028000	39.150000	
0.000010	0.642280	3.277295	81.028000	39.170000	
0.000010	0.636504	3.277448	81.188000	39.200000	
0.000010	0.638134	3.277273	81.040000	39.180000	
0.000010	0.639210	3.276530	81.240000	39.180000	
0.000010	0.640765	3.276769	81.116000	39.160000	
0.000010	0.642808	3.276695	80.984000	39.230000	
0.000010	0.645684	3.276935	80.970000	39.230000	
0.000010	0.638181	3.277663	81.152000	39.200000	
0.000010	0.643837	3.277665	80.904000	39.160000	
