Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.370113	4.103979	3.042000	5.700000	
0.100000	3.909464	3.732881	8.280000	11.430000	
0.100000	3.657255	3.508923	12.690000	15.440000	
0.100000	3.441444	3.341854	16.264000	18.430000	
0.100000	3.305918	3.265419	19.018000	20.080000	
0.100000	3.210635	3.163875	20.830000	22.090000	
0.100000	3.131620	3.200257	22.644000	21.760000	
0.100000	3.076536	3.141905	23.362000	22.380000	
0.100000	3.027590	3.007657	24.602000	25.670000	
0.100000	2.983703	3.006043	25.414000	25.790000	
0.100000	2.945106	3.043103	26.378000	25.230000	
0.100000	2.923250	3.001117	26.710000	25.820000	
0.100000	2.898726	2.983614	27.008000	26.020000	
0.100000	2.875973	2.939162	27.594000	27.500000	
0.100000	2.867109	2.984106	27.600000	26.450000	
0.100000	2.842992	2.952553	28.268000	26.590000	
0.100000	2.824868	2.897522	28.624000	27.770000	
0.100000	2.806258	2.855696	28.886000	29.340000	
0.100000	2.802646	2.884469	29.120000	27.850000	
0.100000	2.794395	2.895510	29.394000	27.970000	
0.100000	2.781013	2.817885	29.608000	29.720000	
0.100000	2.767688	2.837059	30.182000	29.880000	
0.100000	2.759348	2.786350	30.230000	30.020000	
0.100000	2.758350	2.842825	30.208000	29.540000	
0.100000	2.742736	2.920908	30.436000	27.480000	
0.100000	2.737309	2.809041	30.780000	29.470000	
0.100000	2.728339	2.914400	30.456000	27.720000	
0.100000	2.715990	2.853485	30.940000	29.260000	
0.100000	2.711184	2.825285	30.870000	29.940000	
0.100000	2.715788	2.846424	30.870000	28.670000	
0.100000	2.699562	2.841357	31.240000	29.040000	
0.100000	2.694972	2.805928	31.518000	30.700000	
0.100000	2.689448	2.791232	31.584000	30.360000	
0.100000	2.692960	2.809423	31.478000	30.320000	
0.100000	2.693148	2.816668	31.530000	29.830000	
0.100000	2.675877	2.814037	31.778000	29.370000	
0.100000	2.669777	2.791746	31.856000	30.870000	
0.100000	2.677876	2.752079	32.050000	30.840000	
0.100000	2.662855	2.818730	32.096000	30.270000	
0.100000	2.664960	2.878298	32.050000	29.300000	
0.100000	2.648009	2.786066	32.354000	31.350000	
0.100000	2.658316	2.795227	32.028000	30.570000	
0.100000	2.650589	2.951197	32.208000	27.640000	
0.100000	2.646939	2.796773	32.396000	31.340000	
0.100000	2.647675	2.807299	32.294000	30.650000	
0.100000	2.629991	2.831767	32.828000	30.310000	
0.100000	2.633519	2.825797	32.490000	30.050000	
0.100000	2.623033	2.851394	32.906000	29.640000	
0.100000	2.641927	2.793471	32.460000	30.150000	
0.100000	2.624185	2.816229	32.928000	29.970000	
0.100000	2.626491	2.801438	32.544000	31.060000	
0.100000	2.626888	2.899420	32.972000	28.790000	
0.100000	2.617486	2.831434	32.874000	30.550000	
0.100000	2.617739	2.786519	33.084000	30.590000	
0.100000	2.616470	2.753831	32.982000	31.210000	
0.100000	2.612637	2.824394	33.128000	30.250000	
0.100000	2.623395	2.816899	33.132000	30.940000	
0.100000	2.611304	2.836001	33.294000	30.010000	
0.100000	2.614036	2.832632	33.014000	29.990000	
0.100000	2.619393	2.825229	33.090000	29.830000	
0.100000	2.605024	2.817284	33.170000	30.310000	
0.100000	2.603655	2.840604	33.196000	30.320000	
0.100000	2.605511	2.821126	33.330000	29.870000	
0.100000	2.594996	2.797561	33.456000	31.170000	
0.100000	2.590290	2.841656	33.558000	29.640000	
0.100000	2.600814	2.901331	33.188000	29.170000	
0.100000	2.590794	2.741562	33.596000	31.780000	
0.100000	2.598193	2.870762	33.294000	30.190000	
0.100000	2.588257	2.750535	33.398000	31.390000	
0.100000	2.593811	2.776559	33.304000	31.350000	
0.100000	2.585448	2.779639	33.598000	30.810000	
0.100000	2.585329	2.734620	33.760000	31.980000	
0.100000	2.594602	2.781815	33.354000	31.350000	
0.100000	2.578495	2.742121	33.838000	31.770000	
0.100000	2.570821	2.843131	33.926000	30.390000	
0.100000	2.573828	2.769283	33.880000	31.480000	
0.100000	2.586669	2.766403	33.554000	30.980000	
0.100000	2.564201	2.811683	34.034000	30.690000	
0.100000	2.572783	2.737522	33.784000	31.790000	
0.100000	2.559470	2.852110	34.282000	29.950000	
0.100000	2.562925	2.822257	33.988000	30.000000	
0.010000	2.054107	2.378425	45.122000	40.040000	
0.010000	1.865132	2.365210	49.314000	40.850000	
0.010000	1.786187	2.344605	51.062000	41.500000	
0.010000	1.734007	2.368032	52.384000	41.070000	
0.010000	1.683307	2.361811	53.610000	41.010000	
0.010000	1.641165	2.357258	54.322000	40.940000	
0.010000	1.607304	2.364778	55.220000	40.980000	
0.010000	1.569595	2.367573	56.142000	41.140000	
0.010000	1.546471	2.374470	56.802000	41.400000	
0.010000	1.507546	2.376336	57.468000	41.610000	
0.010000	1.479313	2.378913	58.330000	41.360000	
0.010000	1.453859	2.394190	59.018000	41.150000	
0.010000	1.427707	2.405294	59.584000	40.960000	
0.010000	1.398039	2.431671	60.478000	41.180000	
0.010000	1.368290	2.417282	61.120000	41.030000	
0.010000	1.332015	2.462873	61.944000	41.350000	
0.010000	1.315373	2.486069	62.328000	41.260000	
0.010000	1.281419	2.448249	63.278000	40.520000	
0.010000	1.261905	2.473648	63.646000	40.640000	
0.010000	1.231558	2.505594	64.444000	40.580000	
0.010000	1.209441	2.522004	65.086000	40.920000	
0.010000	1.180815	2.545649	66.008000	40.650000	
0.010000	1.153123	2.563236	66.352000	40.230000	
0.010000	1.128089	2.603528	67.348000	40.200000	
0.010000	1.102305	2.599389	67.834000	40.060000	
0.010000	1.076055	2.643739	68.548000	39.920000	
0.010000	1.053529	2.648040	69.088000	40.150000	
0.010000	1.030841	2.712745	69.886000	39.410000	
0.010000	1.013695	2.687940	70.300000	40.120000	
0.010000	0.984751	2.701050	71.084000	39.960000	
0.010000	0.962488	2.721957	71.530000	39.880000	
0.010000	0.943725	2.740068	72.324000	39.580000	
0.010000	0.928756	2.753153	72.268000	40.130000	
0.010000	0.902131	2.790597	73.242000	39.690000	
0.010000	0.885049	2.792937	73.742000	39.510000	
0.010000	0.864686	2.826248	74.354000	39.350000	
0.010000	0.847976	2.794990	74.734000	39.150000	
0.010000	0.832996	2.888566	75.188000	39.360000	
0.010000	0.813342	2.870566	75.632000	39.290000	
0.010000	0.790143	2.917214	76.320000	38.780000	
0.010000	0.772334	2.907301	76.794000	39.630000	
0.001000	0.554012	2.867067	84.594000	40.880000	
0.001000	0.496432	2.915113	86.508000	41.330000	
0.001000	0.474964	2.941063	87.020000	41.060000	
0.001000	0.460911	2.970115	87.296000	40.550000	
0.001000	0.448720	2.975101	87.906000	40.940000	
0.001000	0.435544	3.000062	88.256000	40.860000	
0.001000	0.436068	3.010724	88.170000	40.950000	
0.001000	0.429102	3.010453	88.526000	40.800000	
0.001000	0.416101	3.023977	88.840000	40.980000	
0.001000	0.410842	3.038083	88.948000	40.870000	
0.001000	0.411723	3.044889	89.140000	40.740000	
0.001000	0.404131	3.037104	89.152000	40.670000	
0.001000	0.401938	3.041492	89.376000	40.880000	
0.001000	0.396291	3.061911	89.314000	40.810000	
0.001000	0.395934	3.066675	89.514000	41.050000	
0.001000	0.396382	3.050563	89.590000	40.870000	
0.001000	0.389953	3.068245	89.714000	41.120000	
0.001000	0.385521	3.074253	89.878000	40.750000	
0.001000	0.384184	3.072939	89.788000	40.600000	
0.001000	0.381327	3.082523	89.922000	40.840000	
0.001000	0.373249	3.093820	90.268000	40.840000	
0.001000	0.373307	3.089355	90.148000	40.720000	
0.001000	0.373704	3.089495	90.292000	40.930000	
0.001000	0.370177	3.087078	90.208000	40.640000	
0.001000	0.370650	3.081470	90.174000	40.780000	
0.001000	0.366159	3.095275	90.520000	40.880000	
0.001000	0.359699	3.101217	90.744000	40.630000	
0.001000	0.357059	3.103997	90.678000	41.000000	
0.001000	0.357858	3.095885	90.538000	40.940000	
0.001000	0.358583	3.091795	90.928000	40.870000	
0.001000	0.355733	3.104613	90.866000	40.890000	
0.001000	0.351356	3.112284	90.944000	40.820000	
0.001000	0.350305	3.108403	90.924000	40.610000	
0.001000	0.348706	3.118185	91.160000	40.660000	
0.001000	0.345108	3.116021	91.112000	40.990000	
0.001000	0.343471	3.117386	91.106000	40.970000	
0.001000	0.344097	3.112865	91.236000	40.810000	
0.001000	0.337382	3.130110	91.556000	40.760000	
0.001000	0.336852	3.130511	91.378000	40.720000	
0.001000	0.333969	3.133312	91.610000	40.780000	
0.001000	0.329410	3.131863	91.652000	40.790000	
0.001000	0.333853	3.144536	91.552000	40.540000	
