Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.975507	3.553554	8.766000	14.480000	
0.100000	3.442629	3.382666	17.052000	19.210000	
0.100000	3.231364	3.194243	20.942000	21.350000	
0.100000	3.111342	3.118504	23.246000	22.870000	
0.100000	3.030859	3.022858	24.644000	25.350000	
0.100000	2.957458	2.966972	26.094000	26.370000	
0.100000	2.918103	2.979983	27.072000	26.710000	
0.100000	2.893202	2.926027	27.474000	27.500000	
0.100000	2.854291	2.886151	28.198000	28.740000	
0.100000	2.838747	2.885008	28.454000	28.480000	
0.100000	2.820724	2.870164	28.872000	28.690000	
0.100000	2.790144	2.836782	29.368000	29.560000	
0.100000	2.788695	2.928056	29.542000	28.500000	
0.100000	2.765351	2.837160	29.914000	28.990000	
0.100000	2.765365	2.806274	30.002000	30.270000	
0.100000	2.749748	2.758266	30.580000	30.910000	
0.100000	2.745858	2.798930	30.388000	29.790000	
0.100000	2.731654	2.853823	30.776000	29.090000	
0.100000	2.721086	2.757402	30.998000	30.900000	
0.100000	2.711230	2.896180	31.114000	28.430000	
0.100000	2.700730	2.813911	31.526000	30.380000	
0.100000	2.706924	2.837378	31.508000	29.250000	
0.100000	2.698640	2.801896	31.408000	30.170000	
0.100000	2.690269	2.804883	31.466000	30.150000	
0.100000	2.688140	2.795127	31.650000	30.200000	
0.100000	2.685267	2.767664	31.500000	31.300000	
0.100000	2.684687	2.809071	31.740000	29.440000	
0.100000	2.674348	2.746538	31.710000	31.090000	
0.100000	2.680857	2.813748	31.712000	31.070000	
0.100000	2.673832	2.809842	32.168000	30.120000	
0.100000	2.664182	2.743743	31.874000	32.240000	
0.100000	2.658965	2.772863	31.874000	31.160000	
0.100000	2.654032	2.785964	32.268000	30.220000	
0.100000	2.658713	2.766586	31.996000	30.950000	
0.100000	2.644166	2.711554	32.622000	31.910000	
0.100000	2.653799	2.722936	32.484000	31.540000	
0.100000	2.650256	2.732660	32.198000	31.950000	
0.100000	2.638598	2.707405	32.650000	31.750000	
0.100000	2.642707	2.723582	32.616000	32.070000	
0.100000	2.648080	2.737250	32.710000	31.370000	
0.100000	2.643500	2.737924	32.460000	31.500000	
0.100000	2.639945	2.713064	32.540000	31.490000	
0.100000	2.631734	2.773608	32.988000	30.950000	
0.100000	2.641078	2.713563	32.304000	31.520000	
0.100000	2.628639	2.880281	32.858000	28.730000	
0.100000	2.640959	2.729054	32.490000	32.180000	
0.100000	2.639908	2.699784	32.432000	32.450000	
0.100000	2.631509	2.780903	32.776000	30.400000	
0.100000	2.638319	2.704674	32.376000	31.800000	
0.100000	2.626387	2.773969	32.564000	30.510000	
0.100000	2.624204	2.728100	32.958000	31.760000	
0.100000	2.628017	2.726744	32.746000	31.950000	
0.100000	2.625090	2.713249	32.806000	32.280000	
0.100000	2.615152	2.765235	32.932000	31.230000	
0.100000	2.617508	2.743024	33.016000	32.290000	
0.100000	2.616183	2.711175	33.080000	32.200000	
0.100000	2.610006	2.777372	33.210000	31.090000	
0.100000	2.612686	2.679834	32.956000	32.950000	
0.100000	2.613652	2.732335	33.164000	31.250000	
0.100000	2.608082	2.735086	33.240000	31.910000	
0.100000	2.613907	2.688483	32.834000	32.830000	
0.100000	2.613756	2.749472	33.194000	30.980000	
0.100000	2.607675	2.821065	33.244000	30.620000	
0.100000	2.608522	2.696204	32.924000	31.720000	
