Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	4.161258	3.785820	6.424000	12.100000	
0.010000	3.585226	3.494274	15.196000	16.266667	
0.010000	3.292897	3.235251	20.322000	22.066667	
0.010000	3.085768	3.080530	24.056000	24.466667	
0.010000	2.928268	2.985230	27.262000	25.200000	
0.010000	2.801680	2.901164	29.618000	28.133333	
0.010000	2.698897	2.785140	31.648000	31.000000	
0.010000	2.599420	2.752577	33.572000	30.966667	
0.010000	2.524501	2.706182	35.126000	31.733333	
0.010000	2.442367	2.636622	36.996000	33.266667	
0.010000	2.368388	2.606002	38.502000	34.100000	
0.010000	2.307215	2.528729	39.696000	36.133333	
0.010000	2.252036	2.503833	40.822000	36.300000	
0.010000	2.192072	2.504243	41.876000	35.933333	
0.010000	2.150790	2.446949	42.950000	38.066667	
0.010000	2.091179	2.421647	44.240000	38.100000	
0.010000	2.047874	2.367110	45.250000	40.566667	
0.010000	1.995768	2.412119	46.412000	38.533333	
0.010000	1.963584	2.366593	46.992000	39.933333	
0.010000	1.912160	2.377413	48.014000	38.866667	
0.010000	1.887367	2.400810	48.490000	39.033333	
0.010000	1.853781	2.400086	49.488000	39.800000	
0.010000	1.817815	2.411149	50.370000	39.900000	
0.010000	1.785790	2.430525	50.954000	39.133333	
0.010000	1.750926	2.380628	51.886000	41.466667	
0.010000	1.719030	2.377407	52.468000	41.600000	
0.010000	1.695855	2.379971	52.804000	41.400000	
0.010000	1.661460	2.389182	53.982000	40.333333	
0.010000	1.652474	2.392787	53.822000	41.966667	
0.010000	1.613885	2.463908	55.038000	39.600000	
0.010000	1.576919	2.409618	55.734000	40.633333	
0.010000	1.560971	2.433904	56.320000	41.133333	
0.010000	1.541433	2.456878	56.482000	40.400000	
0.010000	1.525936	2.467914	56.876000	41.133333	
0.010000	1.488918	2.487189	57.960000	41.533333	
0.010000	1.471769	2.459656	58.142000	40.933333	
0.010000	1.460803	2.491739	58.584000	41.300000	
0.010000	1.432683	2.482895	59.148000	40.800000	
0.010000	1.418872	2.551745	59.366000	40.000000	
0.010000	1.402221	2.496375	60.050000	42.133333	
0.010000	1.370397	2.564646	60.690000	39.166667	
0.010000	1.364348	2.602334	60.632000	39.100000	
0.010000	1.352774	2.558926	61.198000	40.733333	
0.010000	1.321978	2.578123	61.812000	41.633333	
0.010000	1.314598	2.580620	61.956000	41.033333	
