Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.971310	3.540614	9.004000	14.766667	
0.100000	3.441465	3.368245	17.182000	18.233333	
0.100000	3.223240	3.310917	21.000000	19.000000	
0.100000	3.113557	3.091110	23.008000	22.700000	
0.100000	3.036802	3.112434	24.560000	22.633333	
0.100000	2.969960	2.998626	25.850000	25.800000	
0.100000	2.925219	2.940264	26.854000	26.700000	
0.100000	2.890963	2.919125	27.594000	26.600000	
0.100000	2.863493	2.885040	28.308000	27.666667	
0.100000	2.829728	2.908479	28.848000	28.566667	
0.100000	2.811635	2.887612	29.042000	27.066667	
0.100000	2.809666	2.870927	28.970000	28.733333	
0.100000	2.776103	2.841628	29.658000	29.666667	
0.100000	2.767820	2.868281	29.902000	27.400000	
0.100000	2.765255	2.866186	29.852000	27.966667	
0.100000	2.752101	2.896651	30.480000	28.100000	
0.100000	2.734928	2.799858	30.458000	31.033333	
0.100000	2.732063	2.846980	30.614000	29.033333	
0.100000	2.725736	2.838907	31.096000	28.833333	
0.100000	2.718506	2.754036	31.164000	30.566667	
0.100000	2.702477	2.775852	31.104000	29.633333	
0.100000	2.696865	2.817223	31.548000	30.700000	
0.100000	2.692127	2.764297	31.436000	31.133333	
0.100000	2.690350	2.753106	31.616000	31.400000	
0.100000	2.683290	2.853951	31.766000	28.933333	
0.100000	2.686257	2.806185	31.438000	29.466667	
0.100000	2.679523	2.845178	31.640000	28.800000	
0.100000	2.671887	2.805449	31.920000	30.133333	
0.100000	2.669711	2.775977	31.980000	31.000000	
0.100000	2.674041	2.747815	31.836000	30.066667	
0.100000	2.673774	2.755248	32.008000	31.300000	
0.100000	2.647845	2.807170	32.698000	30.000000	
0.100000	2.648621	2.839296	32.190000	28.933333	
0.100000	2.644327	2.760116	32.402000	30.266667	
0.100000	2.655795	2.801945	32.280000	29.833333	
0.100000	2.653171	2.730130	32.420000	31.400000	
0.100000	2.637262	2.753039	32.508000	31.800000	
0.100000	2.637683	2.735472	32.772000	31.166667	
0.100000	2.640420	2.754596	32.422000	30.700000	
0.100000	2.646078	2.822064	32.496000	30.133333	
0.100000	2.640889	2.808374	32.550000	29.866667	
0.100000	2.640897	2.799019	32.478000	30.333333	
0.100000	2.635671	2.708840	32.548000	31.966667	
0.100000	2.620042	2.728229	32.764000	31.233333	
