Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	4.291383	3.858802	4.454000	9.733333	
0.050000	3.650425	3.411277	12.978000	17.533333	
0.050000	3.284221	3.133175	19.772000	23.200000	
0.050000	3.054669	2.978998	24.100000	25.800000	
0.050000	2.865555	2.793603	27.658000	29.700000	
0.050000	2.699333	2.673549	31.038000	31.366667	
0.050000	2.567019	2.528421	33.780000	34.866667	
0.050000	2.471173	2.486744	35.734000	34.600000	
0.050000	2.393456	2.403794	37.324000	37.900000	
0.050000	2.320081	2.401559	38.768000	36.733333	
0.050000	2.270840	2.438893	39.824000	37.100000	
0.050000	2.209350	2.309280	41.186000	38.700000	
0.050000	2.169575	2.254876	42.116000	40.766667	
0.050000	2.128789	2.304647	43.026000	40.266667	
0.050000	2.097381	2.259166	43.572000	41.233333	
0.050000	2.064604	2.286138	44.374000	40.033333	
0.050000	2.033393	2.220326	45.160000	42.200000	
0.050000	2.003052	2.236518	45.836000	42.600000	
0.050000	1.972732	2.188193	46.486000	42.133333	
0.050000	1.956416	2.160612	46.726000	43.466667	
0.050000	1.923010	2.243451	47.724000	41.566667	
0.050000	1.923358	2.209680	47.696000	43.733333	
0.050000	1.892464	2.151872	48.286000	42.966667	
0.050000	1.874359	2.228560	48.744000	41.633333	
0.050000	1.858999	2.142810	49.036000	44.666667	
0.050000	1.833598	2.183598	49.646000	42.900000	
0.050000	1.827522	2.171717	50.052000	42.700000	
0.050000	1.799659	2.127469	50.416000	44.566667	
0.050000	1.783747	2.242458	50.736000	42.300000	
0.050000	1.785942	2.143747	50.756000	44.400000	
0.050000	1.766710	2.115371	51.264000	45.133333	
0.050000	1.759247	2.120025	51.334000	45.200000	
0.050000	1.750964	2.215870	51.600000	42.033333	
0.050000	1.735107	2.130278	51.774000	43.933333	
0.050000	1.717652	2.149792	52.256000	43.666667	
0.050000	1.720318	2.166946	52.350000	44.233333	
0.050000	1.709689	2.135812	52.220000	44.766667	
0.050000	1.691833	2.192704	52.730000	44.333333	
0.050000	1.695590	2.193410	52.660000	43.700000	
0.050000	1.669741	2.218653	53.506000	43.933333	
0.050000	1.670159	2.211181	53.316000	43.933333	
0.050000	1.661589	2.173875	53.704000	42.900000	
0.050000	1.645981	2.155038	53.858000	43.866667	
0.050000	1.653598	2.164629	53.848000	44.100000	
0.050000	1.643669	2.178904	54.000000	45.466667	
