Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.959179	3.629521	9.012000	15.133333	
0.050000	3.471812	3.363837	17.130000	19.133333	
0.050000	3.314716	3.304802	19.678000	20.233333	
0.050000	3.193726	3.210144	22.244000	23.300000	
0.050000	3.132187	3.115510	23.554000	25.033333	
0.050000	3.076018	3.056010	24.592000	25.133333	
0.050000	3.031409	3.077635	25.542000	25.100000	
0.050000	2.980550	2.989476	26.392000	27.466667	
0.050000	2.954873	3.058990	27.082000	25.733333	
0.050000	2.933968	3.085882	27.674000	24.466667	
0.050000	2.915200	2.977196	28.054000	28.800000	
0.050000	2.907138	3.055556	28.182000	26.000000	
0.050000	2.864923	2.927826	28.912000	27.900000	
0.050000	2.853153	2.984965	29.202000	28.733333	
0.050000	2.843390	2.913780	29.520000	29.666667	
0.050000	2.817630	2.905713	29.804000	29.100000	
0.050000	2.805708	3.013121	30.438000	27.900000	
0.050000	2.795464	2.926973	30.562000	28.933333	
0.050000	2.788496	2.899380	30.322000	28.866667	
0.050000	2.775653	2.814815	30.694000	30.233333	
0.050000	2.769779	2.920854	30.868000	28.600000	
0.050000	2.762010	2.933298	30.964000	29.033333	
0.050000	2.761157	2.932718	31.310000	28.166667	
0.050000	2.732612	2.932727	31.652000	29.366667	
0.050000	2.741431	2.840981	31.684000	30.366667	
0.050000	2.728348	2.861017	31.796000	30.700000	
0.050000	2.724339	2.817933	31.848000	30.600000	
0.050000	2.721363	2.946961	32.058000	27.166667	
0.050000	2.717897	2.893741	32.260000	29.400000	
0.050000	2.716721	2.884484	31.996000	30.566667	
0.050000	2.692850	2.851650	32.598000	30.533333	
0.050000	2.693531	2.866770	32.724000	29.100000	
0.050000	2.693338	2.831888	32.464000	29.333333	
0.050000	2.683974	2.786711	32.752000	31.033333	
0.050000	2.674430	2.891885	33.016000	29.433333	
0.050000	2.664477	2.799063	33.078000	32.200000	
0.050000	2.673255	2.762313	33.020000	31.500000	
0.050000	2.690656	2.793630	32.668000	31.600000	
0.050000	2.687634	2.927695	32.940000	28.166667	
0.050000	2.670846	2.811067	33.174000	31.066667	
0.050000	2.658269	2.796823	33.374000	30.666667	
0.050000	2.657130	2.875364	33.436000	29.633333	
0.050000	2.662300	2.771112	33.286000	31.933333	
0.050000	2.655865	2.812855	33.620000	31.400000	
0.050000	2.653168	2.802859	33.442000	31.366667	
0.050000	2.659421	2.800143	33.286000	30.700000	
0.050000	2.640147	2.781683	33.386000	32.100000	
0.050000	2.643635	2.794643	33.728000	31.700000	
0.050000	2.635897	2.744080	33.736000	32.766667	
0.050000	2.619692	2.803015	33.974000	31.066667	
0.050000	2.624887	2.764398	33.952000	31.966667	
0.050000	2.615532	2.806293	34.310000	31.600000	
0.050000	2.619939	2.852457	34.120000	29.700000	
0.050000	2.607141	2.853124	34.464000	30.733333	
0.050000	2.610562	2.694641	34.214000	33.933333	
0.050000	2.608285	2.817309	34.452000	32.500000	
0.050000	2.614715	2.809450	34.160000	32.500000	
0.050000	2.613594	2.746547	34.272000	32.233333	
0.050000	2.624961	2.774643	33.956000	31.500000	
0.050000	2.611546	2.728232	34.216000	31.966667	
0.050000	2.592592	2.778331	34.290000	31.933333	
0.050000	2.605825	2.858274	34.498000	31.033333	
0.050000	2.589151	2.865182	34.752000	31.300000	
