Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.973882	3.580317	8.872000	15.466667	
0.050000	3.510856	3.383919	16.132000	19.100000	
0.050000	3.330761	3.252688	19.600000	20.433333	
0.050000	3.243324	3.118538	21.364000	22.666667	
0.050000	3.154408	3.123980	23.148000	23.500000	
0.050000	3.117195	3.096924	23.598000	24.466667	
0.050000	3.071413	3.029630	24.734000	24.433333	
0.050000	3.034393	3.118058	25.470000	23.566667	
0.050000	3.012396	3.048153	26.000000	25.833333	
0.050000	2.984899	3.066264	26.762000	24.266667	
0.050000	2.952628	2.975416	27.078000	25.733333	
0.050000	2.924491	2.939113	27.890000	28.200000	
0.050000	2.910379	2.956652	28.236000	27.133333	
0.050000	2.895104	2.953830	28.512000	28.200000	
0.050000	2.864001	2.896656	28.936000	30.066667	
0.050000	2.846306	2.925989	29.134000	27.966667	
0.050000	2.838733	2.913230	29.530000	28.866667	
0.050000	2.817914	2.900951	29.776000	28.266667	
0.050000	2.798469	2.843983	30.062000	29.833333	
0.050000	2.797684	2.815628	30.490000	30.866667	
0.050000	2.783425	2.865596	30.514000	30.133333	
0.050000	2.764250	2.762193	31.018000	31.966667	
0.050000	2.734475	2.848304	31.486000	30.233333	
0.050000	2.733649	2.888935	31.660000	28.000000	
0.050000	2.726602	2.825349	32.030000	31.933333	
0.050000	2.718696	2.776679	31.916000	30.200000	
0.050000	2.699783	2.886233	32.306000	30.333333	
0.050000	2.698517	2.766886	32.190000	31.000000	
0.050000	2.677907	2.770130	32.630000	31.433333	
0.050000	2.673468	2.773571	32.634000	31.933333	
0.050000	2.668081	2.778393	33.012000	30.966667	
0.050000	2.657086	2.770891	33.344000	31.133333	
0.050000	2.633914	2.717467	33.658000	31.833333	
0.050000	2.626050	2.804806	33.524000	31.533333	
0.050000	2.612887	2.721002	33.818000	32.033333	
0.050000	2.603480	2.763990	34.138000	32.966667	
0.050000	2.598545	2.758859	34.236000	31.766667	
0.050000	2.600506	2.763400	34.266000	32.700000	
0.050000	2.574120	2.735567	34.578000	32.500000	
0.050000	2.564020	2.741441	35.056000	33.266667	
0.050000	2.570011	2.806851	34.856000	30.266667	
0.050000	2.558371	2.754989	34.868000	32.300000	
0.050000	2.559576	2.708777	35.066000	32.833333	
0.050000	2.538303	2.686009	35.468000	33.000000	
0.050000	2.521899	2.722601	35.788000	33.100000	
0.050000	2.519031	2.692787	35.558000	33.000000	
0.050000	2.509503	2.776316	36.020000	32.766667	
0.050000	2.508118	2.730482	35.936000	32.100000	
0.050000	2.489464	2.638110	36.076000	33.700000	
0.050000	2.484724	2.730832	36.460000	31.700000	
0.050000	2.468921	2.612339	36.606000	34.600000	
0.050000	2.460627	2.660101	36.904000	33.900000	
0.050000	2.468647	2.585794	36.762000	36.266667	
0.050000	2.460996	2.678252	36.714000	34.033333	
