Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.997940	3.652974	8.282000	14.200000	
0.050000	3.492742	3.419976	16.330000	17.666667	
0.050000	3.313369	3.318420	20.016000	21.066667	
0.050000	3.200996	3.159664	21.758000	23.633333	
0.050000	3.136045	3.158848	23.220000	22.133333	
0.050000	3.077906	3.077077	24.518000	24.666667	
0.050000	3.048663	3.062623	25.034000	24.933333	
0.050000	2.995620	3.040371	25.904000	25.766667	
0.050000	2.972843	2.973572	26.456000	26.833333	
0.050000	2.930311	2.992198	27.302000	26.900000	
0.050000	2.903605	2.924670	27.626000	28.633333	
0.050000	2.900493	2.965113	27.758000	26.600000	
0.050000	2.880554	2.960476	28.062000	27.433333	
0.050000	2.867358	2.967677	28.294000	26.933333	
0.050000	2.843225	2.928498	28.898000	27.933333	
0.050000	2.823502	2.908667	29.330000	28.266667	
0.050000	2.800645	2.861020	29.586000	30.766667	
0.050000	2.794529	2.838807	29.690000	29.733333	
0.050000	2.770710	2.942756	30.298000	28.066667	
0.050000	2.775681	2.852411	30.254000	29.466667	
0.050000	2.752162	2.848761	30.498000	29.466667	
0.050000	2.726686	2.940568	31.110000	27.400000	
0.050000	2.732320	2.926078	31.022000	27.600000	
0.050000	2.717061	2.867215	31.402000	28.933333	
0.050000	2.709271	2.813126	31.456000	31.033333	
0.050000	2.696973	2.904286	31.766000	28.700000	
0.050000	2.696856	2.928588	31.898000	27.866667	
0.050000	2.680055	2.824910	31.994000	29.466667	
0.050000	2.668075	2.839164	32.302000	30.800000	
0.050000	2.668090	2.836103	32.262000	30.000000	
0.050000	2.664362	2.830671	32.520000	28.733333	
0.050000	2.653192	2.801509	32.400000	29.866667	
0.050000	2.640187	2.919893	32.708000	28.333333	
0.050000	2.634902	2.789377	32.918000	31.633333	
0.050000	2.623799	2.751057	33.110000	31.766667	
0.050000	2.614747	2.774638	33.394000	31.233333	
0.050000	2.607318	2.735751	33.190000	31.300000	
0.050000	2.603930	2.780315	33.484000	31.566667	
0.050000	2.589248	2.811044	33.620000	31.133333	
