Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.484521	4.154489	1.986000	4.480000	
0.100000	3.975396	3.860341	7.160000	9.640000	
0.100000	3.702371	3.518202	11.792000	14.960000	
0.100000	3.464158	3.353212	16.038000	18.400000	
0.100000	3.296053	3.199263	18.970000	20.720000	
0.100000	3.182986	3.108836	21.348000	23.330000	
0.100000	3.101725	3.021728	22.870000	25.210000	
0.100000	3.048538	3.026505	24.168000	24.300000	
0.100000	2.986941	2.988823	25.182000	26.030000	
0.100000	2.947992	2.989039	26.240000	26.040000	
0.100000	2.915519	2.969698	26.810000	26.250000	
0.100000	2.880474	2.892493	27.600000	27.580000	
0.100000	2.853149	2.831665	28.236000	28.520000	
0.100000	2.833276	2.919691	28.496000	27.730000	
0.100000	2.802876	2.877258	29.478000	28.940000	
0.100000	2.798167	2.871876	29.254000	28.530000	
0.100000	2.785800	2.947168	29.464000	27.100000	
0.100000	2.761820	2.888551	30.106000	28.860000	
0.100000	2.754903	2.793954	30.422000	30.500000	
0.100000	2.738376	2.778296	30.606000	30.680000	
0.100000	2.726792	2.786878	30.802000	30.230000	
0.100000	2.703038	2.834165	31.268000	29.950000	
0.100000	2.705542	2.914617	30.922000	28.060000	
0.100000	2.702634	2.943483	31.446000	28.170000	
0.100000	2.704213	2.780706	31.162000	30.780000	
0.100000	2.686493	2.848922	31.460000	29.070000	
0.100000	2.681574	2.771949	31.958000	30.260000	
0.100000	2.664211	2.890472	32.072000	28.680000	
0.100000	2.656866	2.898709	32.320000	28.700000	
0.100000	2.643871	2.769994	32.678000	31.100000	
0.100000	2.661812	2.775314	32.212000	31.100000	
0.100000	2.639830	2.787162	32.662000	30.610000	
0.100000	2.635832	2.735927	32.678000	31.370000	
0.100000	2.627188	2.727189	32.944000	31.840000	
0.100000	2.624322	2.821409	32.916000	30.440000	
0.100000	2.627954	2.724063	32.936000	32.290000	
0.100000	2.598667	2.766787	33.258000	31.060000	
0.100000	2.607178	2.705463	33.318000	31.980000	
0.100000	2.623628	2.752119	32.832000	31.550000	
0.100000	2.598572	2.752866	33.456000	31.670000	
0.100000	2.601754	2.773305	33.404000	30.610000	
0.100000	2.581803	2.675276	33.924000	32.590000	
0.100000	2.584895	2.680832	33.868000	32.650000	
0.100000	2.581971	2.725833	33.700000	32.480000	
0.100000	2.584251	2.737453	34.244000	32.040000	
0.100000	2.577015	2.755943	34.014000	31.020000	
0.100000	2.583434	2.740271	33.876000	31.910000	
0.100000	2.578580	2.777228	33.986000	31.330000	
0.100000	2.575020	2.694501	34.006000	32.810000	
0.100000	2.564270	2.758135	33.998000	32.460000	
0.100000	2.559397	2.755930	34.302000	31.430000	
0.100000	2.561858	2.761626	34.316000	32.380000	
0.100000	2.560221	2.836666	34.296000	30.750000	
0.100000	2.559527	2.785054	34.290000	31.400000	
0.100000	2.557658	2.719310	34.050000	32.550000	
