Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.140713	3.776772	6.116000	11.660000	
0.100000	3.550899	3.320838	15.006000	19.790000	
0.100000	3.263582	3.151951	20.450000	22.820000	
0.100000	3.082522	3.056083	23.586000	24.260000	
0.100000	2.951667	2.901728	26.132000	28.600000	
0.100000	2.878021	2.898264	27.998000	27.200000	
0.100000	2.827573	2.786699	28.938000	30.540000	
0.100000	2.768345	2.839696	29.878000	29.090000	
0.100000	2.735235	2.720921	30.990000	31.120000	
0.100000	2.699896	2.704604	31.684000	32.100000	
0.100000	2.671822	2.692988	32.102000	31.910000	
0.100000	2.666882	2.719605	32.240000	31.590000	
0.100000	2.651763	2.731864	32.650000	30.960000	
0.100000	2.629153	2.692228	32.854000	31.630000	
0.100000	2.613158	2.680728	33.216000	32.910000	
0.100000	2.614223	2.717972	33.296000	32.640000	
0.100000	2.592423	2.676576	33.786000	32.150000	
0.100000	2.583962	2.672903	33.856000	33.160000	
0.100000	2.570459	2.614134	34.278000	34.780000	
0.100000	2.570692	2.652057	34.122000	33.130000	
0.100000	2.550968	2.587562	34.626000	34.890000	
0.100000	2.547889	2.620352	34.642000	33.630000	
0.100000	2.539699	2.591568	34.746000	34.710000	
0.100000	2.536426	2.649695	34.958000	33.180000	
0.100000	2.530303	2.654900	35.302000	33.260000	
0.100000	2.539589	2.548841	34.848000	35.120000	
0.100000	2.519834	2.556679	35.420000	35.670000	
0.100000	2.525703	2.516678	35.004000	36.240000	
0.100000	2.496818	2.584945	35.864000	34.900000	
0.100000	2.501062	2.578363	35.728000	34.640000	
0.100000	2.507567	2.616219	35.406000	34.120000	
0.100000	2.503988	2.580677	35.706000	34.960000	
0.100000	2.496025	2.570037	35.710000	35.320000	
0.100000	2.488013	2.610405	35.850000	34.070000	
0.100000	2.497147	2.550434	35.766000	35.560000	
0.100000	2.487076	2.533964	35.868000	35.740000	
0.100000	2.482187	2.558377	36.094000	35.040000	
0.100000	2.491123	2.521509	35.778000	36.710000	
0.100000	2.486145	2.521848	35.836000	35.960000	
0.100000	2.487623	2.590028	35.986000	34.930000	
0.100000	2.491025	2.707381	35.810000	33.050000	
0.100000	2.487800	2.535240	35.894000	35.570000	
0.100000	2.474376	2.573271	36.416000	35.460000	
0.100000	2.475816	2.549147	36.378000	35.320000	
0.100000	2.469489	2.560128	36.348000	35.970000	
0.100000	2.469229	2.537156	36.500000	35.660000	
0.100000	2.460670	2.569007	36.546000	34.390000	
0.100000	2.471194	2.584156	36.386000	35.300000	
0.100000	2.470084	2.587793	36.412000	34.970000	
0.100000	2.464047	2.548880	36.514000	34.980000	
0.100000	2.467362	2.496063	36.620000	36.580000	
0.100000	2.460201	2.594318	36.750000	34.910000	
0.100000	2.466197	2.493203	36.632000	37.260000	
0.100000	2.462919	2.534265	36.444000	36.000000	
0.100000	2.453753	2.534973	36.628000	35.280000	
0.100000	2.445264	2.535756	37.004000	35.810000	
0.100000	2.461982	2.608936	36.710000	35.870000	
0.100000	2.443405	2.593869	36.920000	34.640000	
0.100000	2.456279	2.526661	36.716000	36.250000	
0.100000	2.453842	2.616208	37.036000	34.380000	
0.100000	2.451050	2.521734	36.942000	35.510000	
0.100000	2.438466	2.554855	37.354000	35.330000	
0.100000	2.449913	2.597946	36.716000	35.360000	
0.100000	2.452154	2.553105	36.682000	35.410000	
0.100000	2.436441	2.501118	36.860000	36.580000	
0.100000	2.455491	2.476496	36.376000	37.200000	
0.100000	2.453046	2.538466	36.772000	35.960000	
0.100000	2.455918	2.553175	36.714000	35.640000	
0.100000	2.462006	2.513884	36.372000	36.980000	
0.100000	2.435980	2.499768	37.214000	36.620000	
0.100000	2.448934	2.521918	36.938000	36.200000	
0.100000	2.440878	2.499167	37.064000	36.360000	
0.100000	2.433838	2.601457	36.984000	34.270000	
0.100000	2.433348	2.478643	37.010000	37.490000	
0.100000	2.437254	2.521722	37.062000	35.650000	
0.100000	2.429160	2.532961	37.084000	35.410000	
0.100000	2.427466	2.563751	36.918000	35.160000	
0.100000	2.436167	2.505470	36.992000	36.180000	
0.100000	2.443243	2.567833	37.114000	34.950000	
0.100000	2.433847	2.551585	37.134000	36.160000	
0.100000	2.427981	2.632454	37.334000	33.590000	
0.010000	1.972041	2.115644	47.378000	45.310000	
0.010000	1.837620	2.068826	50.422000	46.140000	
0.010000	1.777818	2.053002	51.718000	46.350000	
0.010000	1.728932	2.041891	52.842000	46.910000	
0.010000	1.704322	2.035943	53.556000	47.040000	
0.010000	1.675493	2.011594	54.046000	47.490000	
0.010000	1.646805	2.016932	54.930000	47.610000	
0.010000	1.631100	2.012645	54.930000	47.810000	
0.010000	1.611327	2.012099	55.498000	47.560000	
0.010000	1.586800	2.007002	56.276000	47.490000	
0.010000	1.578526	1.985907	56.466000	48.390000	
0.010000	1.566667	2.014767	56.784000	47.680000	
0.010000	1.544823	1.977880	57.152000	48.680000	
0.010000	1.531674	1.984087	57.526000	48.420000	
0.010000	1.515937	1.986932	57.948000	48.270000	
0.010000	1.507157	1.977348	58.022000	48.860000	
0.010000	1.500187	1.975523	58.338000	48.550000	
0.010000	1.481908	1.978418	58.596000	48.610000	
0.010000	1.479585	1.974766	58.642000	48.830000	
0.010000	1.465063	1.986833	59.050000	48.640000	
0.010000	1.458127	1.984147	59.280000	48.740000	
0.010000	1.444513	2.008200	59.592000	48.570000	
0.010000	1.441483	1.985732	59.692000	48.070000	
0.010000	1.428488	1.989060	59.890000	48.220000	
0.010000	1.421392	1.980048	60.142000	48.480000	
0.010000	1.410949	1.991468	60.356000	48.310000	
0.010000	1.398049	1.997149	60.544000	48.160000	
0.010000	1.388555	1.998329	60.984000	48.620000	
0.010000	1.385315	2.013520	61.168000	48.110000	
0.010000	1.364032	2.016137	61.508000	48.330000	
0.010000	1.366379	2.008009	61.498000	48.600000	
0.010000	1.352836	2.012097	61.780000	48.730000	
0.010000	1.347811	2.005237	61.740000	48.630000	
0.010000	1.336613	2.011776	62.472000	48.640000	
0.010000	1.332314	2.033071	62.224000	48.650000	
0.010000	1.317497	2.030029	62.680000	48.370000	
0.010000	1.311734	2.010885	62.854000	48.970000	
0.010000	1.308679	2.055217	62.760000	47.800000	
0.010000	1.299717	2.025975	63.092000	48.310000	
0.010000	1.284612	2.024312	63.480000	48.520000	
0.010000	1.285154	2.035138	63.336000	48.850000	
0.001000	1.136493	1.967904	67.998000	50.190000	
0.001000	1.116017	1.965074	68.468000	50.630000	
0.001000	1.101960	1.965648	68.922000	50.410000	
0.001000	1.089767	1.968848	69.238000	50.560000	
0.001000	1.086429	1.966439	69.232000	50.800000	
0.001000	1.076520	1.974272	69.424000	50.590000	
0.001000	1.072455	1.974476	69.538000	50.880000	
0.001000	1.064133	1.972381	69.946000	50.880000	
0.001000	1.059319	1.983734	70.034000	50.550000	
0.001000	1.056928	1.975249	70.234000	50.800000	
0.001000	1.056571	1.970585	69.920000	50.820000	
0.001000	1.055761	1.984193	70.104000	50.460000	
0.001000	1.053606	1.975195	70.234000	50.700000	
0.001000	1.039826	1.982686	70.526000	50.580000	
0.001000	1.046463	1.977403	70.354000	50.630000	
0.001000	1.049866	1.980737	70.264000	50.700000	
0.001000	1.029000	1.980822	70.870000	50.330000	
0.001000	1.038082	1.988946	70.528000	50.280000	
0.001000	1.035356	1.977377	70.770000	50.800000	
0.001000	1.028915	1.986119	70.684000	50.420000	
0.001000	1.025257	1.983003	71.048000	50.740000	
0.001000	1.026622	1.985931	70.876000	50.660000	
0.001000	1.025126	1.992537	70.986000	50.650000	
0.001000	1.020919	1.992513	71.038000	50.490000	
0.001000	1.016234	1.985564	71.232000	50.460000	
0.001000	1.014903	1.986730	71.170000	50.670000	
0.001000	1.013326	1.996920	71.200000	50.410000	
0.001000	1.015643	1.991606	71.104000	50.390000	
0.001000	1.013947	1.998585	71.192000	50.420000	
0.001000	1.010145	2.001301	71.318000	50.390000	
0.001000	1.004805	1.992037	71.526000	50.860000	
0.001000	1.003133	1.995395	71.516000	50.600000	
0.001000	1.004069	1.994807	71.594000	50.330000	
0.001000	1.001474	1.994000	71.756000	50.390000	
0.001000	0.997124	1.993994	71.626000	50.490000	
0.001000	0.997968	1.999357	71.712000	50.560000	
0.001000	0.995909	1.995819	71.800000	50.520000	
0.001000	0.993123	1.999704	71.820000	50.550000	
0.001000	0.988494	2.007026	72.006000	50.200000	
0.001000	0.988680	2.001921	72.004000	50.470000	
0.001000	0.985795	1.999489	71.896000	50.260000	
0.001000	0.986983	2.005584	72.038000	50.370000	
