Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.456505	4.400414	3.170000	3.650000	
0.100000	4.341422	4.364616	5.036000	4.660000	
0.100000	4.306008	4.354736	5.396000	4.680000	
0.100000	4.285245	4.347578	5.854000	4.540000	
0.100000	4.273785	4.329095	6.124000	4.680000	
0.100000	4.263642	4.339169	6.102000	4.900000	
0.100000	4.259041	4.307175	6.246000	5.410000	
0.100000	4.256814	4.301548	6.234000	5.730000	
0.100000	4.251610	4.310124	6.350000	5.140000	
0.100000	4.249410	4.300165	6.368000	5.360000	
0.100000	4.249331	4.310401	6.282000	5.380000	
0.100000	4.248552	4.314075	6.358000	4.960000	
0.100000	4.247602	4.298667	6.416000	5.340000	
0.100000	4.246707	4.311343	6.556000	5.160000	
0.100000	4.243336	4.311103	6.522000	4.120000	
0.100000	4.244898	4.301414	6.270000	5.030000	
0.100000	4.244401	4.295350	6.382000	4.920000	
0.100000	4.246973	4.308363	6.266000	5.820000	
0.100000	4.245711	4.301388	6.522000	5.660000	
0.100000	4.244897	4.309627	6.256000	5.100000	
0.100000	4.244546	4.301322	6.474000	4.820000	
0.100000	4.244999	4.313848	6.354000	4.940000	
0.100000	4.244218	4.294568	6.350000	5.490000	
0.100000	4.244719	4.303500	6.440000	5.130000	
0.100000	4.243502	4.302154	6.290000	5.090000	
0.100000	4.246047	4.302121	6.418000	5.190000	
0.100000	4.244148	4.310829	6.512000	4.820000	
0.100000	4.244918	4.300215	6.450000	5.230000	
0.100000	4.245602	4.298615	6.378000	5.740000	
0.100000	4.243675	4.308869	6.346000	4.700000	
0.100000	4.246073	4.295337	6.398000	5.160000	
0.100000	4.244642	4.298305	6.412000	5.170000	
0.100000	4.243752	4.319686	6.474000	5.490000	
0.100000	4.245322	4.300327	6.340000	5.280000	
0.100000	4.243379	4.301274	6.482000	4.370000	
0.100000	4.244375	4.303400	6.446000	5.050000	
0.100000	4.245118	4.312708	6.354000	4.270000	
0.100000	4.243589	4.312244	6.430000	5.180000	
0.100000	4.242964	4.305657	6.570000	5.010000	
0.100000	4.243276	4.304039	6.358000	5.160000	
0.100000	4.244047	4.297903	6.386000	5.900000	
0.100000	4.242972	4.303638	6.398000	4.580000	
0.100000	4.241130	4.318172	6.498000	5.170000	
0.100000	4.245625	4.294464	6.350000	4.630000	
0.100000	4.246030	4.302918	6.380000	4.760000	
0.100000	4.244247	4.300922	6.288000	5.130000	
0.100000	4.247079	4.299638	6.372000	5.220000	
0.100000	4.244906	4.307311	6.452000	5.110000	
0.100000	4.242502	4.288961	6.322000	5.090000	
0.100000	4.244397	4.302384	6.348000	4.800000	
0.100000	4.242919	4.295412	6.398000	5.250000	
0.100000	4.244259	4.293916	6.400000	4.950000	
0.100000	4.244582	4.306716	6.520000	4.900000	
0.100000	4.244008	4.306917	6.264000	5.380000	
0.100000	4.245927	4.318125	6.400000	5.140000	
0.100000	4.245257	4.311747	6.424000	5.510000	
0.100000	4.245761	4.295131	6.428000	5.130000	
0.100000	4.244859	4.299093	6.366000	5.340000	
0.100000	4.243932	4.306259	6.470000	5.350000	
0.100000	4.244185	4.302849	6.618000	4.770000	
0.100000	4.244876	4.300932	6.472000	5.590000	
0.100000	4.241611	4.292392	6.518000	5.480000	
0.100000	4.243118	4.303806	6.452000	5.300000	
0.100000	4.244503	4.314181	6.310000	5.510000	
0.100000	4.242922	4.310657	6.300000	4.890000	
0.100000	4.242237	4.298392	6.364000	4.760000	
0.100000	4.248410	4.293045	6.258000	5.260000	
0.100000	4.244437	4.310087	6.352000	5.010000	
0.100000	4.244378	4.304411	6.294000	5.060000	
0.100000	4.247141	4.301987	6.356000	5.430000	
0.100000	4.245055	4.288086	6.440000	5.200000	
0.100000	4.242821	4.314572	6.476000	4.900000	
0.100000	4.246293	4.312687	6.332000	5.130000	
0.100000	4.245096	4.281284	6.516000	5.470000	
0.100000	4.244091	4.302955	6.454000	5.080000	
0.100000	4.243201	4.309171	6.446000	4.540000	
0.100000	4.244696	4.319049	6.418000	4.510000	
0.100000	4.246976	4.296473	6.322000	5.500000	
0.100000	4.244545	4.303801	6.468000	5.020000	
0.100000	4.243247	4.302694	6.426000	4.940000	
0.100000	4.245343	4.301790	6.300000	5.360000	
0.010000	4.217170	4.279435	7.282000	5.600000	
0.010000	4.212810	4.274245	7.398000	5.570000	
0.010000	4.213864	4.277666	7.338000	5.510000	
0.010000	4.214246	4.281497	7.332000	5.260000	
0.010000	4.214619	4.278996	7.266000	5.600000	
0.010000	4.214363	4.280452	7.318000	5.590000	
0.010000	4.214404	4.277475	7.290000	5.600000	
0.010000	4.214355	4.279409	7.414000	5.430000	
0.010000	4.215060	4.280243	7.350000	5.290000	
0.010000	4.215757	4.278755	7.380000	5.510000	
0.010000	4.213827	4.278924	7.404000	5.320000	
0.010000	4.213904	4.279659	7.498000	5.440000	
0.010000	4.213086	4.281932	7.460000	5.430000	
0.010000	4.211756	4.279925	7.394000	5.380000	
0.010000	4.214153	4.280160	7.374000	5.450000	
0.010000	4.216684	4.279591	7.390000	5.380000	
0.010000	4.212604	4.276831	7.482000	5.470000	
0.010000	4.214670	4.279514	7.400000	5.530000	
0.010000	4.212911	4.278756	7.352000	5.250000	
0.010000	4.213760	4.280228	7.352000	5.510000	
0.010000	4.213795	4.278020	7.316000	5.410000	
0.010000	4.212210	4.280267	7.496000	5.530000	
0.010000	4.212828	4.283679	7.436000	5.260000	
0.010000	4.213646	4.276703	7.436000	5.580000	
0.010000	4.213044	4.280490	7.418000	5.360000	
0.010000	4.214253	4.280177	7.464000	5.330000	
0.010000	4.214071	4.281914	7.326000	5.530000	
0.010000	4.213632	4.279624	7.458000	5.640000	
0.010000	4.214510	4.281057	7.456000	5.280000	
0.010000	4.214487	4.276173	7.474000	5.380000	
0.010000	4.213591	4.280448	7.368000	5.320000	
0.010000	4.213040	4.280202	7.344000	5.360000	
0.010000	4.213327	4.280158	7.270000	5.660000	
0.010000	4.211840	4.281421	7.426000	5.540000	
0.010000	4.212707	4.276866	7.586000	5.420000	
0.010000	4.214474	4.279861	7.442000	5.470000	
0.010000	4.212681	4.282838	7.452000	5.370000	
0.010000	4.214155	4.279764	7.292000	5.200000	
0.010000	4.213908	4.282896	7.398000	5.400000	
0.010000	4.213034	4.281538	7.348000	5.350000	
0.010000	4.212832	4.280724	7.442000	5.470000	
0.001000	4.210433	4.279290	7.462000	5.510000	
0.001000	4.209655	4.278872	7.606000	5.470000	
0.001000	4.209975	4.278661	7.556000	5.410000	
0.001000	4.210855	4.278316	7.588000	5.470000	
0.001000	4.209964	4.278234	7.566000	5.480000	
0.001000	4.209215	4.278461	7.478000	5.460000	
0.001000	4.210323	4.278590	7.498000	5.480000	
0.001000	4.209295	4.278436	7.600000	5.460000	
