Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.350647	4.064423	3.296000	5.890000	
0.100000	3.922874	3.788292	8.180000	10.040000	
0.100000	3.698280	3.600213	11.944000	13.870000	
0.100000	3.516452	3.394882	15.300000	17.190000	
0.100000	3.367422	3.280415	17.976000	21.300000	
0.100000	3.262496	3.258069	20.082000	19.870000	
0.100000	3.191486	3.159161	21.172000	21.800000	
0.100000	3.119209	3.093561	22.738000	23.600000	
0.100000	3.072342	3.070574	23.678000	24.190000	
0.100000	3.027996	3.166618	24.490000	22.230000	
0.100000	2.996697	2.997155	24.990000	25.910000	
0.100000	2.956985	3.015956	26.184000	25.120000	
0.100000	2.933816	3.042104	26.646000	24.700000	
0.100000	2.918962	2.914016	26.930000	27.220000	
0.100000	2.896553	2.994307	27.390000	25.790000	
0.100000	2.871506	2.984438	28.000000	26.240000	
0.100000	2.855514	2.967947	27.998000	26.670000	
0.100000	2.839162	2.898427	28.378000	27.700000	
0.100000	2.809350	2.831759	29.004000	29.170000	
0.100000	2.821584	2.919442	28.984000	27.760000	
0.100000	2.801988	2.855398	29.356000	29.330000	
0.100000	2.796882	2.830657	29.456000	29.470000	
0.100000	2.779347	2.858329	29.768000	29.300000	
0.100000	2.767262	3.185856	29.924000	23.320000	
0.100000	2.782342	2.819397	29.646000	29.690000	
0.100000	2.758815	2.840076	30.156000	29.340000	
0.100000	2.741792	2.850417	30.460000	29.040000	
0.100000	2.745281	2.792361	30.284000	30.560000	
0.100000	2.741232	2.850631	30.528000	28.480000	
0.100000	2.721664	2.888007	30.586000	28.790000	
0.100000	2.719051	2.828658	30.906000	29.470000	
0.100000	2.715827	2.857992	31.012000	28.550000	
0.100000	2.693965	2.872941	31.436000	28.630000	
0.100000	2.709691	2.835820	31.104000	29.240000	
0.100000	2.697746	2.828199	31.294000	29.270000	
0.100000	2.689305	2.941862	31.264000	28.960000	
0.100000	2.679458	2.834838	31.840000	29.370000	
0.100000	2.673463	2.850124	32.120000	29.550000	
0.100000	2.679997	2.852626	31.762000	29.220000	
0.100000	2.674729	2.808839	31.850000	30.710000	
0.100000	2.665790	2.860310	32.150000	29.830000	
0.100000	2.660177	2.779184	32.400000	30.380000	
0.100000	2.651703	2.870788	32.382000	28.770000	
0.100000	2.659973	2.802739	32.018000	30.030000	
0.100000	2.656371	2.767398	32.108000	30.630000	
0.100000	2.648183	2.768688	32.176000	31.330000	
0.100000	2.647781	2.771885	32.338000	30.600000	
0.100000	2.644404	2.787251	32.514000	31.560000	
0.100000	2.642046	2.778234	32.540000	30.330000	
0.100000	2.640098	2.898946	32.850000	28.580000	
0.100000	2.643126	2.807814	32.512000	30.510000	
0.100000	2.635731	2.750379	32.410000	31.850000	
0.100000	2.637502	2.853117	32.424000	29.900000	
0.100000	2.629054	2.813319	32.766000	29.830000	
0.100000	2.626238	2.764188	32.798000	31.090000	
0.100000	2.618608	2.785607	33.072000	30.680000	
0.100000	2.624762	2.723289	32.662000	32.100000	
0.100000	2.616942	2.882244	33.114000	29.480000	
0.100000	2.622611	2.806269	32.704000	30.430000	
0.100000	2.611283	2.782598	32.950000	30.580000	
0.100000	2.634491	2.846187	32.624000	28.910000	
0.100000	2.626248	2.801978	32.858000	29.780000	
0.100000	2.601418	2.746083	33.218000	31.860000	
0.100000	2.605095	2.780009	33.270000	31.120000	
0.100000	2.613144	2.800698	32.950000	30.630000	
