Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.071963	3.927287	7.150000	9.420000	
0.100000	3.893198	3.859655	10.094000	11.070000	
0.100000	3.854065	3.861595	11.010000	11.750000	
0.100000	3.812911	3.760758	11.792000	13.300000	
0.100000	3.763643	3.756807	12.434000	12.570000	
0.100000	3.716850	3.738275	13.554000	13.030000	
0.100000	3.697310	3.627163	13.698000	15.200000	
0.100000	3.654938	3.644458	14.134000	15.040000	
0.100000	3.625247	3.513239	14.712000	17.090000	
0.100000	3.596282	3.543157	15.340000	16.680000	
0.100000	3.580254	3.566909	15.528000	16.320000	
0.100000	3.567466	3.566078	15.796000	16.620000	
0.100000	3.540137	3.497270	16.430000	17.020000	
0.100000	3.514738	3.473296	16.598000	18.390000	
0.100000	3.501664	3.419303	16.738000	19.260000	
0.100000	3.502053	3.509476	16.790000	16.910000	
0.100000	3.461949	3.482124	17.766000	17.830000	
0.100000	3.458905	3.437903	17.686000	18.060000	
0.100000	3.423300	3.337037	18.284000	19.530000	
0.100000	3.409858	3.363802	18.452000	19.950000	
0.100000	3.395313	3.321149	18.474000	19.760000	
0.100000	3.368439	3.470824	19.128000	17.740000	
0.100000	3.357205	3.317104	19.238000	20.390000	
0.100000	3.358280	3.313796	19.370000	20.370000	
0.100000	3.324417	3.271975	19.726000	21.040000	
0.100000	3.294487	3.293893	20.268000	21.230000	
0.100000	3.274275	3.268176	20.532000	21.070000	
0.100000	3.266094	3.307862	20.992000	20.450000	
0.100000	3.242124	3.225791	21.138000	21.900000	
0.100000	3.211701	3.190133	21.662000	22.240000	
0.100000	3.206306	3.164784	21.698000	22.750000	
0.100000	3.176954	3.250886	22.244000	22.410000	
0.100000	3.167899	3.291554	22.524000	21.180000	
0.100000	3.144632	3.191405	22.772000	22.200000	
0.100000	3.114925	3.198049	23.434000	22.150000	
0.100000	3.096959	3.162536	23.788000	23.250000	
0.100000	3.086133	3.111625	23.838000	23.760000	
0.100000	3.070783	3.067001	24.144000	25.120000	
0.100000	3.042600	3.036115	24.596000	25.590000	
0.100000	3.019173	3.050764	25.246000	25.190000	
0.100000	3.016262	3.017111	25.258000	25.550000	
0.100000	3.002503	3.004103	25.592000	26.540000	
0.100000	2.996274	3.037518	25.588000	25.130000	
0.100000	2.987814	3.008289	25.886000	26.210000	
0.100000	2.991204	2.957329	25.634000	27.330000	
0.100000	2.963225	2.970992	26.394000	26.110000	
0.100000	2.967850	2.963575	26.364000	27.490000	
0.100000	2.937034	3.024923	26.594000	26.070000	
0.100000	2.941160	3.068969	26.502000	25.320000	
0.100000	2.957917	2.946028	26.670000	26.990000	
0.100000	2.931615	2.999894	27.100000	26.340000	
0.100000	2.937929	2.990906	26.946000	26.100000	
0.100000	2.901858	2.995480	27.496000	27.150000	
0.100000	2.910439	3.004193	27.590000	26.390000	
0.100000	2.892524	2.959135	27.808000	27.440000	
0.100000	2.907079	2.938219	27.882000	27.190000	
0.100000	2.902344	3.007244	27.428000	26.340000	
0.100000	2.894530	2.974153	27.796000	27.270000	
0.100000	2.880422	2.922803	27.868000	27.290000	
0.100000	2.891216	2.994997	27.936000	26.710000	
0.100000	2.883878	2.915614	28.096000	28.480000	
0.100000	2.877201	2.925209	28.332000	27.480000	
0.100000	2.877324	2.931544	27.912000	26.980000	
0.100000	2.876739	2.936883	28.088000	28.140000	
0.100000	2.875980	2.904303	28.056000	28.500000	
0.100000	2.873126	2.994147	28.018000	26.500000	
0.100000	2.864878	3.002390	28.098000	25.910000	
0.100000	2.865385	2.931819	28.382000	27.280000	
0.100000	2.863520	2.913800	28.484000	28.380000	
0.100000	2.846883	2.924842	28.430000	27.470000	
0.100000	2.858777	2.855217	28.430000	29.380000	
0.100000	2.843752	2.923692	28.566000	28.280000	
0.100000	2.869274	2.893431	28.286000	28.640000	
0.100000	2.851929	2.868945	28.270000	29.250000	
0.100000	2.864272	2.990803	28.322000	26.990000	
0.100000	2.858106	2.883427	28.574000	29.460000	
0.100000	2.840956	2.934172	28.716000	27.400000	
0.100000	2.843057	2.897852	28.812000	28.430000	
0.100000	2.836245	2.926795	28.796000	27.500000	
0.100000	2.847742	2.954799	28.642000	27.200000	
0.100000	2.849923	2.997127	28.850000	26.680000	
0.010000	2.470838	2.569539	36.478000	35.870000	
0.010000	2.351885	2.517298	39.268000	36.530000	
0.010000	2.310427	2.505601	40.060000	36.900000	
0.010000	2.280946	2.467604	40.698000	38.000000	
0.010000	2.258573	2.463639	41.114000	37.860000	
0.010000	2.245615	2.456367	41.224000	38.300000	
0.010000	2.221519	2.451422	41.900000	38.180000	
0.010000	2.206140	2.444584	42.284000	38.500000	
0.010000	2.194422	2.432280	42.548000	38.110000	
0.010000	2.179910	2.429867	42.516000	38.660000	
0.010000	2.174419	2.415787	42.990000	38.710000	
0.010000	2.166159	2.420558	42.812000	38.550000	
0.010000	2.145380	2.395595	43.638000	39.400000	
0.010000	2.131386	2.389959	43.738000	39.330000	
0.010000	2.125664	2.391748	44.090000	39.130000	
0.010000	2.120786	2.384630	44.282000	39.740000	
0.010000	2.112516	2.384156	44.192000	39.150000	
0.010000	2.100186	2.375685	44.598000	39.260000	
0.010000	2.089410	2.377522	44.880000	39.960000	
0.010000	2.080182	2.393549	44.856000	38.900000	
0.010000	2.069131	2.366297	45.074000	40.090000	
0.010000	2.065086	2.385120	45.354000	39.300000	
0.010000	2.054884	2.362406	45.444000	39.890000	
0.010000	2.048823	2.361277	45.702000	39.940000	
0.010000	2.041552	2.335982	45.806000	40.770000	
0.010000	2.027201	2.340075	46.314000	40.700000	
0.010000	2.015113	2.354242	46.368000	40.240000	
0.010000	2.004502	2.352066	46.570000	40.140000	
0.010000	1.999802	2.349216	46.368000	40.510000	
0.010000	1.990204	2.308577	46.640000	41.290000	
0.010000	1.982002	2.326027	47.056000	41.080000	
0.010000	1.979097	2.324162	47.204000	41.350000	
0.010000	1.974079	2.319372	47.226000	41.060000	
0.010000	1.962721	2.338946	47.406000	40.740000	
0.010000	1.957000	2.319066	47.480000	41.080000	
0.010000	1.954730	2.324810	47.568000	41.020000	
0.010000	1.944408	2.302250	47.942000	41.820000	
0.010000	1.933762	2.322433	48.114000	40.950000	
0.010000	1.926683	2.309985	48.216000	41.490000	
0.010000	1.919311	2.339407	48.080000	40.830000	
0.010000	1.913829	2.324377	48.394000	40.900000	
0.001000	1.782704	2.221099	52.084000	43.160000	
0.001000	1.742672	2.219969	53.048000	43.490000	
0.001000	1.729256	2.212309	53.456000	43.700000	
0.001000	1.721145	2.212613	53.486000	43.620000	
0.001000	1.715661	2.210168	53.672000	43.710000	
0.001000	1.709544	2.206486	53.710000	43.920000	
0.001000	1.703370	2.207945	53.926000	44.220000	
0.001000	1.692837	2.204428	54.130000	44.020000	
0.001000	1.694466	2.202450	54.184000	44.250000	
0.001000	1.691731	2.206075	54.294000	43.940000	
0.001000	1.689653	2.201979	54.320000	44.300000	
0.001000	1.682604	2.205911	54.420000	44.030000	
0.001000	1.681059	2.199108	54.572000	44.290000	
0.001000	1.674517	2.199304	54.900000	44.200000	
0.001000	1.670874	2.200914	54.722000	44.190000	
