Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.070125	3.814827	7.384000	11.510000	
0.100000	3.880810	3.815698	10.292000	11.440000	
0.100000	3.825616	3.773728	11.434000	12.150000	
0.100000	3.785749	3.690148	12.212000	13.830000	
0.100000	3.755989	3.699221	12.560000	13.240000	
0.100000	3.718991	3.653809	12.936000	14.620000	
0.100000	3.684172	3.680816	13.704000	14.430000	
0.100000	3.657918	3.638648	14.250000	14.830000	
0.100000	3.636052	3.652628	14.340000	14.710000	
0.100000	3.610579	3.556269	15.124000	16.060000	
0.100000	3.575832	3.654341	15.476000	15.370000	
0.100000	3.547394	3.528775	15.812000	16.430000	
0.100000	3.524926	3.565010	16.102000	15.890000	
0.100000	3.488602	3.463419	16.800000	17.420000	
0.100000	3.465223	3.426817	17.328000	17.830000	
0.100000	3.437625	3.430034	17.844000	18.650000	
0.100000	3.427091	3.372725	17.970000	18.990000	
0.100000	3.390047	3.366379	18.734000	19.770000	
0.100000	3.370748	3.301164	18.744000	20.550000	
0.100000	3.335229	3.408060	19.818000	18.750000	
0.100000	3.324159	3.293787	19.526000	20.690000	
0.100000	3.289009	3.288344	20.544000	20.490000	
0.100000	3.255798	3.318804	20.826000	20.980000	
0.100000	3.254085	3.232201	20.904000	21.850000	
0.100000	3.214510	3.294246	21.682000	20.760000	
0.100000	3.192175	3.094052	21.890000	24.740000	
0.100000	3.147701	3.146446	22.660000	23.100000	
0.100000	3.114452	3.165738	23.270000	22.960000	
0.100000	3.130355	3.094899	23.038000	24.640000	
0.100000	3.084075	3.043871	23.842000	25.610000	
0.100000	3.070102	3.138618	24.264000	22.850000	
0.100000	3.046049	3.052876	24.718000	25.560000	
0.100000	3.031068	3.104851	24.920000	24.240000	
0.100000	3.016942	3.086432	25.098000	24.910000	
0.100000	3.014865	3.063820	25.296000	25.270000	
0.100000	2.993898	2.973647	25.802000	26.790000	
0.100000	2.997200	3.033334	25.736000	25.660000	
0.100000	2.973714	3.054788	26.020000	24.980000	
0.100000	2.968770	3.035467	26.254000	26.090000	
0.100000	2.963660	2.993563	26.292000	25.940000	
0.100000	2.967049	3.017454	26.328000	25.710000	
0.100000	2.943983	2.976463	26.630000	27.130000	
0.100000	2.926465	3.003737	27.230000	26.740000	
0.100000	2.916208	2.996773	27.244000	25.980000	
0.100000	2.920797	3.020492	27.178000	26.020000	
0.100000	2.926803	2.957019	27.154000	26.740000	
0.100000	2.923221	3.008812	27.082000	26.120000	
0.100000	2.904517	2.960023	27.402000	27.370000	
0.100000	2.915883	2.998585	27.252000	27.020000	
0.100000	2.922049	2.957249	27.330000	27.260000	
0.100000	2.896160	3.075393	27.506000	25.430000	
0.100000	2.896495	2.927294	27.602000	27.860000	
0.100000	2.915573	2.993723	27.320000	26.630000	
0.100000	2.895932	2.956043	27.700000	27.140000	
0.100000	2.903110	2.930357	27.526000	28.110000	
0.100000	2.886713	2.896058	27.838000	28.680000	
0.100000	2.892012	2.977796	27.824000	26.840000	
0.100000	2.893448	2.954780	27.686000	27.700000	
0.100000	2.874333	2.980047	28.076000	27.340000	
0.100000	2.870241	2.886795	28.366000	28.730000	
0.100000	2.864957	2.983865	28.312000	27.040000	
0.100000	2.891398	2.913701	27.746000	27.680000	
0.100000	2.869569	2.982479	28.120000	26.360000	
0.100000	2.868227	3.081689	28.252000	24.800000	
0.100000	2.879786	2.887010	27.956000	28.290000	
0.100000	2.842343	2.961683	28.798000	26.760000	
0.100000	2.836015	2.848394	28.918000	29.730000	
0.100000	2.840840	2.908368	28.896000	28.340000	
0.100000	2.837702	2.899396	28.654000	28.170000	
0.100000	2.860910	2.935015	28.196000	27.440000	
0.100000	2.846066	2.882010	28.796000	28.350000	
0.100000	2.874394	2.924958	28.028000	27.570000	
0.100000	2.859595	2.921681	28.536000	27.460000	
0.100000	2.863650	2.854568	28.392000	29.560000	
0.100000	2.842005	2.871299	28.892000	28.880000	
0.100000	2.842494	2.911301	28.842000	27.740000	
0.100000	2.842280	2.933472	28.828000	28.830000	
0.100000	2.828432	2.874298	29.126000	29.210000	
0.100000	2.835848	2.879515	28.894000	28.170000	
0.100000	2.819371	2.920905	29.162000	27.540000	
0.100000	2.838669	2.915781	28.804000	28.440000	
0.010000	2.457754	2.554860	36.918000	35.510000	
0.010000	2.349317	2.517755	39.146000	36.460000	
0.010000	2.303301	2.497269	40.192000	36.960000	
0.010000	2.273107	2.477254	40.638000	37.400000	
0.010000	2.250331	2.452218	41.124000	38.000000	
0.010000	2.229559	2.452217	41.624000	37.610000	
0.010000	2.218591	2.445070	41.872000	38.270000	
0.010000	2.202693	2.432390	42.268000	37.890000	
0.010000	2.189761	2.418107	42.866000	38.370000	
0.010000	2.178106	2.423349	42.766000	38.690000	
0.010000	2.155539	2.403041	43.350000	39.230000	
0.010000	2.145858	2.409082	43.464000	39.220000	
0.010000	2.137159	2.391751	43.602000	39.470000	
0.010000	2.129759	2.382637	43.682000	39.380000	
0.010000	2.117824	2.383834	44.116000	39.670000	
0.010000	2.100338	2.383884	44.624000	39.440000	
0.010000	2.095354	2.381775	44.632000	39.980000	
0.010000	2.079337	2.385704	44.880000	39.620000	
0.010000	2.081112	2.368097	44.614000	40.150000	
0.010000	2.071247	2.353281	45.138000	40.180000	
0.010000	2.067795	2.352862	45.128000	40.780000	
0.010000	2.050206	2.349759	45.638000	40.760000	
0.010000	2.049955	2.346001	45.504000	40.300000	
0.010000	2.038433	2.350119	45.846000	40.310000	
0.010000	2.030994	2.350597	45.880000	40.440000	
0.010000	2.026008	2.352362	46.002000	40.270000	
0.010000	2.009336	2.369662	46.328000	39.990000	
0.010000	2.012396	2.326230	46.288000	40.770000	
0.010000	2.004963	2.363792	46.522000	39.680000	
0.010000	1.994116	2.343382	46.834000	40.170000	
0.010000	1.987413	2.347098	46.746000	40.420000	
0.010000	1.982038	2.328887	47.004000	40.910000	
0.010000	1.971256	2.325882	47.474000	40.790000	
0.010000	1.960714	2.344858	47.586000	40.470000	
0.010000	1.964110	2.323110	47.360000	40.560000	
0.010000	1.951581	2.317812	47.746000	40.900000	
0.010000	1.946928	2.310602	47.568000	41.280000	
0.010000	1.939124	2.297807	47.886000	41.280000	
0.010000	1.931532	2.305575	48.096000	41.250000	
0.010000	1.925351	2.334844	48.164000	41.010000	
0.010000	1.918934	2.314876	48.376000	41.180000	
0.001000	1.786325	2.221061	51.894000	43.330000	
0.001000	1.754806	2.217341	52.814000	43.520000	
0.001000	1.738751	2.220741	53.022000	43.310000	
