Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.976316	3.676774	9.742000	14.980000	
0.100000	3.476097	3.425458	17.858000	18.340000	
0.100000	3.273627	3.261139	21.432000	21.530000	
0.100000	3.161243	3.202385	23.416000	23.330000	
0.100000	3.094963	3.046229	24.764000	25.930000	
0.100000	3.051218	3.040490	25.656000	26.340000	
0.100000	3.010507	2.977706	26.404000	27.550000	
0.100000	2.974420	2.984164	27.312000	26.840000	
0.100000	2.959402	3.033281	27.462000	26.260000	
0.100000	2.950670	2.949311	27.568000	27.910000	
0.100000	2.933972	2.927869	27.674000	29.120000	
0.100000	2.922104	2.950839	28.118000	28.360000	
0.100000	2.911278	2.916183	28.176000	28.320000	
0.100000	2.896012	2.926046	29.020000	28.270000	
0.100000	2.909097	2.955577	28.388000	27.780000	
0.100000	2.894780	2.878758	28.816000	29.130000	
0.100000	2.877780	2.884389	29.176000	29.950000	
0.100000	2.887848	2.940977	28.880000	28.730000	
0.100000	2.878438	2.897467	28.934000	29.160000	
0.100000	2.864658	2.860779	29.210000	29.880000	
0.100000	2.864412	2.925903	29.298000	29.000000	
0.100000	2.852942	2.876205	29.464000	29.240000	
0.100000	2.860681	2.880840	29.438000	29.490000	
0.100000	2.854867	2.898824	29.394000	29.100000	
0.100000	2.853812	2.906338	29.414000	29.170000	
0.100000	2.856136	2.832498	29.542000	29.800000	
0.100000	2.850655	2.871878	29.466000	29.840000	
0.100000	2.845679	2.912526	29.364000	28.580000	
0.100000	2.843100	2.912483	29.710000	29.180000	
0.100000	2.847205	2.826764	29.494000	31.030000	
0.100000	2.836162	2.892443	29.804000	29.340000	
0.100000	2.839165	2.937199	29.970000	28.450000	
0.100000	2.834741	2.846501	29.952000	31.010000	
0.100000	2.833305	2.873435	29.950000	29.770000	
0.100000	2.833047	2.880898	29.778000	30.060000	
0.100000	2.836540	2.807417	30.034000	30.800000	
0.100000	2.826124	2.813433	30.106000	31.550000	
0.100000	2.830847	2.926465	29.932000	27.850000	
0.100000	2.831356	2.888852	29.882000	29.990000	
0.100000	2.829431	2.860887	29.980000	28.920000	
0.100000	2.821453	2.803413	30.156000	31.730000	
0.100000	2.825951	2.892049	30.212000	28.960000	
0.100000	2.828465	2.830490	30.008000	30.490000	
0.100000	2.826321	2.847089	29.910000	30.380000	
0.100000	2.822637	2.879797	30.032000	29.070000	
0.100000	2.823061	2.842942	29.860000	30.340000	
0.100000	2.820750	2.880224	30.058000	29.700000	
0.100000	2.816478	2.902994	30.084000	28.360000	
0.100000	2.828881	2.899424	29.970000	29.030000	
0.100000	2.816487	2.938835	30.448000	27.980000	
0.100000	2.829997	2.850560	29.778000	30.070000	
0.100000	2.821484	2.853401	29.810000	30.210000	
0.100000	2.819420	2.855316	30.050000	29.850000	
