Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.276795	4.022813	3.918000	6.400000	
0.100000	3.905897	3.821973	8.342000	10.720000	
0.100000	3.755854	3.835055	11.356000	11.860000	
0.100000	3.650539	3.548528	13.402000	13.930000	
0.100000	3.578504	3.511083	14.600000	16.120000	
0.100000	3.516541	3.412402	16.160000	18.280000	
0.100000	3.474554	3.463423	16.924000	18.360000	
0.100000	3.457566	3.412796	17.402000	19.120000	
0.100000	3.418975	3.448092	18.220000	18.600000	
0.100000	3.419524	3.472477	18.390000	18.050000	
0.100000	3.405478	3.332959	18.768000	20.310000	
0.100000	3.396800	3.370620	18.750000	19.830000	
0.100000	3.390609	3.361157	19.110000	19.170000	
0.100000	3.368544	3.271755	19.286000	21.350000	
0.100000	3.361220	3.377951	19.714000	19.950000	
0.100000	3.376371	3.391197	19.510000	20.550000	
0.100000	3.346140	3.491272	19.870000	17.270000	
0.100000	3.338800	3.279814	20.114000	22.080000	
0.100000	3.331193	3.330509	20.002000	20.660000	
0.100000	3.335669	3.314322	20.046000	21.060000	
0.100000	3.335978	3.275760	20.086000	20.410000	
0.100000	3.334371	3.270841	20.128000	21.300000	
0.100000	3.306659	3.275515	20.646000	21.980000	
0.100000	3.320944	3.270518	20.520000	22.270000	
0.100000	3.311822	3.374332	20.782000	20.300000	
0.100000	3.302075	3.241749	20.574000	22.300000	
0.100000	3.317542	3.279906	20.722000	21.870000	
0.100000	3.303422	3.317622	20.878000	20.370000	
0.100000	3.298293	3.220994	20.750000	22.550000	
0.100000	3.293103	3.331185	21.266000	20.450000	
0.100000	3.300980	3.286202	20.844000	21.980000	
0.100000	3.304949	3.242797	20.830000	21.810000	
0.100000	3.303395	3.275352	20.728000	21.190000	
0.100000	3.293572	3.268864	21.086000	22.290000	
0.100000	3.292937	3.285853	20.838000	21.900000	
0.100000	3.303074	3.269386	20.848000	21.420000	
0.100000	3.300265	3.283395	21.012000	21.380000	
0.100000	3.297254	3.256434	20.946000	21.230000	
0.100000	3.271055	3.296921	21.322000	20.560000	
0.100000	3.273052	3.450794	21.534000	18.230000	
0.100000	3.273703	3.203341	21.386000	22.800000	
0.100000	3.297259	3.396773	21.114000	19.040000	
0.100000	3.274501	3.275292	21.528000	21.640000	
0.100000	3.251507	3.318576	21.656000	21.070000	
0.100000	3.278820	3.367981	21.518000	20.310000	
0.100000	3.271841	3.158178	21.694000	23.610000	
0.100000	3.246000	3.265541	22.174000	22.450000	
0.100000	3.258509	3.189649	21.914000	23.150000	
0.100000	3.268075	3.225282	21.796000	22.850000	
0.100000	3.277187	3.270962	21.384000	22.230000	
0.100000	3.278189	3.236836	21.496000	22.410000	
0.100000	3.261136	3.296915	21.794000	22.080000	
0.100000	3.258234	3.212453	21.558000	22.730000	
0.100000	3.253908	3.294063	21.774000	21.680000	
0.100000	3.263198	3.185191	21.956000	23.140000	
0.100000	3.254462	3.244676	21.920000	21.750000	
0.100000	3.268787	3.243389	21.512000	21.850000	
0.100000	3.264375	3.252354	21.914000	21.760000	
0.100000	3.266125	3.364441	21.888000	20.790000	
0.100000	3.260561	3.195603	21.904000	23.170000	
0.100000	3.264876	3.288393	21.744000	22.720000	
0.100000	3.268627	3.162056	21.636000	23.930000	
0.100000	3.252154	3.386121	21.970000	20.530000	
0.100000	3.252069	3.217325	21.788000	22.570000	
0.100000	3.266959	3.181208	21.884000	23.280000	
0.100000	3.244666	3.225444	21.922000	23.190000	
0.100000	3.254485	3.255104	22.104000	21.560000	
0.100000	3.265032	3.301224	21.708000	22.640000	
0.100000	3.244240	3.194999	22.056000	23.720000	
0.100000	3.255855	3.180978	21.808000	23.570000	
0.100000	3.256784	3.179756	22.006000	23.150000	
0.100000	3.264038	3.264898	21.552000	21.760000	
0.100000	3.253205	3.325159	21.946000	21.280000	
0.100000	3.261860	3.293126	21.826000	20.490000	
0.100000	3.254736	3.230933	22.016000	22.100000	
0.100000	3.255195	3.238944	21.828000	22.710000	
0.100000	3.263227	3.230666	21.900000	21.990000	
0.100000	3.246471	3.199087	22.030000	23.440000	
0.100000	3.254112	3.160734	21.722000	23.620000	
0.100000	3.256950	3.288058	21.878000	22.200000	
0.100000	3.256344	3.211536	22.206000	23.200000	
0.010000	2.712024	2.619426	32.190000	34.510000	
0.010000	2.508180	2.555860	35.944000	35.550000	
0.010000	2.409289	2.484117	37.952000	36.660000	
0.010000	2.334008	2.464079	39.148000	37.520000	
0.010000	2.271908	2.418720	40.484000	37.810000	
0.010000	2.204070	2.394004	41.504000	38.490000	
0.010000	2.150837	2.398810	42.820000	38.720000	
0.010000	2.099643	2.338511	43.894000	40.050000	
0.010000	2.048329	2.344492	45.172000	39.960000	
0.010000	1.996660	2.342934	46.106000	40.420000	
0.010000	1.953470	2.323181	47.228000	40.500000	
0.010000	1.908178	2.329041	48.194000	40.740000	
0.010000	1.860119	2.345625	49.064000	40.510000	
0.010000	1.824889	2.341721	50.120000	40.770000	
0.010000	1.778881	2.338366	51.054000	40.940000	
0.010000	1.731853	2.327086	52.188000	41.340000	
0.010000	1.703112	2.307881	52.748000	42.170000	
0.010000	1.652738	2.334687	53.730000	41.820000	
0.010000	1.616774	2.378238	54.552000	41.380000	
0.010000	1.571295	2.422714	55.684000	41.050000	
0.010000	1.531154	2.402363	56.694000	42.060000	
0.010000	1.491896	2.380081	57.570000	42.150000	
0.010000	1.460155	2.422338	58.272000	41.430000	
0.010000	1.428548	2.451014	59.076000	41.500000	
0.010000	1.394594	2.459898	59.842000	41.460000	
0.010000	1.351852	2.502215	60.818000	40.730000	
0.010000	1.308581	2.533532	62.012000	41.090000	
0.010000	1.284266	2.563679	62.072000	40.810000	
0.010000	1.249204	2.584679	63.430000	41.120000	
0.010000	1.210779	2.618458	64.642000	40.270000	
0.010000	1.192291	2.621743	65.100000	40.800000	
0.010000	1.155052	2.672900	65.592000	40.550000	
0.010000	1.118060	2.673269	66.842000	40.980000	
0.010000	1.084786	2.733214	67.772000	40.250000	
0.010000	1.070237	2.759060	68.064000	39.780000	
0.010000	1.038040	2.804679	68.906000	39.990000	
0.010000	1.014102	2.815432	69.738000	40.350000	
0.010000	0.980545	2.844030	70.378000	40.140000	
0.010000	0.965111	2.928110	71.022000	39.660000	
0.010000	0.928943	2.917458	72.216000	40.130000	
0.010000	0.915034	2.974621	72.528000	39.430000	
0.001000	0.570523	2.927990	83.222000	42.850000	
0.001000	0.454543	3.014356	86.590000	43.240000	
0.001000	0.406274	3.065281	87.966000	43.090000	
0.001000	0.383930	3.112583	88.720000	43.160000	
0.001000	0.361156	3.145154	89.528000	43.190000	
0.001000	0.338487	3.191949	90.178000	42.860000	
0.001000	0.323371	3.233493	90.564000	42.770000	
0.001000	0.311608	3.241783	90.870000	43.120000	
0.001000	0.298991	3.271943	91.284000	42.870000	
0.001000	0.287896	3.291271	91.676000	42.900000	
0.001000	0.277420	3.323143	92.092000	43.140000	
0.001000	0.274596	3.341053	92.030000	42.590000	
0.001000	0.263192	3.367574	92.526000	43.160000	
0.001000	0.252898	3.384010	92.778000	42.880000	
0.001000	0.252423	3.400997	92.840000	42.780000	
0.001000	0.242306	3.417839	93.130000	42.790000	
0.001000	0.236149	3.429552	93.250000	42.740000	
0.001000	0.231243	3.434786	93.586000	42.960000	
0.001000	0.223798	3.452926	93.640000	42.930000	
0.001000	0.217514	3.466812	93.980000	42.970000	
0.001000	0.218987	3.486389	93.850000	43.260000	
0.001000	0.207123	3.506926	94.216000	42.940000	
0.001000	0.205873	3.509245	94.328000	42.850000	
0.001000	0.201856	3.516518	94.428000	42.930000	
0.001000	0.198607	3.528908	94.686000	42.860000	
0.001000	0.189309	3.549443	94.792000	42.880000	
0.001000	0.190130	3.545645	94.844000	42.620000	
0.001000	0.183069	3.558105	94.894000	42.690000	
0.001000	0.184485	3.545875	94.982000	42.780000	
0.001000	0.176243	3.590283	95.142000	42.890000	
0.001000	0.178986	3.583202	95.122000	42.910000	
0.001000	0.170301	3.606250	95.430000	42.450000	
0.001000	0.171495	3.610133	95.288000	42.650000	
0.001000	0.167730	3.603575	95.408000	42.610000	
0.001000	0.163734	3.612145	95.682000	43.000000	
0.001000	0.163924	3.622450	95.600000	42.830000	
0.001000	0.161002	3.635822	95.830000	43.040000	
0.001000	0.156215	3.630139	95.928000	43.020000	
0.001000	0.152150	3.637343	96.050000	43.030000	
0.001000	0.150731	3.653673	96.024000	42.640000	
0.001000	0.152593	3.649674	95.976000	43.110000	
0.001000	0.147865	3.652599	96.088000	42.900000	
