Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.072629	3.976926	7.234000	9.060000	
0.100000	3.973459	3.990837	8.928000	8.740000	
0.100000	3.982559	3.928345	9.144000	9.820000	
0.100000	3.957127	3.962147	9.508000	10.590000	
0.100000	3.923271	3.834469	10.228000	11.380000	
0.100000	3.954035	3.929561	9.794000	10.230000	
0.100000	3.938172	3.746577	10.116000	12.510000	
0.100000	3.881961	3.780269	10.764000	12.450000	
0.100000	3.864772	3.688784	11.268000	13.880000	
0.100000	3.856264	3.778342	11.612000	12.520000	
0.100000	3.833411	3.780245	11.728000	12.820000	
0.100000	3.850751	3.944203	11.720000	11.930000	
0.100000	3.823882	3.789449	12.026000	13.100000	
0.100000	3.822010	3.837630	12.098000	11.580000	
0.100000	3.789691	3.786928	12.626000	11.610000	
0.100000	3.847852	3.753347	11.794000	12.820000	
0.100000	3.804633	3.758467	12.582000	13.570000	
0.100000	3.799618	3.688501	12.616000	14.440000	
0.100000	3.777705	3.747988	13.012000	14.210000	
0.100000	3.787167	3.761267	12.936000	13.650000	
0.100000	3.762872	3.725454	12.862000	14.090000	
0.100000	3.763528	3.738448	13.088000	14.200000	
0.100000	3.793381	3.763229	12.966000	13.040000	
0.100000	3.784904	3.728815	12.746000	14.200000	
0.100000	3.787724	3.832666	12.600000	13.060000	
0.100000	3.773090	3.731381	13.058000	14.350000	
0.100000	3.774275	3.787116	13.264000	12.750000	
0.100000	3.770502	3.728700	13.148000	13.240000	
0.100000	3.779080	3.809723	12.958000	12.430000	
0.100000	3.803775	3.754203	12.730000	13.860000	
0.100000	3.757597	3.668947	13.328000	14.820000	
0.100000	3.777038	3.713290	13.180000	14.130000	
0.100000	3.736524	3.750969	13.702000	14.080000	
0.100000	3.747268	3.738548	13.336000	13.630000	
0.100000	3.780190	3.771662	13.110000	13.050000	
0.100000	3.740554	3.732383	13.326000	13.660000	
0.100000	3.738476	3.637077	13.740000	15.360000	
0.100000	3.708838	3.759861	14.076000	14.280000	
0.100000	3.741490	3.686390	13.846000	14.190000	
0.100000	3.775218	3.728719	13.128000	13.440000	
0.100000	3.747691	3.706414	13.502000	14.660000	
0.100000	3.780531	3.756158	12.900000	14.510000	
0.100000	3.738581	3.706027	13.594000	14.340000	
0.100000	3.737746	3.635809	13.556000	15.920000	
0.100000	3.734557	3.664409	13.886000	14.590000	
0.100000	3.738641	3.805498	13.668000	14.880000	
0.100000	3.754224	3.756055	13.454000	14.740000	
0.100000	3.740916	3.822664	13.954000	13.770000	
0.100000	3.731030	3.674243	13.712000	14.760000	
0.100000	3.736408	3.715767	13.856000	14.170000	
0.100000	3.728768	3.804169	14.138000	13.320000	
0.100000	3.735837	3.732146	13.662000	13.930000	
0.100000	3.762194	3.740031	13.328000	13.920000	
0.100000	3.726985	3.832153	13.992000	12.150000	
0.100000	3.733022	3.707012	13.956000	14.420000	
0.100000	3.724274	3.730881	13.886000	13.640000	
0.100000	3.742071	3.847645	13.782000	11.660000	
0.100000	3.749475	3.658682	13.300000	15.280000	
0.100000	3.734401	3.661221	13.834000	13.940000	
0.100000	3.730710	3.693627	13.996000	14.680000	
0.100000	3.736339	3.695726	13.696000	15.130000	
0.100000	3.746008	3.649340	13.826000	15.570000	
0.100000	3.740376	3.731742	13.854000	14.100000	
0.100000	3.725659	3.754599	13.928000	13.770000	
0.100000	3.754855	3.708673	13.494000	14.590000	
0.100000	3.726889	3.745137	13.792000	13.010000	
0.100000	3.731405	3.644833	13.700000	15.750000	
0.100000	3.745349	3.716662	13.576000	14.020000	
0.100000	3.704478	3.678755	14.108000	14.600000	
0.100000	3.727088	3.773224	14.104000	14.330000	
0.100000	3.737671	3.681731	13.816000	15.090000	
0.100000	3.724623	3.670966	14.000000	14.700000	
0.100000	3.706996	3.684826	14.124000	14.250000	
0.100000	3.710369	3.737812	14.366000	14.980000	
0.100000	3.732432	3.706044	13.958000	14.410000	
0.100000	3.702471	3.659220	14.292000	16.180000	
0.100000	3.730110	3.644994	13.998000	16.010000	
0.100000	3.737980	3.583947	13.726000	16.260000	
0.100000	3.699577	3.724153	14.252000	13.760000	
0.100000	3.715079	3.732754	14.146000	13.480000	
0.100000	3.720586	3.628557	13.956000	15.000000	
0.010000	3.226706	3.095446	22.068000	25.150000	
0.010000	3.015778	2.972772	25.544000	27.480000	
0.010000	2.913795	2.905557	27.402000	28.450000	
0.010000	2.848282	2.871304	28.726000	28.770000	
0.010000	2.788031	2.795245	29.644000	30.580000	
0.010000	2.735523	2.763459	30.818000	31.530000	
0.010000	2.688463	2.737207	31.526000	31.840000	
0.010000	2.650180	2.710664	32.534000	32.430000	
0.010000	2.600213	2.692037	33.400000	32.470000	
0.010000	2.571003	2.655113	33.934000	32.740000	
0.010000	2.531403	2.633705	34.944000	33.710000	
0.010000	2.509673	2.647115	35.178000	33.530000	
0.010000	2.471717	2.605119	35.920000	34.110000	
0.010000	2.445481	2.574550	36.454000	35.050000	
0.010000	2.414445	2.570742	37.248000	34.690000	
0.010000	2.393080	2.555428	37.490000	35.050000	
0.010000	2.360546	2.555295	38.538000	35.270000	
0.010000	2.345046	2.505150	38.614000	36.690000	
0.010000	2.322649	2.503648	39.234000	37.320000	
0.010000	2.305579	2.533241	39.286000	35.880000	
0.010000	2.287325	2.527129	39.910000	36.220000	
0.010000	2.279452	2.469063	40.082000	37.510000	
0.010000	2.245719	2.466598	40.776000	37.820000	
0.010000	2.237138	2.505976	41.036000	36.440000	
0.010000	2.208414	2.482713	41.654000	37.790000	
0.010000	2.202430	2.427403	41.590000	38.610000	
0.010000	2.193449	2.431763	41.938000	38.730000	
0.010000	2.168913	2.447808	42.208000	38.030000	
0.010000	2.164265	2.440099	42.542000	38.100000	
0.010000	2.144039	2.428530	43.000000	38.540000	
0.010000	2.128980	2.419213	43.302000	38.630000	
0.010000	2.116198	2.432051	43.556000	38.470000	
0.010000	2.112202	2.429448	43.678000	38.880000	
0.010000	2.096591	2.402831	44.064000	39.350000	
0.010000	2.085625	2.406912	44.276000	38.820000	
0.010000	2.073451	2.414167	44.440000	39.510000	
0.010000	2.073797	2.417951	44.300000	39.720000	
0.010000	2.062992	2.375848	44.486000	40.030000	
0.010000	2.039879	2.376114	45.240000	39.730000	
0.010000	2.037037	2.386012	45.210000	39.260000	
0.010000	2.024204	2.440171	45.334000	39.390000	
0.001000	1.820467	2.297675	50.294000	42.110000	
0.001000	1.772900	2.284904	51.374000	42.430000	
0.001000	1.753034	2.282316	52.102000	42.540000	
0.001000	1.744958	2.283462	52.304000	42.850000	
0.001000	1.733497	2.276569	52.692000	42.820000	
0.001000	1.721046	2.272291	52.876000	42.820000	
0.001000	1.712548	2.276346	53.102000	43.090000	
0.001000	1.707721	2.277009	53.244000	42.850000	
0.001000	1.708205	2.273823	53.104000	42.750000	
0.001000	1.700652	2.285980	53.260000	42.710000	
0.001000	1.692253	2.279442	53.700000	42.700000	
0.001000	1.688516	2.278481	53.374000	43.080000	
0.001000	1.681628	2.275568	53.880000	42.750000	
0.001000	1.678726	2.279498	53.870000	43.080000	
0.001000	1.674442	2.277753	53.998000	43.090000	
0.001000	1.670280	2.273304	53.932000	43.080000	
0.001000	1.664563	2.277385	53.916000	43.040000	
0.001000	1.667064	2.280700	54.042000	42.880000	
0.001000	1.663240	2.275366	54.096000	43.260000	
0.001000	1.660299	2.268139	54.262000	43.390000	
0.001000	1.656887	2.275099	54.408000	43.420000	
0.001000	1.646709	2.275866	54.566000	43.360000	
0.001000	1.646424	2.280637	54.608000	43.340000	
0.001000	1.639843	2.284126	54.634000	42.870000	
0.001000	1.637044	2.280929	54.924000	43.250000	
0.001000	1.633628	2.280199	55.072000	43.390000	
0.001000	1.629808	2.280720	54.950000	43.660000	
0.001000	1.631400	2.280345	54.884000	43.520000	
0.001000	1.623234	2.280919	55.034000	43.180000	
0.001000	1.618125	2.277851	55.194000	43.490000	
0.001000	1.618106	2.285374	55.102000	43.230000	
0.001000	1.616674	2.282977	55.138000	43.290000	
0.001000	1.609664	2.296974	55.242000	43.440000	
0.001000	1.612983	2.277225	55.510000	43.440000	
0.001000	1.606700	2.278018	55.518000	43.440000	
0.001000	1.600194	2.286915	55.750000	43.220000	
0.001000	1.603046	2.282879	55.484000	43.700000	
0.001000	1.601889	2.289803	55.522000	43.350000	
0.001000	1.598334	2.297243	55.774000	43.060000	
0.001000	1.590746	2.285519	55.704000	43.400000	
0.001000	1.591775	2.291652	55.602000	43.480000	
0.001000	1.588538	2.293030	55.956000	43.320000	
