Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.096229	4.008112	6.918000	8.150000	
0.100000	4.054612	4.067558	7.800000	7.940000	
0.100000	4.053824	3.997614	8.062000	8.920000	
0.100000	4.072846	4.006353	7.702000	8.870000	
0.100000	4.062497	4.039368	7.960000	7.850000	
0.100000	4.067130	3.989837	7.670000	8.510000	
0.100000	4.052580	4.090275	7.916000	8.690000	
0.100000	4.059597	3.955305	7.778000	9.110000	
0.100000	4.037318	4.025794	8.078000	8.290000	
0.100000	4.062098	4.033306	7.658000	8.050000	
0.100000	4.054484	4.120250	7.952000	7.860000	
0.100000	4.036898	3.975345	8.148000	8.840000	
0.100000	4.054613	4.007361	8.072000	8.590000	
0.100000	4.035119	4.050400	8.020000	7.750000	
0.100000	4.049721	4.019109	8.062000	8.710000	
0.100000	4.028285	4.002538	8.352000	8.560000	
0.100000	4.041944	4.020810	8.278000	9.020000	
0.100000	4.059286	3.977866	7.806000	9.470000	
0.100000	4.044397	4.020212	8.160000	7.860000	
0.100000	4.059405	4.040681	8.062000	8.220000	
0.100000	4.064212	4.029199	7.712000	8.610000	
0.100000	4.072517	4.014871	7.760000	8.670000	
0.100000	4.033441	4.126758	8.106000	8.610000	
0.100000	4.071124	4.076078	7.764000	8.590000	
0.100000	4.073031	3.964522	7.590000	8.770000	
0.100000	4.050433	4.017897	7.900000	8.460000	
0.100000	4.066020	4.035436	7.540000	7.940000	
0.100000	4.056533	3.983507	7.764000	9.430000	
0.100000	4.021971	4.007462	8.416000	9.050000	
0.100000	4.042589	3.948164	7.944000	9.470000	
0.100000	4.039370	4.005917	8.058000	8.970000	
0.100000	4.075632	4.009446	7.678000	8.500000	
0.100000	4.062451	4.006589	7.720000	9.460000	
0.100000	4.030456	3.965291	8.098000	8.660000	
0.100000	4.074632	4.076860	7.594000	7.730000	
0.100000	4.064404	4.064503	7.774000	7.120000	
0.100000	4.094491	4.045813	7.186000	7.580000	
0.100000	4.079164	4.099039	7.428000	6.860000	
0.100000	4.101665	4.051267	7.080000	7.770000	
0.100000	4.087415	3.990991	7.130000	8.220000	
0.100000	4.088664	4.124579	7.346000	6.800000	
0.100000	4.110785	4.086846	6.808000	7.290000	
0.100000	4.076093	4.057610	7.332000	8.290000	
0.100000	4.088155	4.058840	6.982000	7.500000	
0.100000	4.073542	4.067266	7.342000	7.670000	
0.100000	4.110806	4.076634	6.992000	6.820000	
0.100000	4.123046	4.080570	6.728000	7.330000	
0.100000	4.114365	4.060511	6.464000	7.710000	
0.100000	4.112744	4.125566	6.588000	7.170000	
0.100000	4.125577	4.022875	6.440000	7.610000	
0.100000	4.111060	4.102680	6.568000	6.620000	
0.100000	4.129607	4.202738	6.374000	6.000000	
0.100000	4.137739	4.144630	6.306000	6.020000	
0.100000	4.154680	4.100846	5.976000	6.410000	
0.100000	4.114761	4.104579	6.430000	6.790000	
0.100000	4.141248	4.112615	6.026000	7.370000	
0.100000	4.113332	4.063766	6.178000	6.780000	
0.100000	4.145413	4.148790	6.182000	6.410000	
0.100000	4.141069	4.128410	6.540000	6.050000	
0.100000	4.125314	4.162697	6.282000	5.920000	
0.100000	4.145538	4.129680	6.186000	5.620000	
0.100000	4.121822	4.076874	6.312000	7.330000	
0.100000	4.149961	4.126251	6.038000	5.870000	
0.100000	4.137734	4.119500	6.236000	6.730000	
0.100000	4.144251	4.159937	6.036000	5.590000	
0.100000	4.146166	4.153779	5.942000	5.820000	
0.100000	4.139427	4.120492	6.192000	6.920000	
0.100000	4.177937	4.137151	5.618000	6.310000	
0.100000	4.148291	4.149734	5.798000	6.230000	
0.100000	4.148597	4.178442	5.882000	5.310000	
0.100000	4.177484	4.237712	5.228000	4.500000	
0.100000	4.195693	4.122560	5.276000	5.680000	
0.100000	4.168471	4.161696	5.684000	5.280000	
0.100000	4.173452	4.142190	5.710000	6.420000	
0.100000	4.137252	4.177570	5.840000	5.620000	
0.100000	4.124542	4.136671	6.012000	6.260000	
0.100000	4.131827	4.135402	6.068000	6.330000	
0.100000	4.151514	4.235564	5.814000	6.470000	
0.100000	4.182199	4.132772	5.674000	6.060000	
0.100000	4.179063	4.167582	5.286000	5.950000	
0.100000	4.162839	4.129510	5.920000	6.900000	
0.010000	3.856569	3.753769	10.144000	11.600000	
0.010000	3.723713	3.652094	11.900000	12.940000	
0.010000	3.626552	3.569709	13.280000	14.810000	
0.010000	3.540024	3.491640	14.952000	15.670000	
0.010000	3.468070	3.423495	15.868000	17.160000	
0.010000	3.401427	3.347783	17.282000	18.310000	
0.010000	3.347261	3.325057	18.190000	18.640000	
0.010000	3.302583	3.238958	18.986000	20.050000	
0.010000	3.259850	3.218859	20.104000	20.950000	
0.010000	3.221736	3.203423	20.570000	21.420000	
0.010000	3.198727	3.196765	21.196000	21.240000	
