Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.978065	3.630577	8.882000	13.790000	
0.100000	3.461896	3.339329	16.794000	19.330000	
0.100000	3.255770	3.246098	20.482000	21.050000	
0.100000	3.136417	3.079433	22.702000	24.190000	
0.100000	3.057115	3.102459	24.170000	23.730000	
0.100000	2.994286	3.058586	25.504000	25.250000	
0.100000	2.950478	2.943574	26.444000	26.670000	
0.100000	2.932003	2.907449	26.666000	27.170000	
0.100000	2.891425	2.955595	27.410000	27.170000	
0.100000	2.872598	2.929357	27.862000	27.130000	
0.100000	2.851171	2.881492	28.056000	28.140000	
0.100000	2.834610	2.893456	28.742000	28.500000	
0.100000	2.841569	2.833819	28.354000	29.770000	
0.100000	2.806847	2.912182	29.292000	27.170000	
0.100000	2.802072	2.946673	29.314000	27.790000	
0.100000	2.798638	2.934022	29.414000	27.750000	
0.100000	2.780555	2.845132	29.732000	28.890000	
0.100000	2.768724	2.831308	29.842000	29.430000	
0.100000	2.767678	2.842657	29.880000	29.070000	
0.100000	2.765592	2.851423	29.992000	28.780000	
0.100000	2.761050	2.796624	30.028000	30.170000	
0.100000	2.756162	2.826888	30.208000	29.710000	
0.100000	2.746676	2.874168	30.404000	28.970000	
0.100000	2.749402	2.889967	30.238000	28.260000	
0.100000	2.739197	2.761376	30.388000	30.690000	
0.100000	2.738838	2.834291	30.636000	29.250000	
0.100000	2.742794	2.785104	30.674000	30.230000	
0.100000	2.726363	2.776935	30.818000	30.450000	
0.100000	2.718916	2.788880	30.932000	30.750000	
0.100000	2.721089	2.820772	30.868000	29.270000	
0.100000	2.721899	2.767798	30.960000	31.390000	
0.100000	2.713812	2.789022	31.026000	30.800000	
0.100000	2.713098	2.816132	31.058000	29.240000	
0.100000	2.707200	2.809173	31.384000	30.030000	
0.100000	2.713895	2.734602	31.178000	30.780000	
0.100000	2.709040	2.804111	31.238000	30.280000	
0.100000	2.715905	2.782884	31.244000	30.270000	
0.100000	2.702803	2.830402	31.196000	29.720000	
0.100000	2.704144	2.738391	31.562000	31.190000	
0.100000	2.689749	2.764426	31.670000	30.940000	
0.100000	2.696740	2.763129	31.330000	31.290000	
0.100000	2.703240	2.770747	31.272000	30.600000	
0.100000	2.692169	2.775381	31.730000	30.770000	
0.100000	2.700654	2.757981	31.598000	31.010000	
0.100000	2.685423	2.877359	31.660000	28.930000	
0.100000	2.687140	2.792836	31.514000	30.220000	
0.100000	2.683554	2.763275	31.876000	30.890000	
0.100000	2.686480	2.816882	31.426000	29.320000	
0.100000	2.681344	2.770245	31.682000	30.770000	
0.100000	2.681850	2.756928	31.790000	30.500000	
0.100000	2.693516	2.733564	31.500000	31.700000	
0.100000	2.683090	2.789604	31.788000	30.140000	
0.100000	2.684245	2.767026	31.798000	30.690000	
0.100000	2.673790	2.723691	31.842000	32.170000	
0.100000	2.676907	2.772734	31.986000	30.670000	
0.100000	2.678309	2.823826	31.840000	29.600000	
0.100000	2.681862	2.733853	31.600000	31.470000	
0.100000	2.675040	2.799459	31.974000	29.990000	
0.100000	2.687315	2.796564	31.506000	30.500000	
0.100000	2.677332	2.727712	31.894000	32.130000	
0.100000	2.674123	2.800293	31.898000	29.790000	
0.100000	2.672584	2.734418	32.028000	31.550000	
0.100000	2.672026	2.704023	32.000000	31.750000	
0.100000	2.660165	2.763695	32.292000	30.780000	
0.100000	2.688548	2.861535	31.546000	29.160000	
0.100000	2.664345	2.840656	32.184000	28.620000	
0.100000	2.668434	2.768462	31.964000	30.800000	
0.100000	2.672880	2.787985	32.028000	30.650000	
0.100000	2.675263	2.776390	31.894000	30.870000	
0.100000	2.662199	2.787323	31.898000	29.750000	
0.100000	2.665540	2.713529	32.038000	32.030000	
0.100000	2.667649	2.713579	31.926000	32.100000	
0.100000	2.650683	2.758279	32.312000	31.180000	
0.100000	2.676273	2.760418	31.606000	30.950000	
0.100000	2.668881	2.770913	32.074000	30.470000	
0.100000	2.655271	2.808680	32.216000	30.530000	
0.100000	2.666559	2.781912	32.026000	30.310000	
0.100000	2.652912	2.751659	32.306000	31.620000	
0.100000	2.651961	2.796113	32.196000	30.590000	
0.100000	2.657592	2.705044	32.324000	32.130000	
0.100000	2.656032	2.814929	32.342000	30.020000	
0.010000	2.271581	2.389480	40.474000	39.310000	
0.010000	2.154477	2.375757	43.018000	39.610000	
0.010000	2.111108	2.332285	44.136000	40.620000	
0.010000	2.085723	2.326682	44.980000	40.430000	
0.010000	2.072420	2.313131	45.134000	41.010000	
0.010000	2.056973	2.303304	45.318000	41.060000	
0.010000	2.042978	2.293614	45.726000	41.300000	
0.010000	2.034633	2.286804	45.780000	41.330000	
0.010000	2.016900	2.291265	46.402000	41.430000	
0.010000	2.014642	2.286599	46.494000	41.740000	
0.010000	2.002493	2.277232	46.462000	41.700000	
0.010000	1.999076	2.283906	46.648000	41.870000	
0.010000	1.988248	2.292242	47.106000	41.300000	
0.010000	1.978384	2.287002	47.596000	41.600000	
0.010000	1.975605	2.262557	47.250000	41.960000	
0.010000	1.970626	2.273363	47.570000	42.210000	
0.010000	1.965488	2.258277	47.316000	41.930000	
0.010000	1.961791	2.260466	47.498000	42.490000	
0.010000	1.954708	2.256825	47.626000	42.040000	
0.010000	1.943041	2.267164	47.850000	41.880000	
0.010000	1.935732	2.243503	48.120000	42.320000	
0.010000	1.934903	2.231739	48.318000	43.190000	
0.010000	1.928692	2.238743	48.282000	42.630000	
0.010000	1.927621	2.250719	48.388000	42.450000	
0.010000	1.921049	2.243646	48.350000	42.670000	
0.010000	1.917311	2.271144	48.672000	42.410000	
0.010000	1.908729	2.246484	48.886000	42.590000	
0.010000	1.906134	2.242214	48.754000	42.150000	
0.010000	1.903203	2.236370	48.884000	42.380000	
0.010000	1.896581	2.248189	49.144000	42.790000	
0.010000	1.894249	2.231431	49.220000	42.830000	
0.010000	1.883200	2.259206	49.304000	42.200000	
0.010000	1.885306	2.231742	49.326000	43.230000	
0.010000	1.882704	2.239133	49.168000	42.660000	
0.010000	1.880489	2.246684	49.390000	42.650000	
0.010000	1.875213	2.263393	49.476000	42.090000	
0.010000	1.869725	2.243468	49.740000	42.660000	
0.010000	1.861602	2.244872	49.922000	42.540000	
0.010000	1.864187	2.240002	49.758000	42.960000	
0.010000	1.860967	2.230897	49.914000	42.700000	
0.010000	1.855852	2.253078	49.920000	42.610000	
0.001000	1.762091	2.183161	52.416000	43.850000	
0.001000	1.746443	2.177340	52.984000	44.270000	
0.001000	1.738615	2.176142	53.320000	44.130000	
0.001000	1.733608	2.177584	53.414000	44.610000	
0.001000	1.727338	2.173799	53.492000	44.270000	
0.001000	1.730207	2.176291	53.448000	44.300000	
0.001000	1.721319	2.173325	53.634000	44.300000	
0.001000	1.721162	2.173996	53.600000	44.650000	
0.001000	1.723510	2.171331	53.924000	44.560000	
0.001000	1.721942	2.172756	53.654000	44.610000	
0.001000	1.722117	2.175550	53.568000	44.440000	
0.001000	1.715152	2.174453	53.774000	44.280000	
0.001000	1.722237	2.174213	53.804000	44.350000	
0.001000	1.712372	2.175991	53.936000	44.620000	
0.001000	1.715718	2.175390	53.878000	44.380000	
0.001000	1.710410	2.176287	53.938000	44.490000	
0.001000	1.713645	2.173521	53.654000	44.540000	
0.001000	1.714547	2.173005	53.936000	44.280000	
0.001000	1.712075	2.175177	53.746000	44.290000	
0.001000	1.710600	2.173041	54.076000	44.470000	
0.001000	1.709034	2.174776	53.898000	44.470000	
0.001000	1.708824	2.169805	54.030000	44.550000	
