Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.256162	3.978167	4.364000	6.950000	
0.100000	3.904796	3.726584	8.478000	10.960000	
0.100000	3.736272	3.775233	11.560000	13.310000	
0.100000	3.628491	3.547913	13.820000	14.930000	
0.100000	3.560680	3.493169	15.228000	15.970000	
0.100000	3.517722	3.498517	16.198000	16.910000	
0.100000	3.495196	3.437665	16.580000	18.130000	
0.100000	3.462832	3.441666	17.222000	18.530000	
0.100000	3.435616	3.429912	17.874000	19.220000	
0.100000	3.421845	3.333733	18.696000	19.710000	
0.100000	3.412988	3.390282	18.604000	19.400000	
0.100000	3.411964	3.419639	18.666000	18.580000	
0.100000	3.399251	3.516111	19.020000	16.810000	
0.100000	3.389763	3.390372	18.948000	19.580000	
0.100000	3.374318	3.379239	19.366000	19.300000	
0.100000	3.375519	3.420614	19.340000	18.920000	
0.100000	3.362792	3.305094	19.648000	20.900000	
0.100000	3.361679	3.404026	19.732000	19.310000	
0.100000	3.348178	3.312881	19.582000	20.860000	
0.100000	3.343231	3.436491	19.758000	19.440000	
0.100000	3.355953	3.294056	19.966000	21.140000	
0.100000	3.339888	3.340323	20.234000	20.970000	
0.100000	3.339824	3.258338	20.096000	21.140000	
0.100000	3.349733	3.362249	19.992000	20.320000	
0.100000	3.343179	3.315310	20.352000	21.050000	
0.100000	3.341093	3.286160	20.252000	20.890000	
0.100000	3.345394	3.250981	20.336000	22.060000	
0.100000	3.334971	3.335817	20.510000	19.990000	
0.100000	3.342025	3.377104	19.992000	20.460000	
0.100000	3.330021	3.241086	20.758000	21.810000	
0.100000	3.346780	3.328254	20.230000	20.760000	
0.100000	3.336846	3.350582	20.324000	18.940000	
0.100000	3.330399	3.327596	20.378000	21.060000	
0.100000	3.324734	3.366680	20.670000	20.000000	
0.100000	3.333532	3.270473	20.326000	21.770000	
0.100000	3.307401	3.247646	20.612000	21.500000	
0.100000	3.317068	3.323392	20.760000	20.850000	
0.100000	3.325539	3.254905	20.488000	21.650000	
0.100000	3.319706	3.278624	20.666000	21.070000	
0.100000	3.316754	3.281611	20.922000	21.900000	
0.100000	3.324403	3.285004	20.604000	21.830000	
0.100000	3.317179	3.333164	20.780000	20.220000	
0.100000	3.306167	3.254711	20.928000	22.610000	
0.100000	3.305770	3.365147	20.966000	18.830000	
0.100000	3.310871	3.246992	20.918000	22.210000	
0.100000	3.311117	3.257957	20.790000	21.590000	
0.100000	3.306739	3.290969	20.938000	20.700000	
0.100000	3.314560	3.230947	20.706000	22.670000	
0.100000	3.303862	3.267831	21.224000	22.400000	
0.100000	3.308179	3.294572	21.040000	20.490000	
0.100000	3.308549	3.354537	21.008000	20.320000	
0.100000	3.293321	3.238115	20.926000	22.510000	
0.100000	3.292130	3.280720	21.402000	21.050000	
0.100000	3.284765	3.264528	21.620000	21.800000	
0.100000	3.269822	3.336501	21.740000	20.910000	
0.100000	3.302949	3.193798	21.298000	22.780000	
0.100000	3.298924	3.283528	21.304000	22.150000	
0.100000	3.299416	3.263910	21.352000	22.440000	
0.100000	3.294267	3.234928	21.474000	22.600000	
0.100000	3.273408	3.264333	21.654000	22.340000	
0.100000	3.311797	3.335764	20.756000	20.560000	
0.100000	3.296746	3.361238	21.260000	20.500000	
0.100000	3.284255	3.292871	21.522000	22.510000	
0.100000	3.283767	3.212929	21.664000	22.780000	
0.100000	3.299297	3.277466	21.408000	21.730000	
0.100000	3.295865	3.309998	21.430000	20.450000	
0.100000	3.300697	3.308169	20.890000	20.600000	
0.100000	3.286171	3.259085	21.286000	22.540000	
0.100000	3.295489	3.217544	21.428000	22.370000	
0.100000	3.300058	3.275210	21.342000	21.270000	
0.100000	3.271606	3.274193	21.606000	22.280000	
0.100000	3.288387	3.366561	21.302000	19.820000	
0.100000	3.281561	3.323269	21.538000	20.820000	
0.100000	3.295984	3.306229	21.378000	21.200000	
0.100000	3.309346	3.277893	20.920000	21.570000	
0.100000	3.303399	3.314482	21.210000	20.980000	
0.100000	3.298953	3.301066	21.212000	20.570000	
0.100000	3.290019	3.251495	21.370000	21.780000	
0.100000	3.289326	3.384211	21.590000	20.990000	
0.100000	3.297063	3.236960	21.298000	22.950000	
0.100000	3.281263	3.285785	21.750000	21.620000	
0.010000	2.735528	2.660028	31.864000	33.520000	
0.010000	2.521050	2.572950	35.570000	35.680000	
0.010000	2.415381	2.498103	37.676000	37.360000	
0.010000	2.347238	2.483309	38.794000	37.100000	
0.010000	2.277430	2.436043	40.390000	38.350000	
0.010000	2.220816	2.407971	41.592000	38.680000	
0.010000	2.159210	2.373555	42.782000	39.370000	
0.010000	2.107447	2.368607	43.868000	39.320000	
0.010000	2.058904	2.339931	44.544000	39.780000	
0.010000	2.013042	2.322147	45.784000	40.810000	
0.010000	1.965320	2.307731	46.598000	41.110000	
0.010000	1.916115	2.316582	47.702000	40.750000	
0.010000	1.873412	2.329238	48.770000	41.030000	
0.010000	1.834341	2.320179	49.540000	41.300000	
0.010000	1.783065	2.294749	50.658000	42.140000	
0.010000	1.736117	2.312932	51.668000	42.170000	
0.010000	1.688883	2.322608	52.832000	42.310000	
0.010000	1.653956	2.311575	53.482000	42.460000	
0.010000	1.619758	2.331022	54.438000	42.020000	
