Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.293174	4.064503	3.920000	6.300000	
0.100000	3.934447	3.809126	8.014000	10.660000	
0.100000	3.764056	3.586561	11.380000	13.950000	
0.100000	3.652646	3.552616	13.488000	15.530000	
0.100000	3.586265	3.531129	14.536000	15.300000	
0.100000	3.537840	3.490935	15.540000	16.200000	
0.100000	3.499648	3.509572	16.390000	17.320000	
0.100000	3.465505	3.454922	17.298000	17.330000	
0.100000	3.448719	3.400281	17.534000	19.000000	
0.100000	3.436707	3.450603	17.974000	17.550000	
0.100000	3.413710	3.454568	18.286000	17.840000	
0.100000	3.418831	3.361011	18.170000	19.390000	
0.100000	3.416781	3.406596	18.322000	20.130000	
0.100000	3.404263	3.387513	18.406000	19.420000	
0.100000	3.406931	3.304804	18.550000	20.360000	
0.100000	3.384643	3.367918	18.928000	19.010000	
0.100000	3.397032	3.343989	19.038000	20.460000	
0.100000	3.380882	3.277739	19.088000	21.130000	
0.100000	3.367162	3.317326	19.458000	21.520000	
0.100000	3.362851	3.374143	19.778000	20.200000	
0.100000	3.357697	3.339805	19.766000	20.180000	
0.100000	3.356204	3.366017	19.936000	20.430000	
0.100000	3.366886	3.276416	19.520000	21.990000	
0.100000	3.352915	3.399007	19.672000	19.480000	
0.100000	3.358614	3.325026	19.772000	21.290000	
0.100000	3.334672	3.290571	20.136000	20.490000	
0.100000	3.344967	3.350060	20.194000	19.830000	
0.100000	3.326790	3.309477	20.298000	20.870000	
0.100000	3.333706	3.341510	20.516000	19.970000	
0.100000	3.339843	3.259596	20.130000	22.270000	
0.100000	3.327072	3.298958	20.254000	20.730000	
0.100000	3.341901	3.277488	20.000000	21.520000	
0.100000	3.308918	3.293487	20.628000	21.300000	
0.100000	3.343811	3.224647	20.226000	22.240000	
0.100000	3.319414	3.258615	20.220000	21.800000	
0.100000	3.328538	3.366328	20.264000	19.950000	
0.100000	3.316604	3.251165	20.450000	22.890000	
0.100000	3.306496	3.251617	20.750000	22.070000	
0.100000	3.306913	3.267632	20.378000	22.120000	
0.100000	3.308300	3.299989	20.662000	21.290000	
0.100000	3.311969	3.334419	20.852000	20.780000	
0.100000	3.316964	3.291008	20.378000	21.040000	
