Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.053676	3.850573	7.760000	11.230000	
0.100000	3.859208	3.747880	10.684000	12.300000	
0.100000	3.799915	3.807392	11.860000	12.520000	
0.100000	3.772922	3.659009	12.460000	15.020000	
0.100000	3.727555	3.734755	12.980000	12.410000	
0.100000	3.692176	3.650878	13.652000	13.650000	
0.100000	3.673536	3.536525	14.146000	16.140000	
0.100000	3.634495	3.515484	14.588000	16.880000	
0.100000	3.598709	3.518294	15.240000	16.720000	
0.100000	3.553544	3.570317	16.006000	17.340000	
0.100000	3.537894	3.494035	16.262000	17.750000	
0.100000	3.498649	3.428934	16.706000	18.610000	
0.100000	3.481147	3.455703	17.168000	18.630000	
0.100000	3.475899	3.483612	17.350000	17.950000	
0.100000	3.453906	3.407540	17.906000	18.470000	
0.100000	3.429672	3.554895	18.180000	16.730000	
0.100000	3.406014	3.342569	18.348000	19.240000	
0.100000	3.394084	3.418371	18.908000	19.360000	
0.100000	3.375883	3.374181	19.232000	19.230000	
0.100000	3.377519	3.321409	19.014000	21.150000	
0.100000	3.328268	3.288367	19.906000	21.070000	
0.100000	3.326442	3.344318	20.052000	19.880000	
0.100000	3.297444	3.279175	20.346000	21.520000	
0.100000	3.278462	3.286853	20.882000	21.280000	
0.100000	3.265868	3.263344	20.752000	20.920000	
0.100000	3.240980	3.216495	21.404000	22.340000	
0.100000	3.223194	3.258214	21.338000	21.160000	
0.100000	3.203525	3.247618	22.192000	22.460000	
0.100000	3.184728	3.197736	22.492000	22.520000	
0.100000	3.156205	3.140002	22.678000	23.730000	
0.100000	3.132474	3.096358	23.014000	24.210000	
0.100000	3.123645	3.100153	23.114000	23.880000	
0.100000	3.095495	3.083235	23.650000	24.690000	
0.100000	3.084956	3.085068	23.972000	25.270000	
0.100000	3.056839	3.213654	24.578000	21.920000	
0.100000	3.050027	3.054577	24.570000	24.410000	
0.100000	3.033026	3.057889	25.066000	25.900000	
0.100000	3.011766	3.165390	25.506000	23.980000	
