Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.949801	3.639675	9.230000	14.133333	
0.050000	3.495834	3.511653	16.500000	17.266667	
0.050000	3.340976	3.295262	19.620000	20.100000	
0.050000	3.258258	3.246770	21.088000	22.433333	
0.050000	3.208256	3.213935	22.148000	22.233333	
0.050000	3.153586	3.212226	23.208000	23.566667	
0.050000	3.094925	3.130514	24.478000	23.600000	
0.050000	3.081821	3.135700	24.520000	24.100000	
0.050000	3.044347	3.138115	25.534000	24.900000	
0.050000	3.029135	3.081595	25.812000	25.333333	
0.050000	2.987692	3.043483	26.528000	26.433333	
0.050000	2.984704	3.076761	26.736000	26.933333	
0.050000	2.987933	3.100312	27.068000	26.300000	
0.050000	2.952500	3.078076	27.598000	26.766667	
0.050000	2.921568	3.022493	28.234000	27.500000	
0.050000	2.904943	2.996635	28.224000	27.800000	
0.050000	2.893260	2.978475	28.720000	26.833333	
0.050000	2.897973	3.015581	28.806000	26.700000	
0.050000	2.899287	2.949817	28.708000	29.266667	
0.050000	2.890435	2.976078	28.994000	27.433333	
0.050000	2.863737	2.937871	29.656000	28.500000	
0.050000	2.871302	3.024770	29.202000	27.166667	
0.050000	2.863395	2.943761	29.532000	27.566667	
0.050000	2.840437	2.918871	30.062000	29.600000	
0.050000	2.852322	2.967919	29.764000	28.566667	
0.050000	2.842702	2.984365	30.034000	29.000000	
0.050000	2.832145	2.935698	30.260000	28.966667	
0.050000	2.827004	2.896867	30.414000	29.166667	
0.050000	2.816309	2.925147	30.478000	30.066667	
0.050000	2.823723	2.965954	30.622000	29.033333	
0.050000	2.821682	2.884885	30.480000	29.700000	
0.050000	2.807842	2.973423	30.700000	29.000000	
0.050000	2.809031	2.887421	30.528000	29.400000	
0.050000	2.789025	2.980128	31.232000	27.866667	
0.050000	2.800335	3.007719	30.850000	28.566667	
0.050000	2.798223	2.959513	30.746000	29.566667	
0.050000	2.791001	2.797992	31.088000	31.133333	
0.050000	2.786039	2.833033	31.200000	31.366667	
0.050000	2.787917	2.967525	30.970000	27.633333	
0.050000	2.789402	2.872603	31.178000	30.433333	
0.050000	2.783754	2.883142	31.228000	30.833333	
0.050000	2.771070	2.930685	31.442000	28.200000	
0.050000	2.764670	2.890879	31.390000	30.200000	
0.050000	2.755979	2.939075	31.940000	27.833333	
0.050000	2.776086	2.980563	31.582000	28.633333	
0.050000	2.771878	2.902466	31.138000	29.300000	
0.050000	2.756201	2.852999	31.712000	30.800000	
0.050000	2.753595	2.977928	31.864000	27.866667	
0.050000	2.749618	2.874041	31.778000	30.000000	
0.050000	2.753278	2.921638	31.942000	29.666667	
0.050000	2.747409	2.951539	32.024000	29.033333	
0.050000	2.740366	2.862262	32.106000	31.066667	
0.050000	2.733797	2.888333	32.424000	29.866667	
0.050000	2.742086	2.979216	31.812000	28.366667	
0.050000	2.751395	2.821896	31.878000	31.466667	
0.050000	2.755433	2.905083	31.922000	29.833333	
0.050000	2.742731	2.850687	31.964000	31.266667	
0.050000	2.726533	2.900954	32.286000	30.000000	
0.050000	2.741368	2.925522	32.152000	28.366667	
0.050000	2.721136	2.835473	32.458000	31.100000	
0.050000	2.729808	2.876652	32.422000	29.833333	
0.050000	2.730595	2.828001	32.174000	31.933333	
0.050000	2.741069	2.885078	31.926000	30.466667	
0.050000	2.728072	2.859986	32.208000	30.066667	
0.050000	2.717836	2.848604	32.614000	30.600000	
0.050000	2.727334	2.971318	32.552000	29.066667	
0.050000	2.725595	2.781706	32.596000	31.733333	
0.050000	2.718846	2.939224	32.710000	29.300000	
0.050000	2.715317	2.818500	32.514000	30.766667	
0.050000	2.721777	2.889896	32.592000	30.066667	
0.050000	2.718018	2.903932	32.642000	30.100000	
0.050000	2.733438	2.891197	32.212000	30.133333	
0.050000	2.698399	2.873870	33.064000	31.000000	
0.050000	2.702827	2.832696	32.832000	30.866667	
0.050000	2.701672	2.888522	32.750000	29.766667	
0.050000	2.688655	2.803918	32.980000	31.600000	
0.050000	2.702646	2.831292	32.904000	30.733333	
0.050000	2.712962	2.860161	32.790000	30.633333	
0.050000	2.723768	2.811073	32.386000	31.600000	
0.050000	2.734439	2.890979	32.266000	30.266667	
0.050000	2.717916	2.812336	32.544000	31.066667	
0.005000	2.192168	2.412021	42.912000	38.800000	
0.005000	2.009419	2.364779	46.790000	39.800000	
0.005000	1.923917	2.317535	48.560000	41.400000	
0.005000	1.866973	2.304480	49.770000	42.266667	
0.005000	1.815783	2.292180	50.932000	41.933333	
0.005000	1.773003	2.263002	51.630000	42.666667	
0.005000	1.735997	2.248076	52.768000	42.966667	
0.005000	1.705308	2.233451	53.162000	43.466667	
0.005000	1.666393	2.251931	54.180000	43.066667	
0.005000	1.631345	2.217110	55.112000	43.366667	
0.005000	1.601247	2.225171	55.240000	44.133333	
0.005000	1.568791	2.207747	56.296000	44.433333	
0.005000	1.551578	2.205630	56.652000	44.666667	
0.005000	1.530053	2.204902	57.202000	44.466667	
0.005000	1.499479	2.209210	57.778000	44.500000	
0.005000	1.477092	2.196167	58.484000	45.300000	
0.005000	1.451202	2.193621	58.982000	45.666667	
0.005000	1.434308	2.192801	59.510000	45.066667	
0.005000	1.410583	2.190864	60.122000	44.633333	
0.005000	1.391611	2.196293	60.544000	45.600000	
0.005000	1.371236	2.209264	60.892000	45.300000	
0.005000	1.352771	2.213370	61.418000	45.166667	
0.005000	1.328692	2.226808	61.814000	44.833333	
0.005000	1.313294	2.200356	62.446000	45.800000	
0.005000	1.292885	2.223062	62.838000	45.700000	
0.005000	1.269684	2.229528	63.618000	44.933333	
0.005000	1.258471	2.237234	63.862000	45.033333	
0.005000	1.234671	2.235239	64.636000	46.333333	
0.005000	1.217905	2.230335	64.882000	45.866667	
0.005000	1.206773	2.231488	65.026000	46.100000	
0.005000	1.183654	2.230890	65.614000	45.966667	
0.005000	1.173685	2.231696	65.850000	46.066667	
0.005000	1.160479	2.281942	66.266000	45.533333	
0.005000	1.152806	2.272189	66.586000	45.333333	
0.005000	1.122471	2.284192	67.164000	45.700000	
0.005000	1.110545	2.321719	67.520000	45.800000	
0.005000	1.098047	2.295264	67.718000	46.466667	
0.005000	1.080744	2.332116	68.250000	45.233333	
0.005000	1.072105	2.346793	68.720000	45.600000	
0.005000	1.053899	2.327709	69.088000	45.766667	
0.005000	1.034763	2.333063	69.642000	45.766667	
0.000500	0.904910	2.298136	73.622000	47.000000	
0.000500	0.863287	2.305819	74.828000	46.933333	
0.000500	0.850511	2.314636	75.338000	47.700000	
0.000500	0.841151	2.315891	75.456000	47.500000	
0.000500	0.834858	2.326002	75.758000	47.800000	
0.000500	0.822535	2.327551	76.026000	47.533333	
0.000500	0.822383	2.339022	76.140000	47.633333	
0.000500	0.814500	2.337511	76.170000	47.333333	
0.000500	0.814687	2.334633	76.316000	47.133333	
0.000500	0.809546	2.341035	76.128000	47.333333	
0.000500	0.803206	2.345323	76.566000	47.400000	
0.000500	0.795342	2.357959	76.700000	47.333333	
0.000500	0.797025	2.353632	76.658000	47.800000	
0.000500	0.792449	2.359504	76.754000	47.233333	
0.000500	0.785534	2.360562	76.874000	47.500000	
0.000500	0.782415	2.362952	77.038000	47.666667	
0.000500	0.779897	2.370754	77.056000	47.466667	
0.000500	0.777677	2.368359	77.152000	47.333333	
0.000500	0.780644	2.376235	77.260000	47.600000	
0.000500	0.775397	2.370075	77.378000	47.566667	
0.000500	0.765231	2.377003	77.734000	47.366667	
0.000500	0.767250	2.383803	77.468000	47.466667	
0.000500	0.768373	2.382052	77.494000	47.600000	
0.000500	0.755727	2.394983	77.790000	47.166667	
0.000500	0.760751	2.388591	77.662000	47.333333	
0.000500	0.749828	2.385609	78.102000	47.400000	
0.000500	0.742185	2.389942	78.164000	46.900000	
0.000500	0.748114	2.392685	78.004000	47.466667	
0.000500	0.739712	2.400935	78.262000	47.400000	
0.000500	0.741979	2.396783	78.160000	47.200000	
0.000500	0.735400	2.400097	78.280000	47.133333	
0.000500	0.735919	2.400935	78.282000	47.800000	
0.000500	0.735978	2.402067	78.512000	47.466667	
0.000500	0.729108	2.414984	78.570000	47.100000	
0.000500	0.729074	2.407389	78.682000	47.266667	
0.000500	0.730907	2.403719	78.512000	47.566667	
0.000500	0.722100	2.409367	78.740000	47.300000	
0.000500	0.724657	2.411432	78.806000	47.866667	
0.000500	0.716625	2.409430	78.982000	47.233333	
0.000500	0.719005	2.417207	78.976000	47.600000	
0.000500	0.711975	2.415863	79.012000	47.266667	
0.000500	0.708173	2.421514	79.086000	47.466667	
0.000050	0.698169	2.418212	79.556000	47.966667	
0.000050	0.688024	2.417826	80.062000	48.166667	
0.000050	0.688291	2.417822	79.820000	48.000000	
0.000050	0.689547	2.420071	79.934000	47.900000	
0.000050	0.688841	2.420068	79.758000	47.933333	
0.000050	0.684819	2.420786	80.064000	47.700000	
0.000050	0.686007	2.421238	79.872000	47.600000	
0.000050	0.689836	2.421640	79.718000	47.733333	
0.000050	0.688120	2.422049	79.996000	47.700000	
0.000050	0.685057	2.422971	79.916000	47.866667	
0.000050	0.686239	2.423784	79.858000	47.700000	
0.000050	0.689226	2.424328	79.734000	47.733333	
0.000050	0.682219	2.423127	80.054000	47.766667	
0.000050	0.686771	2.424503	79.942000	47.933333	
0.000050	0.685452	2.424550	79.790000	47.633333	
0.000050	0.683895	2.424975	79.876000	47.566667	
0.000050	0.685648	2.426464	79.878000	47.633333	
0.000050	0.681853	2.426102	80.044000	47.600000	
0.000050	0.686509	2.424222	79.832000	47.700000	
0.000050	0.680803	2.426110	80.266000	47.733333	
0.000050	0.685822	2.424833	79.872000	47.566667	
0.000050	0.678721	2.425558	80.198000	47.566667	
0.000050	0.685559	2.426018	80.024000	47.733333	
0.000050	0.678991	2.426630	79.958000	47.700000	
0.000050	0.679646	2.428139	80.188000	47.766667	
0.000050	0.684099	2.428949	80.098000	47.833333	
0.000050	0.685974	2.429359	79.814000	47.800000	
0.000050	0.684569	2.429245	79.954000	47.633333	
0.000050	0.676888	2.431389	80.264000	47.800000	
0.000050	0.681590	2.430277	80.184000	47.700000	
0.000050	0.681892	2.430728	80.138000	47.833333	
0.000050	0.677277	2.432148	80.298000	47.666667	
0.000050	0.679221	2.432454	80.148000	47.600000	
0.000050	0.677868	2.433098	80.382000	47.700000	
0.000050	0.677798	2.432872	80.104000	47.666667	
0.000050	0.682850	2.432585	80.022000	47.633333	
0.000050	0.676913	2.431696	80.378000	47.766667	
0.000050	0.673451	2.432086	80.400000	47.833333	
0.000050	0.678627	2.432726	79.974000	47.800000	
0.000050	0.674044	2.433185	80.274000	47.766667	
0.000050	0.674860	2.433664	80.306000	47.700000	
0.000050	0.671264	2.433865	80.380000	47.666667	
