Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.705781	3.271515	12.764000	19.666667	
0.050000	3.075931	2.917703	23.754000	26.633333	
0.050000	2.839735	2.700063	28.628000	32.100000	
0.050000	2.696259	2.673741	31.436000	31.733333	
0.050000	2.594521	2.631459	33.580000	33.700000	
0.050000	2.520645	2.557360	35.042000	35.400000	
0.050000	2.435359	2.504336	36.766000	35.000000	
0.050000	2.374799	2.515565	38.284000	35.066667	
0.050000	2.335174	2.446539	38.896000	36.800000	
0.050000	2.297457	2.427491	39.940000	38.000000	
0.050000	2.262130	2.477275	40.794000	36.866667	
0.050000	2.225218	2.405690	41.362000	38.200000	
0.050000	2.194664	2.454577	42.114000	37.433333	
0.050000	2.169858	2.459253	42.708000	37.200000	
0.050000	2.149961	2.464746	42.774000	38.433333	
0.050000	2.124946	2.351741	43.834000	40.266667	
0.050000	2.100486	2.349178	43.760000	39.100000	
0.050000	2.074460	2.384077	44.744000	39.266667	
0.050000	2.060794	2.459622	45.028000	37.533333	
0.050000	2.049034	2.371496	45.198000	39.666667	
0.050000	2.037433	2.383084	45.346000	40.300000	
0.050000	2.023489	2.447352	45.766000	38.000000	
0.050000	1.999395	2.337639	46.310000	40.066667	
0.050000	1.995221	2.328282	46.156000	40.900000	
0.050000	1.977886	2.355756	46.842000	40.866667	
0.050000	1.967492	2.357054	47.132000	40.733333	
0.050000	1.956048	2.378753	47.552000	41.333333	
0.050000	1.932282	2.348753	47.764000	40.433333	
0.050000	1.935669	2.393551	47.618000	39.900000	
0.050000	1.922879	2.421608	48.176000	39.000000	
0.050000	1.916477	2.362511	48.144000	40.100000	
0.050000	1.899031	2.407508	48.518000	40.700000	
0.050000	1.903375	2.382758	48.394000	39.100000	
0.050000	1.883537	2.349417	48.844000	40.933333	
0.050000	1.884545	2.358345	48.698000	40.500000	
0.050000	1.874807	2.351129	49.130000	41.200000	
0.050000	1.852166	2.355165	49.364000	40.466667	
0.050000	1.872411	2.397658	48.984000	38.900000	
0.050000	1.850070	2.434114	49.518000	39.966667	
0.050000	1.840589	2.379563	49.610000	40.066667	
0.050000	1.839805	2.368191	49.738000	41.133333	
0.050000	1.841766	2.365541	49.988000	39.400000	
0.050000	1.847642	2.445203	49.422000	39.300000	
0.050000	1.832158	2.428791	50.004000	39.866667	
0.050000	1.817300	2.368125	50.224000	40.166667	
0.050000	1.826097	2.374640	50.112000	39.900000	
0.050000	1.805354	2.422733	50.572000	39.833333	
0.050000	1.805413	2.436088	50.764000	39.800000	
0.050000	1.812592	2.375780	50.610000	39.833333	
