Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	2.889006	2.611222	28.646000	33.133333	
0.050000	2.441210	2.452495	36.932000	36.766667	
0.050000	2.292288	2.327711	39.974000	38.633333	
0.050000	2.219567	2.346736	41.560000	38.933333	
0.050000	2.165830	2.264552	42.762000	40.300000	
0.050000	2.114341	2.239406	43.956000	41.666667	
0.050000	2.073747	2.237701	44.682000	41.466667	
0.050000	2.047628	2.223323	45.078000	41.866667	
0.050000	2.012463	2.228037	45.982000	41.933333	
0.050000	1.993493	2.268659	46.498000	40.900000	
0.050000	1.962320	2.222684	47.124000	42.166667	
0.050000	1.947620	2.246328	47.258000	41.200000	
0.050000	1.927601	2.245002	47.540000	42.533333	
0.050000	1.914766	2.222256	48.224000	43.400000	
0.050000	1.892140	2.258115	48.476000	42.533333	
0.050000	1.874937	2.275860	49.114000	41.866667	
0.050000	1.876015	2.199868	48.824000	42.700000	
0.050000	1.853396	2.207138	49.604000	42.400000	
0.050000	1.840228	2.209919	49.658000	42.400000	
0.050000	1.835766	2.253635	49.628000	42.000000	
0.050000	1.820169	2.277766	50.316000	42.466667	
0.050000	1.806589	2.242805	50.456000	42.866667	
0.050000	1.799366	2.271947	50.752000	42.400000	
0.050000	1.774861	2.336270	51.072000	42.066667	
0.050000	1.792280	2.233434	50.894000	43.833333	
0.050000	1.769691	2.261730	51.044000	43.366667	
0.050000	1.759516	2.292057	51.512000	41.800000	
0.050000	1.750855	2.184110	51.700000	44.866667	
0.050000	1.745614	2.269986	51.798000	42.600000	
0.050000	1.745648	2.240828	51.746000	42.666667	
0.050000	1.729722	2.232761	52.224000	43.266667	
0.050000	1.734523	2.220579	52.342000	42.766667	
0.050000	1.713442	2.292392	52.654000	42.466667	
0.050000	1.714264	2.358356	52.476000	41.500000	
0.050000	1.699283	2.312892	52.998000	42.000000	
0.050000	1.711751	2.231569	52.608000	43.000000	
0.050000	1.691089	2.281300	53.056000	43.133333	
0.050000	1.683458	2.281215	52.990000	43.033333	
0.050000	1.686210	2.213527	53.208000	43.500000	
0.050000	1.681248	2.268155	53.316000	42.966667	
0.050000	1.681482	2.225423	53.318000	42.866667	
0.050000	1.660135	2.239164	53.572000	43.733333	
0.050000	1.668066	2.296160	53.762000	42.300000	
0.050000	1.645421	2.334458	54.266000	42.833333	
0.050000	1.649633	2.242606	53.866000	44.133333	
0.050000	1.646054	2.248284	53.992000	43.000000	
0.050000	1.624248	2.253572	54.416000	43.766667	
0.050000	1.646294	2.280610	54.080000	43.100000	
0.050000	1.637298	2.310465	54.282000	42.166667	
0.050000	1.635522	2.473987	54.432000	39.433333	
0.050000	1.624587	2.299677	54.316000	43.900000	
0.050000	1.629396	2.300147	54.344000	43.533333	
0.050000	1.611772	2.310836	54.966000	41.933333	
0.050000	1.621861	2.290625	54.800000	42.866667	
0.050000	1.609513	2.236913	54.924000	44.766667	
0.050000	1.605979	2.299086	55.224000	42.033333	
0.050000	1.614308	2.264353	54.674000	44.166667	
0.050000	1.597786	2.303409	55.018000	42.166667	
0.050000	1.606797	2.183906	55.038000	43.766667	
0.050000	1.593471	2.348613	55.314000	41.633333	
0.050000	1.591464	2.353817	55.298000	41.066667	
0.050000	1.596384	2.319057	55.274000	42.300000	
0.050000	1.575189	2.357255	55.724000	40.666667	
0.050000	1.578552	2.248818	55.782000	44.333333	
0.050000	1.577850	2.306392	55.574000	43.000000	
0.050000	1.570649	2.280880	55.610000	42.200000	
0.050000	1.567545	2.307960	55.674000	43.633333	
0.050000	1.552426	2.320214	56.518000	43.366667	
0.050000	1.565057	2.391014	55.932000	42.733333	
0.050000	1.578075	2.294681	55.558000	43.066667	
0.050000	1.566533	2.290228	55.856000	43.833333	
0.050000	1.558498	2.392369	56.040000	42.500000	
0.050000	1.547657	2.376215	56.384000	42.033333	
0.050000	1.556275	2.287000	56.040000	43.333333	
0.050000	1.545161	2.266491	56.374000	43.933333	
0.050000	1.563213	2.329892	55.800000	43.500000	
0.050000	1.559486	2.311777	56.080000	42.266667	
0.050000	1.543722	2.365070	56.508000	41.933333	
0.050000	1.543552	2.257680	56.474000	43.433333	
0.050000	1.533880	2.327481	56.858000	43.233333	
0.050000	1.544596	2.304302	56.454000	42.633333	
0.005000	1.081554	2.071110	68.674000	48.666667	
0.005000	0.919022	2.076487	73.206000	49.500000	
0.005000	0.847964	2.099984	75.084000	49.366667	
0.005000	0.795126	2.123512	76.478000	49.000000	
0.005000	0.750328	2.142484	77.856000	49.166667	
