Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.792199	3.502112	11.458000	16.966667	
0.050000	3.408670	3.344688	17.968000	20.300000	
0.050000	3.285741	3.222436	20.294000	21.500000	
0.050000	3.206256	3.181550	21.900000	22.866667	
0.050000	3.163031	3.180990	23.134000	22.733333	
0.050000	3.140115	3.183388	23.680000	22.366667	
0.050000	3.088208	3.068577	24.672000	26.133333	
0.050000	3.069319	3.115068	25.068000	24.033333	
0.050000	3.034095	3.160303	25.952000	24.766667	
0.050000	3.010988	3.090285	26.126000	24.733333	
0.050000	2.997798	3.020219	26.532000	25.200000	
0.050000	2.963241	3.055143	27.144000	26.666667	
0.050000	2.964788	2.981781	27.296000	27.033333	
0.050000	2.951201	3.166597	27.428000	24.333333	
0.050000	2.936532	3.019004	28.036000	27.066667	
0.050000	2.925707	2.980730	28.068000	28.000000	
0.050000	2.921845	2.955042	28.344000	28.466667	
0.050000	2.891634	2.981202	28.680000	27.300000	
0.050000	2.894569	2.980131	28.838000	28.033333	
0.050000	2.875325	3.029183	29.360000	27.166667	
0.050000	2.895627	2.924909	28.742000	28.266667	
0.050000	2.858946	3.139460	29.622000	25.566667	
0.050000	2.874869	2.966038	29.106000	28.533333	
0.050000	2.851993	2.944553	29.574000	28.666667	
0.050000	2.859882	2.991532	29.936000	27.600000	
0.050000	2.833397	2.950155	29.966000	29.100000	
0.050000	2.828699	3.094670	30.194000	27.300000	
0.050000	2.834613	2.972455	30.384000	28.400000	
0.050000	2.834551	2.942595	29.968000	28.966667	
0.050000	2.832981	2.992946	30.122000	27.600000	
0.050000	2.819867	2.937475	30.512000	28.533333	
0.050000	2.800634	2.865597	30.972000	29.666667	
0.050000	2.809915	2.926510	30.698000	29.766667	
0.050000	2.812291	2.975306	30.522000	27.200000	
0.050000	2.804568	2.906127	30.640000	29.800000	
0.050000	2.808223	2.890943	30.690000	28.966667	
0.050000	2.798113	2.941541	30.764000	29.833333	
0.050000	2.805039	2.881918	30.794000	29.800000	
0.050000	2.800639	2.918860	30.844000	29.466667	
0.050000	2.813003	2.859059	30.806000	30.600000	
0.050000	2.790161	2.891495	31.030000	29.833333	
0.050000	2.771342	2.862064	31.106000	29.500000	
0.050000	2.766223	2.912771	31.468000	28.833333	
0.050000	2.768507	2.818980	31.606000	31.400000	
0.050000	2.755620	2.929369	31.782000	30.000000	
0.050000	2.763058	2.883769	31.604000	30.100000	
0.050000	2.760413	2.952004	31.580000	29.166667	
0.050000	2.758066	2.915661	31.762000	29.866667	
0.050000	2.752677	2.932135	31.698000	29.366667	
0.050000	2.756997	2.977215	31.570000	27.666667	
0.050000	2.745583	2.899917	32.168000	29.766667	
0.050000	2.738524	2.998484	32.214000	28.666667	
0.050000	2.735758	2.923259	32.110000	30.000000	
0.050000	2.734033	2.879809	32.418000	30.766667	
0.050000	2.741941	2.947892	32.120000	29.866667	
0.050000	2.745661	2.906662	32.026000	29.366667	
0.050000	2.752219	2.838321	31.846000	31.966667	
0.050000	2.737508	2.893736	32.268000	29.900000	
0.050000	2.742118	2.882730	31.940000	30.066667	
0.050000	2.723667	2.930701	32.288000	29.466667	
0.050000	2.742261	2.869848	32.090000	30.566667	
0.050000	2.721335	2.896324	32.750000	29.433333	
0.050000	2.722272	2.896973	32.476000	29.600000	
0.050000	2.729708	2.884690	32.254000	30.366667	
0.050000	2.709377	2.858287	32.868000	31.066667	
0.050000	2.715236	2.876088	32.492000	30.200000	
0.050000	2.726407	2.938676	32.522000	29.233333	
0.050000	2.714420	2.775123	32.524000	31.833333	
0.050000	2.732329	2.957940	32.070000	27.866667	
0.050000	2.716521	2.846117	32.406000	30.166667	
0.050000	2.713283	2.805855	32.616000	32.800000	
0.050000	2.698237	2.936739	32.988000	29.733333	
0.050000	2.704389	2.833974	32.900000	31.866667	
