Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.670294	3.490402	13.874000	16.800000	
0.050000	3.339186	3.297992	19.536000	20.466667	
0.050000	3.238114	3.223237	21.686000	21.866667	
0.050000	3.237121	3.141345	21.916000	23.366667	
0.050000	3.182491	3.142330	23.018000	24.066667	
0.050000	3.128990	3.199846	24.094000	22.933333	
0.050000	3.114347	3.094542	24.508000	25.033333	
0.050000	3.094247	3.135800	24.806000	23.366667	
0.050000	3.062952	3.104148	25.384000	24.833333	
0.050000	3.055778	3.164703	25.656000	23.333333	
0.050000	3.037493	3.101793	25.782000	25.133333	
0.050000	3.007217	3.020317	26.570000	25.966667	
0.050000	3.015095	3.046058	26.208000	25.800000	
0.050000	3.005042	3.187707	26.506000	23.900000	
0.050000	2.993480	3.069222	26.988000	26.266667	
0.050000	2.970062	3.013443	27.444000	25.900000	
0.050000	2.961009	3.069457	27.776000	25.600000	
0.050000	2.953609	3.033251	27.746000	27.133333	
0.050000	2.977485	2.982864	27.046000	28.100000	
0.050000	2.933273	3.159350	28.112000	23.933333	
0.050000	2.928323	2.934332	28.046000	28.466667	
0.050000	2.914401	3.063801	28.272000	26.833333	
0.050000	2.910588	2.989055	28.782000	27.633333	
0.050000	2.896357	2.931800	28.898000	27.333333	
0.050000	2.897675	2.930657	28.972000	29.333333	
0.050000	2.861848	2.985592	29.788000	27.633333	
0.050000	2.879061	2.964645	29.278000	28.266667	
0.050000	2.880067	2.932522	29.210000	29.166667	
0.050000	2.860555	2.900235	29.624000	28.533333	
0.050000	2.863122	2.907930	29.692000	28.733333	
0.050000	2.845299	2.953015	29.756000	27.700000	
0.050000	2.854612	2.904995	29.664000	29.633333	
0.050000	2.844883	2.918978	29.882000	29.333333	
0.050000	2.843962	2.926270	30.126000	29.533333	
0.050000	2.832402	2.906647	30.192000	29.533333	
0.050000	2.835618	2.869094	30.498000	29.266667	
0.050000	2.806848	2.912508	30.704000	28.533333	
0.050000	2.829789	2.880832	30.160000	29.133333	
0.050000	2.832797	2.947217	30.418000	28.233333	
0.050000	2.823999	2.867338	30.348000	30.333333	
0.050000	2.812150	2.931096	30.652000	29.100000	
0.050000	2.822993	2.945698	30.484000	28.233333	
0.050000	2.802800	2.928389	30.824000	29.233333	
0.050000	2.800480	2.975982	30.770000	28.366667	
0.050000	2.794154	2.928022	31.006000	29.366667	
0.050000	2.796465	2.913511	30.936000	29.233333	
0.050000	2.783072	2.935027	31.232000	28.966667	
0.050000	2.784943	2.958629	31.250000	29.000000	
0.050000	2.808221	2.906954	30.832000	28.633333	
0.050000	2.776356	2.990152	31.444000	28.533333	
0.050000	2.780573	2.897768	31.522000	30.300000	
