Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.050000	3.760184	3.156385	12.242000	22.100000	
0.050000	3.035208	2.953642	24.454000	27.200000	
0.050000	2.821532	2.772088	28.634000	29.266667	
0.050000	2.687753	2.622980	31.692000	32.500000	
0.050000	2.606383	2.678003	33.256000	31.966667	
0.050000	2.550090	2.564613	34.494000	33.933333	
0.050000	2.484908	2.588872	35.676000	34.066667	
0.050000	2.447037	2.503466	36.616000	35.266667	
0.050000	2.415856	2.522618	37.280000	35.133333	
0.050000	2.369095	2.500121	38.506000	35.900000	
0.050000	2.350689	2.543471	38.528000	35.800000	
0.050000	2.325386	2.513336	39.040000	36.866667	
0.050000	2.298551	2.471065	39.898000	37.133333	
0.050000	2.284563	2.458649	40.076000	38.366667	
0.050000	2.266614	2.454933	40.764000	37.300000	
0.050000	2.244838	2.514564	40.650000	36.333333	
0.050000	2.228956	2.455623	41.448000	37.900000	
0.050000	2.216653	2.480418	41.518000	37.100000	
0.050000	2.208081	2.393266	41.524000	38.666667	
0.050000	2.186075	2.531337	42.402000	34.566667	
0.050000	2.179418	2.443543	42.504000	37.666667	
0.050000	2.155697	2.426516	42.638000	38.833333	
0.050000	2.151354	2.457771	43.092000	37.033333	
0.050000	2.150364	2.489313	42.710000	37.600000	
0.050000	2.132552	2.438926	43.256000	38.500000	
0.050000	2.126522	2.419347	43.384000	38.600000	
0.050000	2.121713	2.415893	43.756000	37.866667	
0.050000	2.106309	2.499673	43.462000	36.833333	
0.050000	2.101600	2.467304	43.758000	37.933333	
0.050000	2.102439	2.420347	44.028000	38.100000	
0.050000	2.099596	2.495358	44.082000	37.133333	
0.050000	2.081539	2.410942	44.520000	39.333333	
0.050000	2.078271	2.460881	44.294000	37.800000	
0.050000	2.068807	2.429722	44.578000	38.700000	
0.050000	2.063367	2.502268	44.578000	37.700000	
0.050000	2.059839	2.449299	44.674000	38.100000	
0.050000	2.044485	2.485004	45.160000	37.666667	
0.050000	2.048348	2.421971	45.278000	38.366667	
0.050000	2.044180	2.492249	44.970000	37.433333	
0.050000	2.039855	2.458141	45.218000	37.600000	
0.050000	2.025688	2.444993	45.368000	37.800000	
0.050000	2.030319	2.419242	45.592000	39.466667	
0.050000	2.031436	2.467191	45.216000	38.700000	
0.050000	2.026319	2.517787	45.456000	37.566667	
0.050000	2.026672	2.442058	45.370000	38.033333	
0.050000	2.014659	2.479110	45.786000	37.933333	
0.050000	2.011006	2.478235	46.016000	37.966667	
0.050000	2.012847	2.450196	46.012000	38.366667	
0.050000	1.998346	2.511194	46.168000	37.666667	
0.050000	2.001235	2.483457	46.094000	37.800000	
0.050000	2.004035	2.456013	46.136000	38.733333	
0.050000	1.990463	2.475719	46.488000	38.700000	
0.050000	1.989626	2.462710	46.434000	37.600000	
0.050000	1.989544	2.449114	46.442000	38.700000	
0.050000	1.985858	2.485640	46.508000	37.500000	
0.050000	1.982559	2.415920	46.630000	39.033333	
0.050000	1.985286	2.463108	46.186000	37.500000	
0.050000	1.972884	2.459537	46.520000	39.266667	
0.050000	1.973932	2.464430	46.818000	39.066667	
0.050000	1.974039	2.438904	46.780000	39.000000	
0.050000	1.966885	2.469996	46.740000	38.900000	
0.050000	1.970434	2.414824	46.966000	39.566667	
0.050000	1.975568	2.460073	46.612000	37.866667	
0.050000	1.953030	2.519584	47.340000	38.000000	
0.050000	1.957104	2.467348	46.954000	37.700000	
0.050000	1.960520	2.468038	46.852000	38.400000	
0.050000	1.949286	2.442123	47.252000	38.233333	
0.050000	1.951361	2.524354	47.244000	37.233333	
0.050000	1.966349	2.475234	46.952000	38.100000	
0.050000	1.948680	2.593238	47.228000	37.633333	
0.050000	1.950769	2.486929	47.080000	38.533333	
0.050000	1.942662	2.462589	47.468000	38.266667	
0.050000	1.932987	2.455781	47.764000	38.000000	
0.050000	1.940731	2.535702	47.428000	37.800000	
0.050000	1.949485	2.561911	47.028000	37.366667	
0.050000	1.934017	2.514804	47.568000	37.533333	
0.050000	1.939013	2.522174	47.212000	37.266667	
0.050000	1.939060	2.496065	47.344000	37.900000	
0.050000	1.909998	2.502087	47.768000	38.100000	
0.050000	1.925638	2.462836	47.836000	39.366667	
0.050000	1.929390	2.512504	47.764000	38.466667	
0.005000	1.530430	2.271235	57.540000	43.733333	
0.005000	1.396001	2.265046	60.848000	43.700000	
0.005000	1.333106	2.286271	62.456000	43.733333	
0.005000	1.297776	2.299569	63.462000	43.966667	
0.005000	1.260485	2.305759	64.026000	44.466667	
0.005000	1.236349	2.296186	64.770000	44.466667	
0.005000	1.215470	2.310745	65.140000	43.766667	
0.005000	1.200972	2.300547	65.690000	44.733333	
0.005000	1.175691	2.315366	66.398000	44.766667	
0.005000	1.151888	2.332271	67.052000	44.766667	
0.005000	1.146285	2.368600	67.116000	44.833333	
0.005000	1.125732	2.357893	67.710000	44.466667	
0.005000	1.111412	2.370028	67.938000	44.366667	
0.005000	1.108352	2.385193	68.028000	43.900000	
0.005000	1.084171	2.370486	68.734000	44.500000	
0.005000	1.071966	2.400458	68.974000	43.900000	
0.005000	1.068313	2.383004	69.214000	44.766667	
0.005000	1.058785	2.384644	69.182000	44.600000	
0.005000	1.045234	2.391087	69.712000	44.600000	
0.005000	1.034666	2.404285	70.134000	44.366667	
0.005000	1.028842	2.409602	70.118000	44.400000	
0.005000	1.010753	2.421494	70.486000	44.500000	
0.005000	1.006954	2.458039	70.640000	43.466667	
0.005000	1.003209	2.432662	70.786000	44.066667	
0.005000	0.991986	2.463732	70.998000	43.800000	
0.005000	0.994145	2.487355	70.792000	43.333333	
0.005000	0.985722	2.476800	71.254000	43.566667	
0.005000	0.972788	2.483014	71.224000	43.500000	
0.005000	0.963946	2.484720	71.602000	43.866667	
0.005000	0.958191	2.476052	71.742000	44.133333	
0.005000	0.950986	2.481935	72.040000	44.433333	
0.005000	0.950870	2.510939	71.868000	44.333333	
0.005000	0.934532	2.503760	72.502000	43.266667	
0.005000	0.928204	2.540428	72.542000	43.133333	
0.005000	0.924005	2.545734	72.542000	42.300000	
0.005000	0.921664	2.589958	72.448000	42.133333	
0.005000	0.915101	2.554403	72.962000	42.400000	
0.005000	0.911656	2.559102	72.888000	43.566667	
0.005000	0.911183	2.543951	72.934000	42.900000	
0.005000	0.902855	2.570881	73.112000	43.500000	
0.005000	0.899587	2.611894	73.266000	41.600000	
0.000500	0.796924	2.552269	76.588000	44.133333	
0.000500	0.768153	2.556011	77.586000	43.933333	
0.000500	0.753151	2.569604	78.186000	44.433333	
0.000500	0.741263	2.561591	78.352000	44.166667	
0.000500	0.735514	2.564920	78.530000	44.433333	
0.000500	0.742390	2.581985	78.266000	44.466667	
0.000500	0.730706	2.578350	78.578000	43.766667	
0.000500	0.724784	2.589367	78.888000	44.233333	
0.000500	0.731052	2.590444	78.420000	44.100000	
0.000500	0.724111	2.590679	78.754000	44.333333	
0.000500	0.719789	2.599420	78.824000	44.033333	
0.000500	0.714028	2.607750	78.942000	43.933333	
0.000500	0.707454	2.613338	79.232000	44.133333	
0.000500	0.710779	2.599288	79.206000	44.300000	
0.000500	0.704935	2.622257	79.530000	43.933333	
0.000500	0.705189	2.611264	79.218000	43.966667	
0.000500	0.698861	2.620925	79.588000	44.033333	
0.000500	0.695101	2.633692	79.556000	43.900000	
0.000500	0.698048	2.620415	79.530000	44.033333	
0.000500	0.695701	2.633058	79.520000	44.033333	
0.000500	0.696204	2.638221	79.474000	43.666667	
0.000500	0.693405	2.623786	79.540000	43.866667	
